Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
2-Aug-1970,Hilversum,3,Hard,R16,,,0,,,Barry Phillips Moore,Keith Diepraam,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
2-Aug-1970,Hilversum,3,Hard,R32,,,1,,,Keith Diepraam,Marty Riessen,W/O,,,,,,,,,,,,,,,,,,,,,
2-Aug-1970,Hilversum,3,Hard,R64,,,1,,,Keith Diepraam,Jean Pierre Loizeau,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
19-Jul-1970,Leicester,3,Grass,R16,,,0,,,Roger Taylor,Keith Diepraam,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
5-Jul-1970,Newport,3,Grass,R16,,,0,,,Mark Cox,Keith Diepraam,6-0 6-3,,,,,,,,,,,,,,,,,,,,,
5-Jul-1970,Newport,3,Grass,R32,,,1,,,Keith Diepraam,R Jenkin,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
5-Jul-1970,Newport,3,Grass,R64,,,1,,,Keith Diepraam,P Corne,6-0 6-0,,,,,,,,,,,,,,,,,,,,,
22-Jun-1970,Wimbledon,5,Grass,R64,,,0,,6,Zeljko Franulovic,Keith Diepraam,6-3 6-4 2-6 6-1,,,,,,,,,,,,,,,,,,,,,
22-Jun-1970,Wimbledon,5,Grass,R128,,,1,,,Keith Diepraam,Richard Russell,7-5 13-11 6-2,,,,,,,,,,,,,,,,,,,,,
15-Jun-1970,Eastbourne,3,Grass,R32,,,0,,,Mark Cox,Keith Diepraam,7-5 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
8-Jun-1970,Beckenham,3,Grass,R16,,,0,,,Ray Ruffels,Keith Diepraam,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
8-Jun-1970,Beckenham,3,Grass,R32,,,1,,,Keith Diepraam,Syd Ball,6-3 2-6 6-1,,,,,,,,,,,,,,,,,,,,,
8-Jun-1970,Beckenham,3,Grass,R64,,,1,,,Keith Diepraam,Eduardo Zuleta,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
26-May-1970,Roland Garros,5,Clay,R128,,,0,,,Patricio Cornejo,Keith Diepraam,6-3 6-3 1-6 3-6 6-2,,,,,,,,,,,,,,,,,,,,,
11-May-1970,Hurlingham,3,Hard,F,,,0,,,Robert Maud,Keith Diepraam,7-5 7-5,,,,,,,,,,,,,,,,,,,,,
11-May-1970,Hurlingham,3,Hard,SF,,,1,,,Keith Diepraam,Arthur Ashe,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
