Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
25-Nov-1996,Amarillo CH,3,Hard,R32,449,186,0,Q,,Mark Merklein,Kenny Thorne,7-6 6-2,,,,,,,,,,,,,,,,,,,,,
29-Jul-1996,Lexington CH,3,Hard,R16,295,147,0,,3,Sargis Sargsian,Kenny Thorne,4-6 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
29-Jul-1996,Lexington CH,3,Hard,R32,295,259,1,,,Kenny Thorne,Gregory Carraz,6-4 4-6 7-5,,,,,,,,,,,,,,,,,,,,,
22-Jul-1996,Aptos CH,3,Hard,SF,334,216,0,LL,,Albert Chang,Kenny Thorne,6-1 7-6,,,,,,,,,,,,,,,,,,,,,
22-Jul-1996,Aptos CH,3,Hard,QF,334,248,1,LL,,Kenny Thorne,Gouichi Motomura,7-6 3-6 7-6,,,,,,,,,,,,,,,,,,,,,
22-Jul-1996,Aptos CH,3,Hard,R16,334,526,1,LL,Q,Kenny Thorne,David Caldwell,3-6 6-4 7-6,,,,,,,,,,,,,,,,,,,,,
22-Jul-1996,Aptos CH,3,Hard,R32,334,275,1,LL,,Kenny Thorne,Robbie Koenig,6-3 6-7 6-4,,,,,,,,,,,,,,,,,,,,,
8-Jul-1996,Newport,3,Grass,R32,335,83,0,Q,6,Martin Damm,Kenny Thorne,6-3 7-6(4),0.77,6.0%,9.0%,64.2%,76.7%,50.0%,0/1,45.7%,25.4%,9.9%,8.6%,41.7%,0/1,138,4,6,67,43,24,7,1:27
10-Jun-1996,Rosmalen,3,Grass,R32,355,24,0,Q,6,Paul Haarhuis,Kenny Thorne,6-2 3-6 6-1,0.68,0.0%,8.2%,57.4%,68.6%,38.5%,2/7,42.5%,30.3%,3.0%,22.2%,40.0%,2/5,127,0,5,61,35,26,2,1:21
16-Oct-1995,Glendale CH,3,Hard,R32,206,344,0,8,WC,Cecil Mamiit,Kenny Thorne,7-6 6-3,,,,,,,,,,,,,,,,,,,,,
2-Oct-1995,Monterrey CH,3,Hard,R16,217,121,0,,2,Steve Campbell,Kenny Thorne,7-6 6-1,,,,,,,,,,,,,,,,,,,,,
