Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
2-Sep-1964,US Open,5,Grass,R128,,,0,,,Ismail El Shafei,Khwaja Saeed Hai,1-6 6-1 7-5 3-6 6-2,,,,,,,,,,,,,,,,,,,,,
1-Apr-1957,Cannes Carlton,3,Clay,R32,,,0,,,Ivko Plecevic,Khwaja Saeed Hai,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
1-Apr-1957,Cannes Carlton,3,Clay,R64,,,1,,,Khwaja Saeed Hai, Legoff,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
25-Mar-1957,Cannes Gallia,3,Clay,R32,,,0,,,Andras Adam Stolpa,Khwaja Saeed Hai,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
25-Mar-1957,Cannes Gallia,3,Clay,R64,,,1,,,Khwaja Saeed Hai,Jean Pierre Olivier,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
14-Feb-1957,Lyon,3,Carpet,R32,,,0,,,Andres Gimeno,Khwaja Saeed Hai,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
1-Jun-1956,Wimbledon,5,Grass,R128,,,0,,,Gunnar Sjowall,Khwaja Saeed Hai,7-5 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
1-May-1956,Roland Garros,5,Clay,R64,,,0,,,Georges Deniau,Khwaja Saeed Hai,4-6 62- 6-4 2-6 6-1,,,,,,,,,,,,,,,,,,,,,
1-May-1956,Roland Garros,5,Clay,R128,,,1,,,Khwaja Saeed Hai,Marcel Schaff,6-2 6-4 6-2,,,,,,,,,,,,,,,,,,,,,
1-Jun-1955,Wimbledon,5,Grass,R128,,,0,,,Hans Van Dalsum,Khwaja Saeed Hai,6-2 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
