Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
29-May-2023,M15 Karuizawa,3,Clay,R16,1266,868,0,Q,6,Kazuma Kawachi,Ko Suzuki,6-2 1-6 7-5,,,,,,,,,,,,,,,,,,,,,
29-May-2023,M15 Karuizawa,3,Clay,R32,1266,1337,1,Q,Q,Ko Suzuki,Yamato Sueoka,7-5 6-7(6) 6-4,,,,,,,,,,,,,,,,,,,,,
27-Mar-2023,M25 Tsukuba,3,Hard,R32,1190,318,0,Q,6,Hiroki Moriya,Ko Suzuki,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
13-Mar-2023,M25 Canberra,3,Clay,R32,1192,1267,0,Q,Q,Naoki Tajima,Ko Suzuki,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M25 Sapporo,3,Hard,R16,1258,,0,Q,Q,Ryusuke Horiuchi,Ko Suzuki,6-2 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M25 Sapporo,3,Hard,R32,1258,1272,1,Q,Q,Ko Suzuki,Yuichiro Inui,4-6 7-6(6) 4-1 RET,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M25 Sapporo,3,Hard,R16,1258,626,0,,6,Tatsuma Ito,Ko Suzuki,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M25 Sapporo,3,Hard,R32,1258,,1,,WC,Ko Suzuki,Taki Adachi,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
22-Aug-2022,M15 Changwon,3,Hard,R32,1239,1129,0,,,Kazuki Nishiwaki,Ko Suzuki,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
15-Aug-2022,M15 Anseong,3,Clay,R32,1221,,0,8,Q,Seokhyeon Chu,Ko Suzuki,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
25-Jul-2022,M15 Caloundra,3,Hard,R32,1245,,0,,Q,Tai Sach,Ko Suzuki,7-5 7-5,,,,,,,,,,,,,,,,,,,,,
18-Jul-2022,M15 Caloundra,3,Hard,R32,1251,523,0,,2,Dayne Kelly,Ko Suzuki,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
6-Jun-2022,M25 Harmon,3,Hard,QF,1429,,0,,2,Jisung Nam,Ko Suzuki,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
6-Jun-2022,M25 Harmon,3,Hard,R16,1429,1926,1,,,Ko Suzuki,Geun Jun Kim,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
6-Jun-2022,M25 Harmon,3,Hard,R32,1429,1619,1,,,Ko Suzuki,Kent Tagashira,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
30-May-2022,M25 Harmon,3,Hard,R32,1157,442,0,,3,Sho Shimabukuro,Ko Suzuki,6-3 3-6 6-2,,,,,,,,,,,,,,,,,,,,,
28-Mar-2022,M25 Canberra,3,Clay,R32,1250,503,0,Q,5,Dayne Kelly,Ko Suzuki,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
21-Mar-2022,M25 Canberra,3,Clay,R16,1250,389,0,Q,2,Dane Sweeny,Ko Suzuki,5-7 6-2 6-1,,,,,,,,,,,,,,,,,,,,,
21-Mar-2022,M25 Canberra,3,Clay,R32,1250,1205,1,Q,,Ko Suzuki,Nikita Volonski,6-1 2-0 RET,,,,,,,,,,,,,,,,,,,,,
7-Jun-2021,M15 Monastir,3,Hard,R32,1029,977,0,Q,Q,Tomas Farjat,Ko Suzuki,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
14-Oct-2019,M15 Changwon,3,Hard,R32,967,405,0,,,Yuta Shimizu,Ko Suzuki,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
19-Aug-2019,M15 Hua Hin,3,Hard,R32,974,787,0,,,Soichiro Moritani,Ko Suzuki,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
10-Jun-2019,M15 Akishima,3,Carpet,R32,,562,0,Q,,Rio Noguchi,Ko Suzuki,6-3 1-6 6-3,,,,,,,,,,,,,,,,,,,,,
3-Jun-2019,M15 Guam,3,Hard,SF,,,0,,2,Hiroyasu Ehara,Ko Suzuki,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
