Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
12-Sep-2016,Canada F8,3,Hard,R32,1172,UNR,0,,WC,Benjamin Sigouin,Konrad Zieba,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
4-Jul-2016,Winnetka CH,3,Hard,Q1,1133,344,0,,4,Eric Quigley,Konrad Zieba,6-3 6-3,0.76,5.3%,8.8%,47.4%,63.0%,23.3%,2/8,43.1%,44.1%,13.6%,20.0%,79.2%,3/5,116,3,5,57,27,30,8,1:12
7-Sep-2015,Poland F5,3,Hard,SF,UNR,1079,0,Q,Q,Hubert Hurkacz,Konrad Zieba,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
7-Sep-2015,Poland F5,3,Hard,QF,UNR,1021,1,Q,,Konrad Zieba,Karol Drzewiecki,7-6(7) 6-0,,,,,,,,,,,,,,,,,,,,,
7-Sep-2015,Poland F5,3,Hard,R16,UNR,UNR,1,Q,Q,Konrad Zieba,Yann Wojcik,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
7-Sep-2015,Poland F5,3,Hard,R32,UNR,1893,1,Q,,Konrad Zieba,Marcus Mansson,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
31-Aug-2015,Poland F4,3,Clay,R32,UNR,1179,0,Q,Q,Mikolaj Jedruszczak,Konrad Zieba,3-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
24-Aug-2015,Poland F3,3,Clay,R16,UNR,538,0,Q,8,Andrea Basso,Konrad Zieba,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
24-Aug-2015,Poland F3,3,Clay,R32,UNR,807,1,Q,,Konrad Zieba,Eduardo Dischinger,6-4 6-7(6) 6-4,,,,,,,,,,,,,,,,,,,,,
10-Aug-2015,USA F25,3,Hard,R32,UNR,308,0,Q,2,Sanam Singh,Konrad Zieba,4-6 7-6(5) 6-2,,,,,,,,,,,,,,,,,,,,,
9-Mar-2015,Canada F2,3,Hard,R32,UNR,335,0,Q,,Daniel Smethurst,Konrad Zieba,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
9-Feb-2015,Guatemala F1,3,Hard,R32,UNR,453,0,Q,3,Mauricio Echazu,Konrad Zieba,7-6(1) 7-6(3),,,,,,,,,,,,,,,,,,,,,
26-Jan-2015,USA F6,3,Clay,R32,UNR,330,0,WC,2,Connor Smith,Konrad Zieba,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
1-Sep-2014,Canada F9,3,Clay,R32,UNR,397,0,Q,2,Daniel Nguyen,Konrad Zieba,7-6(2) 6-1,,,,,,,,,,,,,,,,,,,,,
