Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
30-Oct-2000,Yokohama CH,3,Carpet,R32,821,260,0,LL,,Igor Kunitsyn,Kotaro Miyachi,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
1-Nov-1999,Yokohama CH,3,Hard,R16,573,248,0,,,Hyung Taik Lee,Kotaro Miyachi,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
1-Nov-1999,Yokohama CH,3,Hard,R32,573,667,1,,,Kotaro Miyachi,Tetsuya Chaen,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
8-Mar-1999,Kyoto CH,3,Carpet,R32,350,218,0,WC,,Lorenzo Manta,Kotaro Miyachi,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
13-Apr-1998,Tokyo,3,Hard,R32,460,81,0,Q,11,Jan Michael Gambill,Kotaro Miyachi,6-0 6-3,0.57,5.3%,7.9%,52.6%,35.0%,38.9%,1/6,36.4%,36.0%,22.0%,27.3%,52.9%,1/3,88,2,3,38,20,18,11,0:50
13-Apr-1998,Tokyo,3,Hard,R64,460,169,1,Q,,Kotaro Miyachi,Allen Belobrajdic,6-2 6-1,1.70,1.9%,3.7%,50.0%,81.5%,51.9%,2/2,62.0%,56.5%,8.7%,35.0%,73.1%,5/8,100,1,2,54,27,27,4,0:57
9-Mar-1998,Kyoto CH,3,Carpet,R16,505,900,0,Q,Q,Ryuso Tsujino,Kotaro Miyachi,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
9-Mar-1998,Kyoto CH,3,Carpet,R32,505,376,1,Q,WC,Kotaro Miyachi,Tetsuya Chaen,6-4 3-6 6-2,,,,,,,,,,,,,,,,,,,,,
9-Sep-1996,Madras CH,3,Hard,R32,471,UNR,0,,WC,Vasudeva Reddy,Kotaro Miyachi,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
15-Apr-1996,Tokyo,3,Hard,R32,671,35,0,WC,10,Guy Forget,Kotaro Miyachi,6-0 6-3,0.51,0.0%,2.4%,58.5%,58.3%,35.3%,2/6,36.8%,26.1%,15.2%,17.9%,38.9%,0/1,87,0,1,41,24,17,7,0:57
15-Apr-1996,Tokyo,3,Hard,R64,671,94,1,WC,,Kotaro Miyachi,Jerome Golmard,6-4 1-6 7-6(5),1.03,1.1%,6.4%,68.1%,67.2%,56.7%,5/9,49.3%,37.2%,5.3%,31.8%,44.7%,3/12,207,1,6,94,64,30,6,2:05
8-Apr-1996,Nagoya CH,3,Hard,R16,512,286,0,,,Ben Ellwood,Kotaro Miyachi,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
8-Apr-1996,Nagoya CH,3,Hard,R32,512,701,1,,WC,Kotaro Miyachi,Tetsuya Chaen,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
9-Oct-1995,Tokyo Indoor,3,Carpet,R64,474,134,0,WC,,Leander Paes,Kotaro Miyachi,6-2 6-4,0.80,3.9%,3.9%,62.7%,59.4%,52.6%,5/9,44.6%,34.4%,4.9%,22.2%,52.0%,1/5,112,2,2,51,32,19,3,1:05
17-Apr-1995,Nagoya CH,3,Hard,R16,537,256,0,WC,,Claude Ngoran,Kotaro Miyachi,7-6 7-6,,,,,,,,,,,,,,,,,,,,,
17-Apr-1995,Nagoya CH,3,Hard,R32,537,265,1,WC,,Kotaro Miyachi,Mark Knowles,3-6 7-5 6-4,,,,,,,,,,,,,,,,,,,,,
10-Apr-1995,Tokyo Outdoor,3,Hard,R16,973,102,0,WC,,Jan Apell,Kotaro Miyachi,6-2 6-3,0.61,0.0%,3.4%,65.5%,44.7%,50.0%,2/7,40.4%,32.6%,15.2%,20.0%,56.3%,1/4,104,0,2,58,38,20,7,1:03
10-Apr-1995,Tokyo Outdoor,3,Hard,R32,973,579,1,WC,Q,Kotaro Miyachi,Stephen Noteboom,6-3 7-6(4),1.15,4.5%,10.2%,56.8%,76.0%,39.5%,7/10,53.3%,45.6%,2.5%,35.4%,61.3%,4/10,167,4,9,88,50,38,2,1:42
10-Apr-1995,Tokyo Outdoor,3,Hard,R64,973,UNR,1,WC,Q,Kotaro Miyachi,David Pate,6-2 2-6 6-3,1.11,5.3%,3.2%,56.4%,64.2%,56.1%,8/11,52.1%,43.6%,10.6%,40.3%,51.9%,4/17,188,5,3,94,53,41,10,1:46
