Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
4-Sep-2023,M25+H Bagneres-de-Bigorre,3,Hard,R32,1286,,0,,Q,Loic Namigandet Tenguere,Leo Raquillet,6-3 7-6(6),,,,,,,,,,,,,,,,,,,,,
28-Aug-2023,M25 Sion,3,Clay,R32,1286,369,0,,3,Remy Bertola,Leo Raquillet,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
31-Jul-2023,M15 Hyvinkaa,3,Clay,R16,1365,937,0,Q,8,Lewie Lane,Leo Raquillet,6-4 4-6 6-1,,,,,,,,,,,,,,,,,,,,,
31-Jul-2023,M15 Hyvinkaa,3,Clay,R32,1365,1156,1,Q,Q,Leo Raquillet,Lucio Carnevalle,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
10-Jul-2023,M25 Uriage,3,Clay,R32,1351,651,0,WC,,Luca Wiedenmann,Leo Raquillet,6-1 7-6(1),,,,,,,,,,,,,,,,,,,,,
26-Jun-2023,M25 Bourg-en-Bresse,3,Clay,R32,1334,686,0,WC,,Anton Matusevich,Leo Raquillet,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
29-May-2023,M25 Carnac,3,Clay,R16,1431,414,0,WC,8,Lucas Poullain,Leo Raquillet,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
29-May-2023,M25 Carnac,3,Clay,R32,1431,568,1,WC,,Leo Raquillet,Emilien Voisin,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
17-Apr-2023,M25 Angers,3,Clay,R16,1580,335,0,WC,1,Ugo Blanchet,Leo Raquillet,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
17-Apr-2023,M25 Angers,3,Clay,R32,1580,992,1,WC,LL,Leo Raquillet,Adrian Oetzbach,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
3-Apr-2023,M15 Lons-le-Saunier,3,Hard,R32,1553,420,0,WC,3,Sascha Gueymard Wayenburg,Leo Raquillet,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
13-Mar-2023,M15 Poitiers,3,Hard,R32,1522,607,0,WC,8,Harry Wendelken,Leo Raquillet,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
23-Jan-2023,M15+H Bagnoles de l'Orne,3,Clay,R16,1806,670,0,Q,7,Riccardo Balzerani,Leo Raquillet,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
23-Jan-2023,M15+H Bagnoles de l'Orne,3,Clay,R32,1806,847,1,Q,,Leo Raquillet,Alexandre Aubriot,6-3 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
16-Jan-2023,M15 Bressuire,3,Hard,R32,1806,1091,0,WC,,Antoine Ghibaudo,Leo Raquillet,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
10-Oct-2022,M25+H Rodez,3,Hard,R32,1711,,0,Q,Q,Gregoire Jacq,Leo Raquillet,6-7(1) 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M25 Sierre,3,Clay,R16,,440,0,Q,3,Steven Diez,Leo Raquillet,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M25 Sierre,3,Clay,R32,,1442,1,Q,Q,Leo Raquillet,Arthur Neuhaus,6-7(3) 7-5 7-6(5),,,,,,,,,,,,,,,,,,,,,
10-Jan-2022,M15+H Bagnoles de l'Orne,3,Clay,R32,,452,0,Q,2,Corentin Denolly,Leo Raquillet,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
