Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
14-Nov-2022,M25 Sharm ElSheikh,3,Hard,R32,943,1621,0,,Q,Billy Blaydes,Loic Cloes,6-7(2) 7-6(5) 6-1,,,,,,,,,,,,,,,,,,,,,
7-Nov-2022,M25 Sharm ElSheikh,3,Hard,R16,941,1468,0,,Q,Yeongseok Jeong,Loic Cloes,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
7-Nov-2022,M25 Sharm ElSheikh,3,Hard,R32,941,327,1,,3,Loic Cloes,Bu Yunchaokete,7-6(5) 7-5,,,,,,,,,,,,,,,,,,,,,
31-Oct-2022,M15 Sharm ElSheikh,3,Hard,R32,931,579,0,,4,Sebastian Prechtel,Loic Cloes,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Sharm ElSheikh,3,Hard,R32,931,1411,0,7,,Attila Boros,Loic Cloes,6-4 6-7(4) 6-3,,,,,,,,,,,,,,,,,,,,,
3-Oct-2022,M25 Nevers,3,Hard,R16,946,429,0,,3,Sascha Gueymard Wayenburg,Loic Cloes,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
3-Oct-2022,M25 Nevers,3,Hard,R32,946,,1,,Q,Loic Cloes,Loann Massard,6-3 2-6 6-2,,,,,,,,,,,,,,,,,,,,,
20-Jun-2022,M25 Arlon,3,Clay,R16,953,685,0,,,Maxime Chazal,Loic Cloes,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
20-Jun-2022,M25 Arlon,3,Clay,R32,953,565,1,,7,Loic Cloes,Tim Handel,6-7(5) 6-4 7-6(3),,,,,,,,,,,,,,,,,,,,,
6-Jun-2022,M15 Budva,3,Clay,R16,992,773,0,,8,Rrezart Cungu,Loic Cloes,6-2 2-6 6-0,,,,,,,,,,,,,,,,,,,,,
6-Jun-2022,M15 Budva,3,Clay,R32,992,,1,,WC,Loic Cloes,Aleksa Krivokapic,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
30-May-2022,M15 Budva,3,Clay,R32,986,543,0,Q,5,Mariano Navone,Loic Cloes,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
4-Apr-2022,M15 Sharm ElSheikh,3,Hard,R32,1039,712,0,,5,Karim Mohamed Maamoun,Loic Cloes,7-6(1) 3-0 RET,,,,,,,,,,,,,,,,,,,,,
28-Mar-2022,M15 Sharm ElSheikh,3,Hard,R16,1119,561,0,Q,3,Peter Fajta,Loic Cloes,4-6 6-4 6-2,,,,,,,,,,,,,,,,,,,,,
28-Mar-2022,M15 Sharm ElSheikh,3,Hard,R32,1119,1868,1,Q,WC,Loic Cloes,Adam Bronka,6-0 6-0,,,,,,,,,,,,,,,,,,,,,
21-Mar-2022,M15 Sharm ElSheikh,3,Hard,QF,1119,1075,0,Q,LL,Lukas Pokorny,Loic Cloes,7-6(4) 4-6 7-6(2),,,,,,,,,,,,,,,,,,,,,
21-Mar-2022,M15 Sharm ElSheikh,3,Hard,R16,1119,1210,1,Q,Q,Loic Cloes,Petr Bar Biryukov,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
21-Mar-2022,M15 Sharm ElSheikh,3,Hard,R32,1119,906,1,Q,,Loic Cloes,Kelsey Stevenson,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
28-Feb-2022,M15 Sharm ElSheikh,3,Hard,R16,1173,2153,0,Q,LL,Jiri Barnat,Loic Cloes,7-6(4) 6-3,,,,,,,,,,,,,,,,,,,,,
28-Feb-2022,M15 Sharm ElSheikh,3,Hard,R32,1173,,1,Q,Q,Loic Cloes,Hong Chung,7-6(1) 7-5,,,,,,,,,,,,,,,,,,,,,
14-Feb-2022,M15 Sharm ElSheikh,3,Hard,R32,1172,430,0,Q,2,Duck Hee Lee,Loic Cloes,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
13-Dec-2021,M15 Monastir,3,Hard,R32,1168,1703,0,,WC,Wissam Abderrahman,Loic Cloes,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
6-Dec-2021,M15 Monastir,3,Hard,R32,1159,647,0,Q,5,Eliakim Coulibaly,Loic Cloes,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
29-Nov-2021,M15 Monastir,3,Hard,R32,1159,2035,0,Q,Q,Mathieu Scaglia,Loic Cloes,6-7(3) 6-4 7-6(4),,,,,,,,,,,,,,,,,,,,,
8-Nov-2021,M15 Sharm El Sheikh,3,Hard,F,2068,474,0,Q,3,Marek Gengel,Loic Cloes,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
8-Nov-2021,M15 Sharm El Sheikh,3,Hard,SF,2068,770,1,Q,,Loic Cloes,Andrew Paulson,6-4 7-6(3),,,,,,,,,,,,,,,,,,,,,
8-Nov-2021,M15 Sharm El Sheikh,3,Hard,QF,2068,672,1,Q,5,Loic Cloes,Daniele Capecchi,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
8-Nov-2021,M15 Sharm El Sheikh,3,Hard,R16,2068,1927,1,Q,WC,Loic Cloes,Laelson Rodrigues,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
8-Nov-2021,M15 Sharm El Sheikh,3,Hard,R32,2068,364,1,Q,1,Loic Cloes,Yu Hsiou Hsu,6-7(2) 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
1-Nov-2021,M15 Sharm El Sheikh,3,Hard,R32,2005,711,0,Q,4,Illia Biloborodko,Loic Cloes,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
