Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
21-Oct-2019,M15 Cancun,3,Hard,QF,,567,0,Q,,Cristian Rodriguez,Luca Keist,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
21-Oct-2019,M15 Cancun,3,Hard,R16,,898,1,Q,,Luca Keist,Joshua Ortlip,6-2 3-0 RET,,,,,,,,,,,,,,,,,,,,,
21-Oct-2019,M15 Cancun,3,Hard,R32,,,1,Q,,Luca Keist,Toby Alex Kodat,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
20-Aug-2018,Switzerland F3,3,Clay,R32,,698,0,Q,,Johan Nikles,Luca Keist,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
25-Jun-2018,Israel F11,3,Hard,R32,,871,0,,7,Tigre Hank,Luca Keist,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
18-Jun-2018,Israel F10,3,Hard,R32,,,0,,Q,Cameron Green,Luca Keist,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
14-Aug-2017,Switzerland F3,3,Clay,R32,1876,,0,WC,WC,Jakub Paul,Luca Keist,1-6 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
29-Aug-2016,Switzerland F5,3,Clay,R32,1571,425,0,WC,3,Goncalo Oliveira,Luca Keist,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
22-Aug-2016,Switzerland F4,3,Clay,R16,1546,984,0,WC,,Cristian Villagran,Luca Keist,6-1 7-5,,,,,,,,,,,,,,,,,,,,,
22-Aug-2016,Switzerland F4,3,Clay,R32,1546,528,1,WC,7,Luca Keist,Marcos Giraldi Requena,4-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
15-Aug-2016,Switzerland F3,3,Clay,R32,1545,810,0,WC,,Simeon Rossier,Luca Keist,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
21-Sep-2015,Turkey F38,3,Hard,R16,1866,573,0,Q,,Miliaan Niesten,Luca Keist,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
21-Sep-2015,Turkey F38,3,Hard,R32,1866,1733,1,Q,WC,Luca Keist,Fatih Taha Erun,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
31-Aug-2015,Switzerland F5,3,Clay,R32,,,0,WC,Q,Philipp Kahoun,Luca Keist,6-0 4-6 6-3,,,,,,,,,,,,,,,,,,,,,
24-Aug-2015,Switzerland F4,3,Clay,R16,,928,0,WC,,Loic Perret,Luca Keist,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
24-Aug-2015,Switzerland F4,3,Clay,R32,,,1,WC,Q,Luca Keist,Alexandre Hebras,7-6(5) 6-7(2) 7-6(4),,,,,,,,,,,,,,,,,,,,,
