Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
21-Aug-2023,M25 Tainan,3,Clay,R16,1168,552,0,,2,Digvijaypratap Singh,Lucio Carnevalle,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
21-Aug-2023,M25 Tainan,3,Clay,R32,1168,,1,,Q,Lucio Carnevalle,Jeffrey Hsu,1-6 7-5 7-5,,,,,,,,,,,,,,,,,,,,,
14-Aug-2023,M25 Tainan,3,Clay,R16,1171,794,0,,8,Taisei Ichikawa,Lucio Carnevalle,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
14-Aug-2023,M25 Tainan,3,Clay,R32,1171,1465,1,,Q,Lucio Carnevalle,Ko Suzuki,3-6 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
31-Jul-2023,M15 Hyvinkaa,3,Clay,R32,1156,1365,0,Q,Q,Leo Raquillet,Lucio Carnevalle,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
3-Jul-2023,Milan CH,3,Clay,Q2,1283,333,0,,5,Francesco Forti,Lucio Carnevalle,6-3 6-1,0.57,0.0%,8.3%,48.3%,48.3%,45.2%,9/14,39.6%,30.4%,6.5%,17.4%,43.5%,1/1,106,0,5,60,29,31,3,1:18
3-Jul-2023,Milan CH,3,Clay,Q1,1283,397,1,,12,Lucio Carnevalle,Robert Strombachs,7-5 7-6(6),1.06,2.7%,2.7%,60.9%,68.7%,41.9%,14/17,52.7%,44.4%,1.4%,32.6%,62.1%,4/7,182,3,3,110,67,43,1,2:32
19-Jun-2023,M15 Casablanca,3,Clay,R16,1443,627,0,Q,5,Alejandro Manzanera Pertusa,Lucio Carnevalle,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
19-Jun-2023,M15 Casablanca,3,Clay,R32,1443,946,1,Q,,Lucio Carnevalle,Karim Mohamed Maamoun,6-3 7-6(5),,,,,,,,,,,,,,,,,,,,,
12-Jun-2023,M15 Rabat,3,Clay,R16,1440,780,0,Q,,Pedro Rodenas,Lucio Carnevalle,6-1 3-0 RET,,,,,,,,,,,,,,,,,,,,,
12-Jun-2023,M15 Rabat,3,Clay,R32,1440,978,1,Q,,Lucio Carnevalle,Stefano Reitano,6-7(4) 6-2 6-1,,,,,,,,,,,,,,,,,,,,,
8-May-2023,M15 Doboj,3,Clay,R16,1609,881,0,Q,,Sebastian Sorger,Lucio Carnevalle,7-6(6) 6-2,,,,,,,,,,,,,,,,,,,,,
8-May-2023,M15 Doboj,3,Clay,R32,1609,893,1,Q,,Lucio Carnevalle,Dusan Obradovic,7-6(4) 2-6 7-5,,,,,,,,,,,,,,,,,,,,,
1-May-2023,M15 Osijek,3,Clay,R32,1598,690,0,Q,7,Matyas Fuele,Lucio Carnevalle,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
6-Mar-2023,M25 Rio Cuarto,3,Clay,R32,1586,809,0,WC,WC,Luciano Emanuel Ambrogi,Lucio Carnevalle,7-6(4) 6-2,,,,,,,,,,,,,,,,,,,,,
28-Nov-2022,M25 Vacaria,3,Clay,R16,1982,442,0,Q,5,Mateus Alves,Lucio Carnevalle,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
28-Nov-2022,M25 Vacaria,3,Clay,R32,1982,1224,1,Q,,Lucio Carnevalle,Matheus Amorim De Lima,7-6(2) 6-0,,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Antalya,3,Clay,R16,,1340,0,Q,Q,Dragos Dima,Lucio Carnevalle,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Antalya,3,Clay,R32,,706,1,Q,,Lucio Carnevalle,Ivan Nedelko,3-6 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,M15 Antalya,3,Clay,R32,,700,0,Q,7,Bruno Kuzuhara,Lucio Carnevalle,4-6 6-0 7-5,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M15 Casablanca,3,Clay,R32,,860,0,Q,,Vladislav Ivanov,Lucio Carnevalle,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
11-Jul-2022,M15 Aprilia,3,Clay,R32,,1430,0,Q,Q,Giannicola Misasi,Lucio Carnevalle,6-2 7-6(12),,,,,,,,,,,,,,,,,,,,,
20-Jun-2022,M25 Montauban,3,Clay,R32,,775,0,Q,,Timo Legout,Lucio Carnevalle,3-6 6-3 6-0,,,,,,,,,,,,,,,,,,,,,
28-Feb-2022,M15 Antalya,3,Clay,R32,1738,858,0,Q,,Simon Anthony Ivanov,Lucio Carnevalle,6-0 6-3,,,,,,,,,,,,,,,,,,,,,
13-Dec-2021,M15 Lambare,3,Clay,R32,1682,,0,,,Adolfo Daniel Vallejo,Lucio Carnevalle,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
6-Dec-2021,M25 Rio Cuarto,3,Clay,R32,1648,,0,Q,Q,Matias Iturbe,Lucio Carnevalle,3-6 7-6(4) 6-2,,,,,,,,,,,,,,,,,,,,,
29-Nov-2021,M25 Villa Allende,3,Clay,R32,1605,930,0,WC,,Ignacio Monzon,Lucio Carnevalle,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
22-Nov-2021,M15 Cordoba,3,Clay,R32,1586,550,0,WC,3,Alejo Lorenzo Lingua Lavallen,Lucio Carnevalle,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
8-Nov-2021,M15 Benicarlo,3,Clay,R32,1549,820,0,LL,,Franco Emanuel Egea,Lucio Carnevalle,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
6-Sep-2021,M15 Cairo,3,Clay,R32,1559,1850,0,Q,,Biagio Gramaticopolo,Lucio Carnevalle,2-6 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
14-Jun-2021,M15 Monastir,3,Hard,R32,1510,596,0,WC,,Alexander Donski,Lucio Carnevalle,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
5-Apr-2021,M15 Cordoba,3,Clay,QF,,1077,0,WC,WC,Tomas Farjat,Lucio Carnevalle,6-1 7-6(3),,,,,,,,,,,,,,,,,,,,,
5-Apr-2021,M15 Cordoba,3,Clay,R16,,526,1,WC,1,Lucio Carnevalle,Matias Zukas,6-7(7) 5-1 RET,,,,,,,,,,,,,,,,,,,,,
5-Apr-2021,M15 Cordoba,3,Clay,R32,,,1,WC,Q,Lucio Carnevalle,Paulo Andre Saraiva Dos Santos,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
