Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
5-Oct-1981,Brisbane,3,Grass,R16,,,0,,,Charlie Fancutt,Mal Anderson,7-6 7-6,,,,,,,,,,,,,,,,,,,,,
5-Oct-1981,Brisbane,3,Grass,R32,,,1,,,Mal Anderson,Jim Delaney,6-2 6-7 6-2,,,,,,,,,,,,,,,,,,,,,
9-Oct-1979,Brisbane,3,Grass,R32,,70,0,,5,Brad Drewett,Mal Anderson,7-5 7-5,,,,,,,,,,,,,,,,,,,,,
9-Oct-1978,Brisbane,3,Grass,R16,,,0,,,Allan Stone,Mal Anderson,2-6 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
9-Oct-1978,Brisbane,3,Grass,R32,,,1,,Q,Mal Anderson,Wayne Hampson,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
8-Jan-1978,Hobart CH,3,Hard,R16,294,87,0,,2,Allan Stone,Mal Anderson,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
8-Jan-1978,Hobart CH,3,Hard,R32,294,305,1,,,Mal Anderson,Tim Clements,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
19-Dec-1977,Australian Open-2,3,Grass,R64,,,0,Q,,Chris Kachel,Mal Anderson,7-6 7-5 RET,,,,,,,,,,,,,,,,,,,,,
5-Dec-1977,Adelaide,3,Grass,R32,,,0,,Q,Peter Feigl,Mal Anderson,4-6 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
5-Dec-1977,Adelaide,3,Grass,R64,,,1,,Q,Mal Anderson,Christophe Casa,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
11-Oct-1976,Brisbane,3,Grass,R32,,,0,,,Ross Case,Mal Anderson,6-3 7-6,,,,,,,,,,,,,,,,,,,,,
14-Jun-1976,Berlin,3,Hard,R32,188,8,0,,,Eddie Dibbs,Mal Anderson,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
26-Dec-1975,Australian Open,5,Grass,R16,373,,0,,,Brad Drewett,Mal Anderson,6-4 6-3 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
26-Dec-1975,Australian Open,5,Grass,R32,373,93,1,,,Mal Anderson,John Lloyd,7-5 6-4 4-6 7-5,,,,,,,,,,,,,,,,,,,,,
26-Dec-1975,Australian Open,5,Grass,R64,373,,1,,,Mal Anderson,John Marks,3-6 6-4 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
19-Oct-1975,Sydney Indoor,3,Hard,R64,,25,0,,8,Brian Gottfried,Mal Anderson,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
2-Dec-1974,Adelaide,3,Grass,R16,128,297,0,,,Cliff Letcher,Mal Anderson,6-2 6-7 8-6,,,,,,,,,,,,,,,,,,,,,
2-Dec-1974,Adelaide,3,Grass,R32,128,,1,,,Mal Anderson,Mike Prineas,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
16-Nov-1974,Manila,3,Hard,R16,128,45,0,,,Han Jurgen Pohmann,Mal Anderson,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
16-Nov-1974,Manila,3,Hard,R32,128,,1,,,Mal Anderson,Ramon Funtera,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
20-Oct-1974,Sydney Indoor,3,Hard,R32,132,142,0,,,Bob Carmichael,Mal Anderson,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
17-Sep-1974,Los Angeles,3,Hard,R64,130,1,0,,1,Jimmy Connors,Mal Anderson,6-3 5-7 7-6,,,,,,,,,,,,,,,,,,,,,
11-Nov-1973,Sydney Indoor,3,Hard,R32,,70,0,,,Mike Estep,Mal Anderson,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
29-Oct-1973,Hong Kong,3,Hard,QF,,179,0,,,Anand Amritraj,Mal Anderson,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
29-Oct-1973,Hong Kong,3,Hard,R16,,80,1,,,Mal Anderson,Milan Holecek,6-3 7-6,,,,,,,,,,,,,,,,,,,,,
29-Oct-1973,Hong Kong,3,Hard,R32,,,1,,,Mal Anderson,Alan Ho,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
