Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
11-Jun-2018,USA F14,3,Clay,R32,1257,921,0,,,Mateo Nicolas Martinez,Marcel Felder,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
28-Aug-2017,Quito CH,3,Clay,Q3,742,462,0,6,2,Pedro Sakamoto,Marcel Felder,6-2 6-3,0.58,0.0%,4.3%,70.2%,57.6%,35.7%,3/7,39.6%,28.6%,14.3%,19.4%,44.4%,1/2,96,0,2,47,33,14,7,0:53
28-Aug-2017,Quito CH,3,Clay,Q2,742,1145,1,6,,Marcel Felder,Alejandro Mendoza,6-3 2-6 6-2,1.25,5.3%,2.6%,61.8%,72.3%,51.7%,3/6,53.7%,44.3%,8.0%,29.4%,64.9%,4/8,164,4,2,76,47,29,7,1:41
24-Jul-2017,Granby CH,3,Hard,Q2,701,949,0,8,,Pavel Krainik,Marcel Felder,6-7(4) 6-4 6-4,0.91,1.8%,3.6%,70.3%,60.3%,51.5%,8/14,48.4%,38.7%,10.4%,32.8%,46.7%,4/7,217,2,4,111,78,33,11,2:16
17-Jul-2017,Gatineau CH,3,Hard,Q1,699,1649,0,,,Hans Hach Verdugo,Marcel Felder,6-1 6-7(3) 6-3,0.85,1.3%,2.5%,67.1%,62.3%,46.2%,4/9,45.7%,36.5%,5.2%,25.9%,52.6%,2/8,175,1,2,79,53,26,5,2:12
3-Jul-2017,Canada F4,3,Hard,R16,753,1786,0,7,,Raheel Manji,Marcel Felder,6-3 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
3-Jul-2017,Canada F4,3,Hard,R32,753,,1,7,Q,Marcel Felder,Maxwell Mendelsohn,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,Canada F3,3,Hard,QF,738,342,0,7,4,Raymond Sarmiento,Marcel Felder,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,Canada F3,3,Hard,R16,738,,1,7,Q,Marcel Felder,Ronnie Schneider,6-4 1-6 7-6(1),,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,Canada F3,3,Hard,R32,738,1648,1,7,,Marcel Felder,Henry Choi,6-3 7-6(1),,,,,,,,,,,,,,,,,,,,,
15-May-2017,Mexico F4,3,Hard,F,1040,656,1,Q,,Marcel Felder,Manuel Sanchez,3-6 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
15-May-2017,Mexico F4,3,Hard,SF,1040,388,1,Q,3,Marcel Felder,Juan Ignacio Londero,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
15-May-2017,Mexico F4,3,Hard,QF,1040,1648,1,Q,WC,Marcel Felder,Jose Antonio Rodriguez Rodriguez,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
15-May-2017,Mexico F4,3,Hard,R16,1040,506,1,Q,8,Marcel Felder,Nicolas Santos,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
15-May-2017,Mexico F4,3,Hard,R32,1040,745,1,Q,,Marcel Felder,Raleigh Smith,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
1-May-2017,Mexico F2,3,Hard,R16,1077,1385,0,Q,Q,Naoki Takeda,Marcel Felder,6-2 1-6 7-5,,,,,,,,,,,,,,,,,,,,,
1-May-2017,Mexico F2,3,Hard,R32,1077,2097,1,Q,Q,Marcel Felder,Nicholas Alexander Reyes,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
10-Apr-2017,San Luis Potosi CH,3,Clay,R32,1228,382,0,Q,,Juan Ignacio Londero,Marcel Felder,6-3 6-3,0.65,1.7%,3.4%,63.8%,48.6%,42.9%,2/7,40.7%,34.5%,0.0%,27.3%,45.5%,2/4,113,1,2,58,37,21,0,1:19
10-Apr-2017,San Luis Potosi CH,3,Clay,Q2,1228,772,1,5,3,Marcel Felder,Luca Margaroli,6-4 6-2,1.44,1.8%,1.8%,56.1%,65.6%,76.0%,3/3,57.5%,42.9%,20.4%,9.5%,67.9%,3/7,106,1,1,57,32,25,10,1:17
13-Mar-2017,Tigre CH,3,Hard,Q2,1235,438,0,,3,Daniel Dutra Da Silva,Marcel Felder,6-1 6-2,0.61,0.0%,0.0%,75.7%,46.4%,44.4%,1/5,38.0%,32.7%,7.3%,26.5%,42.9%,0/5,92,0,0,37,28,9,4,1:07
13-Mar-2017,Tigre CH,3,Hard,Q1,1235,,1,,WC,Marcel Felder,Axel Geller,6-2 6-2,1.77,0.0%,0.0%,70.2%,66.7%,85.7%,1/1,60.4%,49.0%,2.0%,32.0%,66.7%,4/7,96,0,0,47,33,14,1,1:05
12-Dec-2016,Uruguay F3,3,Clay,QF,1400,360,0,WC,1,Michael Linzer,Marcel Felder,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
