Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
12-Jun-2017,USA F18,3,Clay,R16,1458,821,0,WC,8,Raleigh Smith,Marcus Fugate,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
12-Jun-2017,USA F18,3,Clay,R32,1458,1065,1,WC,,Marcus Fugate,Max Wennakoski,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
20-Jun-2016,USA F20,3,Clay,QF,1531,1101,0,WC,WC,Thai Son Kwiatkowski,Marcus Fugate,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
20-Jun-2016,USA F20,3,Clay,R16,1531,757,1,WC,3,Marcus Fugate,Winston Lin,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
20-Jun-2016,USA F20,3,Clay,R32,1531,1109,1,WC,,Marcus Fugate,Maksim Tikhomirov,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
22-Jun-2015,USA F18,3,Clay,R16,1576,349,0,WC,1,Emilio Gomez,Marcus Fugate,6-2 6-7(5) 6-3,,,,,,,,,,,,,,,,,,,,,
22-Jun-2015,USA F18,3,Clay,R32,1576,,1,WC,WC,Marcus Fugate,Ethan Dunbar,4-6 6-2 6-1,,,,,,,,,,,,,,,,,,,,,
15-Jun-2015,USA F17,3,Clay,R16,1567,563,0,WC,3,Sekou Bangoura,Marcus Fugate,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
15-Jun-2015,USA F17,3,Clay,R32,1567,1017,1,WC,,Marcus Fugate,Dmytro Kamynin,6-3 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
23-Jun-2014,USA F18,3,Clay,R16,1177,730,0,,,Connor Smith,Marcus Fugate,7-5 7-6(2),,,,,,,,,,,,,,,,,,,,,
23-Jun-2014,USA F18,3,Clay,R32,1177,,1,,Q,Marcus Fugate,Denis Nguyen,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
16-Jun-2014,USA F16,3,Clay,R16,1178,719,0,,,Mitchell Frank,Marcus Fugate,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
16-Jun-2014,USA F16,3,Clay,R32,1178,455,1,,4,Marcus Fugate,Facundo Mena,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
24-Jun-2013,USA F17,3,Clay,SF,1595,698,0,WC,8,Michael Shabaz,Marcus Fugate,6-1 7-6(2),,,,,,,,,,,,,,,,,,,,,
24-Jun-2013,USA F17,3,Clay,QF,1595,448,1,WC,4,Marcus Fugate,Jason Jung,6-1 7-5,,,,,,,,,,,,,,,,,,,,,
24-Jun-2013,USA F17,3,Clay,R16,1595,,1,WC,Q,Marcus Fugate,Connor Smith,6-1 1-6 6-2,,,,,,,,,,,,,,,,,,,,,
24-Jun-2013,USA F17,3,Clay,R32,1595,1162,1,WC,,Marcus Fugate,Kirill Kasyanov,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
9-Jul-2012,USA F19,3,Clay,R16,1522,523,0,WC,3,Michael Venus,Marcus Fugate,6-4 5-7 6-4,,,,,,,,,,,,,,,,,,,,,
9-Jul-2012,USA F19,3,Clay,R32,1522,,1,WC,Q,Marcus Fugate,Matias Andres Aignasse,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
11-Jul-2011,USA F18,3,Clay,R16,1321,697,0,WC,6,Takanyi Garanganga,Marcus Fugate,2-6 7-6(6) 6-1,,,,,,,,,,,,,,,,,,,,,
11-Jul-2011,USA F18,3,Clay,R32,1321,1160,1,WC,,Marcus Fugate,Dennis Novikov,6-7(6) 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
12-Jul-2010,USA F18,3,Clay,R32,746,307,0,,1,Vasek Pospisil,Marcus Fugate,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
5-Jul-2010,USA F17,3,Clay,QF,770,484,0,,3,Adam El Mihdawy,Marcus Fugate,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
5-Jul-2010,USA F17,3,Clay,R16,770,829,1,,,Marcus Fugate,Robbye Poole,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
5-Jul-2010,USA F17,3,Clay,R32,770,,1,,WC,Marcus Fugate,Evan King,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
28-Jun-2010,USA F16,3,Clay,QF,,1321,0,,WC,Chase Buchanan,Marcus Fugate,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
28-Jun-2010,USA F16,3,Clay,R16,,,1,,8,Marcus Fugate,Conor Pollock,6-4 6-5 RET,,,,,,,,,,,,,,,,,,,,,
28-Jun-2010,USA F16,3,Clay,R32,,,1,,Q,Marcus Fugate,Evan King,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
10-May-2010,USA F12,3,Clay,R16,716,517,0,,3,Blake Strode,Marcus Fugate,6-4 7-6(6),,,,,,,,,,,,,,,,,,,,,
10-May-2010,USA F12,3,Clay,R32,716,1072,1,,,Marcus Fugate,Roman Recarte,7-6(4) 6-2,,,,,,,,,,,,,,,,,,,,,
