Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
6-May-1996,Ljubljana CH,3,Clay,R32,525,121,0,Q,,Dirk Dier,Marten Renstrom,5-7 7-5 6-2,,,,,,,,,,,,,,,,,,,,,
16-Oct-1995,Glendale CH,3,Hard,R32,506,169,0,,5,Mark Knowles,Marten Renstrom,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
18-Jul-1994,Scheveningen CH,3,Clay,R32,476,126,0,Q,,Simon Youl,Marten Renstrom,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
14-Feb-1994,Celle CH,3,Carpet,R32,317,205,0,Q,,Thomas Gollwitzer,Marten Renstrom,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
18-Oct-1993,Gothenburg CH,3,Carpet,R32,304,120,0,WC,2,Chris Wilkinson,Marten Renstrom,7-6 6-7 6-3,,,,,,,,,,,,,,,,,,,,,
20-Sep-1993,Fairfield CH,3,Hard,SF,401,717,0,,WC,Steve Devries,Marten Renstrom,7-6 6-1,,,,,,,,,,,,,,,,,,,,,
20-Sep-1993,Fairfield CH,3,Hard,QF,401,173,1,,6,Marten Renstrom,Kevin Ullyett,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
20-Sep-1993,Fairfield CH,3,Hard,R16,401,134,1,,3,Marten Renstrom,David Witt,5-7 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
20-Sep-1993,Fairfield CH,3,Hard,R32,401,345,1,,,Marten Renstrom,Brian Devening,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
19-Jul-1993,Scheveningen CH,3,Clay,R32,414,177,0,Q,7,Dimitri Poliakov,Marten Renstrom,7-5 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
