Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
27-Jul-1998,Scheveningen CH,3,Clay,QF,414,340,0,WC,WC,Raemon Sluiter,Martijn Belgraver,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
27-Jul-1998,Scheveningen CH,3,Clay,R16,414,166,1,WC,8,Martijn Belgraver,Edwin Kempes,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
27-Jul-1998,Scheveningen CH,3,Clay,R32,414,212,1,WC,,Martijn Belgraver,Davide Scala,5-7 7-5 7-6,,,,,,,,,,,,,,,,,,,,,
1-Dec-1997,Ahmedabad CH,3,Hard,R16,228,146,0,,2,Oleg Ogorodov,Martijn Belgraver,7-6 6-2,,,,,,,,,,,,,,,,,,,,,
1-Dec-1997,Ahmedabad CH,3,Hard,R32,228,315,1,,,Martijn Belgraver,Barry Cowan,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
24-Nov-1997,Bombay CH,3,Hard,R16,221,237,0,,,Andrei Stoliarov,Martijn Belgraver,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
24-Nov-1997,Bombay CH,3,Hard,R32,221,338,1,,,Martijn Belgraver,Satoshi Iwabuchi,6-4 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
13-Oct-1997,Guayaquil CH,3,Clay,R32,225,139,0,,8,Gaston Etlis,Martijn Belgraver,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
6-Oct-1997,Lima CH,3,Clay,R32,229,137,0,Q,5,Franco Squillari,Martijn Belgraver,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
18-Aug-1997,Nettingsdorf CH,3,Clay,R32,238,408,0,,Q,Clemens Trimmel,Martijn Belgraver,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
28-Jul-1997,Poznan CH,3,Clay,R32,231,219,0,,,David Rikl,Martijn Belgraver,7-6 6-7 6-4,,,,,,,,,,,,,,,,,,,,,
21-Jul-1997,Tampere CH,3,Clay,R32,227,622,0,3,Q,Ville Liukko,Martijn Belgraver,6-4 3-6 7-5,,,,,,,,,,,,,,,,,,,,,
14-Jul-1997,Scheveningen CH,3,Clay,R32,219,280,0,,,German Puentes,Martijn Belgraver,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
7-Jul-1997,Brasov CH,3,Clay,SF,242,182,0,,3,Ion Moldovan,Martijn Belgraver,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
7-Jul-1997,Brasov CH,3,Clay,QF,242,892,1,,Q,Martijn Belgraver,George Cosac,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
7-Jul-1997,Brasov CH,3,Clay,R16,242,246,1,,,Martijn Belgraver,Nicola Bruno,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
7-Jul-1997,Brasov CH,3,Clay,R32,242,127,1,,2,Martijn Belgraver,Razvan Sabau,7-6 1-6 6-1,,,,,,,,,,,,,,,,,,,,,
30-Jun-1997,Montauban CH,3,Clay,R32,231,251,0,,,Carlos Gomez Diaz,Martijn Belgraver,6-0 7-6,,,,,,,,,,,,,,,,,,,,,
16-Jun-1997,Eisenach CH,3,Clay,R32,229,203,0,,,Lars Burgsmuller,Martijn Belgraver,7-6 6-2,,,,,,,,,,,,,,,,,,,,,
5-May-1997,Bratislava CH,3,Clay,R32,217,204,0,,8,Grant Doyle,Martijn Belgraver,3-6 7-5 7-6,,,,,,,,,,,,,,,,,,,,,
2-Sep-1996,Brasov CH,3,Clay,R32,274,204,0,,3,Tuomas Ketola,Martijn Belgraver,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
15-Jul-1996,Scheveningen CH,3,Clay,R16,292,194,0,Q,,Lucas Arnold Ker,Martijn Belgraver,6-7 7-6 7-5,,,,,,,,,,,,,,,,,,,,,
15-Jul-1996,Scheveningen CH,3,Clay,R32,292,166,1,Q,8,Martijn Belgraver,Orlin Stanoytchev,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
1-Jul-1996,Montauban CH,3,Clay,R16,294,193,0,Q,,Alberto Martin,Martijn Belgraver,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
1-Jul-1996,Montauban CH,3,Clay,R32,294,178,1,Q,,Martijn Belgraver,Tuomas Ketola,4-6 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
17-Jun-1996,Eisenach CH,3,Clay,R32,293,250,0,,,John Van Lottum,Martijn Belgraver,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
13-May-1996,Dresden CH,3,Clay,R32,264,137,0,Q,,Lionel Roux,Martijn Belgraver,6-2 2-6 6-3,,,,,,,,,,,,,,,,,,,,,
19-Feb-1996,Cherbourg CH,3,Hard,R16,366,95,0,Q,6,Fabrice Santoro,Martijn Belgraver,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
19-Feb-1996,Cherbourg CH,3,Hard,R32,366,120,1,Q,,Martijn Belgraver,Sebastien Lareau,7-6 6-3,,,,,,,,,,,,,,,,,,,,,
