Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
31-Mar-1980,New Orleans,3,Carpet,R32,,82,0,,,Charles Owens,Martin Robinson,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
23-May-1977,Roland Garros,5,Clay,R128,,8,0,,4,Eddie Dibbs,Martin Robinson,6-1 6-0 6-0,,,,,,,,,,,,,,,,,,,,,
23-Nov-1976,Johannesburg - WCT,3,Hard,R32,,,0,,,Bob Hewitt,Martin Robinson,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
23-Nov-1976,Johannesburg - WCT,3,Hard,R64,,,1,,,Martin Robinson,Colin Dowdeswell,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
1-Nov-1976,London,3,Carpet,R32,,,0,,,Mark Cox,Martin Robinson,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
11-Oct-1976,Madrid,3,Clay,R32,,,0,,,Jan Kodes,Martin Robinson,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
11-Oct-1976,Madrid,3,Clay,R64,,,1,,,Martin Robinson,Max Hurlimann,4-6 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
4-Oct-1976,Tehran,3,Clay,R64,,,0,,,Rick Fisher,Martin Robinson,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
13-Jul-1976,Hilversum,3,Clay,R32,,,0,,2,Balazs Taroczy,Martin Robinson,4-6 6-0 6-2,,,,,,,,,,,,,,,,,,,,,
4-Jul-1976,Gstaad,3,Clay,R32,,,0,,,Bruce Manson,Martin Robinson,6-7 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
21-Jun-1976,Wimbledon,5,Grass,R128,,,0,,7,Roscoe Tanner,Martin Robinson,8-6 7-5 6-4,,,,,,,,,,,,,,,,,,,,,
31-May-1976,Roland Garros,5,Clay,R128,,,0,,,Patrick Proisy,Martin Robinson,6-0 2-6 6-1 6-1,,,,,,,,,,,,,,,,,,,,,
