Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
3-Sep-2018,Genova CH,3,Clay,Q2,433,394,0,,,Joao Souza,Mate Delic,6-2 7-5,0.48,1.7%,0.0%,67.2%,61.5%,52.6%,2/5,40.7%,20.0%,24.0%,16.7%,28.6%,0/0,108,1,0,58,39,19,12,1:02
6-Aug-2018,Portoroz CH,3,Hard,Q2,414,507,0,6,,Albano Olivetti,Mate Delic,6-4 7-6(5),0.86,6.9%,1.4%,66.7%,75.0%,62.5%,2/3,47.9%,25.0%,23.6%,15.9%,39.3%,0/2,144,5,1,72,48,24,17,1:25
30-Jul-2018,Liberec CH,3,Clay,Q1,415,504,0,,,Marvin Moeller,Mate Delic,6-3 6-1,0.73,0.0%,1.7%,62.7%,37.8%,63.6%,5/10,42.9%,38.3%,8.3%,36.0%,40.0%,1/9,119,0,1,59,37,22,5,1:11
9-Jul-2018,Perugia CH,3,Clay,Q2,396,269,0,,3,Ante Pavic,Mate Delic,6-2 6-4,0.54,11.5%,0.0%,71.2%,67.6%,40.0%,2/5,41.8%,21.7%,13.0%,14.8%,31.6%,0/0,98,6,0,52,37,15,6,1:00
9-Jul-2018,Perugia CH,3,Clay,Q1,396,469,1,,,Mate Delic,Juan Pablo Varillas Patino Samudio,4-6 6-3 7-5,1.33,5.6%,1.1%,58.4%,76.9%,67.6%,0/1,53.1%,35.9%,7.8%,25.0%,57.1%,2/12,192,5,1,89,52,37,8,2:13
14-May-2018,Bosnia &amp; Herzegovina F1,3,Clay,QF,416,747,0,2,,Nerman Fatic,Mate Delic,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
14-May-2018,Bosnia &amp; Herzegovina F1,3,Clay,R16,416,935,1,2,,Mate Delic,Petr Hajek,7-6(5) 7-5,,,,,,,,,,,,,,,,,,,,,
14-May-2018,Bosnia &amp; Herzegovina F1,3,Clay,R32,416,,1,2,,Mate Delic,Valentin Vanta,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
7-May-2018,Turkey F18,3,Clay,SF,465,581,0,4,,Jules Okala,Mate Delic,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
7-May-2018,Turkey F18,3,Clay,QF,465,1393,1,4,WC,Mate Delic,Alexander Boborykin,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
7-May-2018,Turkey F18,3,Clay,R16,465,987,1,4,,Mate Delic,Ivan Davydov,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
7-May-2018,Turkey F18,3,Clay,R32,465,1582,1,4,,Mate Delic,Vadim Alekseenko,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
30-Apr-2018,Turkey F17,3,Clay,F,463,482,1,4,5,Mate Delic,Gijs Brouwer,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
30-Apr-2018,Turkey F17,3,Clay,SF,463,589,1,4,,Mate Delic,Jules Okala,7-6(7) 6-3,,,,,,,,,,,,,,,,,,,,,
30-Apr-2018,Turkey F17,3,Clay,QF,463,609,1,4,,Mate Delic,Tak Khunn Wang,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
30-Apr-2018,Turkey F17,3,Clay,R16,463,901,1,4,,Mate Delic,Marko Miladinovic,3-6 7-6(2) 6-0,,,,,,,,,,,,,,,,,,,,,
