Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
17-Aug-2015,Germany F12,3,Clay,R32,1016,893,0,,,Tim Nekic,Matias Rodolfo Buchhass,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
23-Feb-2015,Buenos Aires Q,3,Clay,Q1,938,227,0,,,Filippo Volandri,Matias Rodolfo Buchhass,3-2 RET,0.71,5.6%,11.1%,66.7%,58.3%,33.3%,1/2,42.9%,35.3%,0.0%,30.8%,50.0%,0/1,35,1,2,18,12,6,0,0:27
22-Dec-2014,Chile F12,3,Clay,R32,937,437,0,,,Guillermo Rivera Aranguiz,Matias Rodolfo Buchhass,7-5 7-6(4),,,,,,,,,,,,,,,,,,,,,
8-Dec-2014,Argentina F20,3,Clay,QF,1044,295,0,WC,3,Christian Garin,Matias Rodolfo Buchhass,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
8-Dec-2014,Argentina F20,3,Clay,R16,1044,1843,1,WC,WC,Matias Rodolfo Buchhass,Nicolas Ferrando,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
8-Dec-2014,Argentina F20,3,Clay,R32,1044,394,1,WC,7,Matias Rodolfo Buchhass,Mateo Nicolas Martinez,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
1-Dec-2014,Argentina F19,3,Clay,R16,1147,424,0,Q,8,Grzegorz Panfil,Matias Rodolfo Buchhass,7-6(4) 6-1,,,,,,,,,,,,,,,,,,,,,
1-Dec-2014,Argentina F19,3,Clay,R32,1147,2023,1,Q,Q,Matias Rodolfo Buchhass,Wenceslao Albin Martin,6-2 6-7(2) 7-5,,,,,,,,,,,,,,,,,,,,,
24-Nov-2014,Brazil F15,3,Clay,QF,1141,690,0,Q,,Fabricio Neis,Matias Rodolfo Buchhass,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
24-Nov-2014,Brazil F15,3,Clay,R16,1141,UNR,1,Q,,Matias Rodolfo Buchhass,Ariel Behar,6-2 3-6 7-5,,,,,,,,,,,,,,,,,,,,,
24-Nov-2014,Brazil F15,3,Clay,R32,1141,1953,1,Q,Q,Matias Rodolfo Buchhass,Renan Conti Espricigo,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
17-Nov-2014,Montevideo CH,3,Clay,R32,1339,363,0,Q,,Federico Coria,Matias Rodolfo Buchhass,6-1 4-6 6-1,0.70,0.0%,6.3%,65.6%,54.0%,27.3%,9/17,42.2%,38.6%,2.9%,34.0%,47.8%,4/8,166,0,6,96,63,33,2,1:57
15-Sep-2014,Argentina F18,3,Clay,R16,1375,627,0,Q,5,Eduardo Agustin Torre,Matias Rodolfo Buchhass,7-6(4) 7-5,,,,,,,,,,,,,,,,,,,,,
15-Sep-2014,Argentina F18,3,Clay,R32,1375,1178,1,Q,,Matias Rodolfo Buchhass,Gaston Paz,3-2 RET,,,,,,,,,,,,,,,,,,,,,
28-Jul-2014,Argentina F12,3,Clay,R16,1291,413,0,Q,3,Martin Cuevas,Matias Rodolfo Buchhass,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
28-Jul-2014,Argentina F12,3,Clay,R32,1291,UNR,1,Q,WC,Matias Rodolfo Buchhass,Stefano Di Aloy,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
14-Jul-2014,Argentina F10,3,Clay,QF,1503,413,0,Q,4,Martin Cuevas,Matias Rodolfo Buchhass,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
14-Jul-2014,Argentina F10,3,Clay,R16,1503,660,1,Q,6,Matias Rodolfo Buchhass,Eduardo Agustin Torre,6-3 4-6 6-3,,,,,,,,,,,,,,,,,,,,,
14-Jul-2014,Argentina F10,3,Clay,R32,1503,990,1,Q,,Matias Rodolfo Buchhass,Gonzalo Villanueva,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
16-Jun-2014,Argentina F7,3,Clay,R32,1474,507,0,Q,5,Tiago Lopes,Matias Rodolfo Buchhass,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
14-Apr-2014,Colombia F1,3,Clay,R32,1247,273,0,,1,Carlos Salamanca,Matias Rodolfo Buchhass,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
24-Mar-2014,Argentina F6,3,Clay,R32,1241,1152,0,Q,Q,Tomas Buchhass,Matias Rodolfo Buchhass,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
25-Nov-2013,Brazil F18,3,Clay,R32,1233,831,0,Q,,Alexandre Tsuchiya,Matias Rodolfo Buchhass,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
21-Oct-2013,Peru F3,3,Clay,R16,1297,UNR,0,LL,WC,Juan Pablo Varillas Patino Samudio,Matias Rodolfo Buchhass,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
21-Oct-2013,Peru F3,3,Clay,R32,1297,1047,1,LL,WC,Matias Rodolfo Buchhass,Duilio Vallebuona,3-6 7-6(5) 6-3,,,,,,,,,,,,,,,,,,,,,
23-Sep-2013,Argentina F20,3,Clay,R32,1268,1288,0,LL,,Joao Walendowsky,Matias Rodolfo Buchhass,4-6 6-4 7-6(6),,,,,,,,,,,,,,,,,,,,,
16-Sep-2013,Argentina F19,3,Clay,R32,1265,1313,0,Q,Q,Mariano Urli,Matias Rodolfo Buchhass,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
2-Sep-2013,Argentina F17,3,Clay,QF,1473,419,0,,2,Gabriel Alejandro Hidalgo,Matias Rodolfo Buchhass,7-6(4) 6-2,,,,,,,,,,,,,,,,,,,,,
2-Sep-2013,Argentina F17,3,Clay,R16,1473,UNR,1,,WC,Matias Rodolfo Buchhass,Francisco Bahamonde,6-4 5-7 7-6(5),,,,,,,,,,,,,,,,,,,,,
2-Sep-2013,Argentina F17,3,Clay,R32,1473,708,1,,8,Matias Rodolfo Buchhass,Mauricio Perez Mota,6-2 3-6 7-6(5),,,,,,,,,,,,,,,,,,,,,
26-Aug-2013,Argentina F16,3,Clay,R32,1473,419,0,,2,Gabriel Alejandro Hidalgo,Matias Rodolfo Buchhass,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
19-Aug-2013,Argentina F15,3,Clay,R32,1463,906,0,Q,,Juan Ignacio Galarza,Matias Rodolfo Buchhass,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
22-Apr-2013,Argentina F3,3,Clay,QF,UNR,654,0,Q,8,Hugo Dellien,Matias Rodolfo Buchhass,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
22-Apr-2013,Argentina F3,3,Clay,R16,UNR,536,1,Q,3,Matias Rodolfo Buchhass,Facundo Mena,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
22-Apr-2013,Argentina F3,3,Clay,R32,UNR,760,1,Q,,Matias Rodolfo Buchhass,Caio Silva,6-2 7-6(4),,,,,,,,,,,,,,,,,,,,,
30-Apr-2012,Argentina F9,3,Clay,R32,UNR,932,0,Q,,Andres Ceppo,Matias Rodolfo Buchhass,7-5 6-0,,,,,,,,,,,,,,,,,,,,,
