Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
2-Sep-2024,Istanbul CH,3,Hard,Q1,1562,563,0,Alt,10,Ilya Snitari,Mats Hermans,6-2 6-3,0.41,1.3%,10.1%,54.4%,65.1%,38.9%,7/11,41.3%,19.0%,9.5%,17.4%,21.1%,0/2,121,1,8,79,43,36,4,1:08
8-Jul-2024,Trieste CH,3,Clay,Q2,,424,0,Alt,9,Svyatoslav Gulin,Mats Hermans,6-1 6-1,0.42,2.0%,6.0%,52.0%,50.0%,33.3%,3/8,34.5%,24.3%,8.1%,10.5%,38.9%,0/0,87,1,3,50,26,24,3,0:49
8-Jul-2024,Trieste CH,3,Clay,Q1,,373,1,Alt,6,Mats Hermans,Raul Brancaccio,6-4 2-1 RET,0.90,4.0%,2.0%,66.0%,66.7%,58.8%,6/7,51.9%,32.3%,6.5%,11.1%,61.5%,2/3,81,2,1,50,33,17,2,0:51
21-Nov-2022,M25 Heraklion,3,Hard,R32,,569,0,Q,6,Tao Mu,Mats Hermans,4-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
15-Aug-2022,M25 Koksijde,3,Clay,R32,,364,0,Q,4,Mats Rosenkranz,Mats Hermans,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
2-Dec-2019,M15 Antalya,3,Clay,R32,1384,513,0,WC,Q,Mircea Alexandru Jecan,Mats Hermans,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
14-Oct-2019,M15 Antalya,3,Clay,R16,1570,526,0,LL,,Mate Valkusz,Mats Hermans,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
14-Oct-2019,M15 Antalya,3,Clay,R32,1570,1708,1,LL,,Mats Hermans,Aleksandre Bakshi,6-4 4-0 RET,,,,,,,,,,,,,,,,,,,,,
23-Sep-2019,M15 Antalya,3,Clay,R16,1951,517,0,,,Kai Wehnelt,Mats Hermans,6-1 3-6 7-6(1),,,,,,,,,,,,,,,,,,,,,
23-Sep-2019,M15 Antalya,3,Clay,R32,1951,1165,1,,,Mats Hermans,Tomas Liska,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
