Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
7-Oct-1996,Beijing,3,Carpet,R32,194,,0,WC,,Martin Damm Sr,Mats Wilander,6-4 6-3,0.77,8.0%,2.0%,58.0%,69.0%,57.1%,2/4,44.1%,27.9%,24.6%,17.5%,47.6%,0/2,111,4,1,50,29,21,15,1:07
30-Sep-1996,Singapore,3,Carpet,R32,196,48,0,WC,6,Sjeng Schalken,Mats Wilander,6-2 6-2,0.62,1.9%,1.9%,61.1%,60.6%,33.3%,2/6,40.4%,30.9%,5.5%,17.1%,55.0%,0/2,109,1,1,54,33,21,3,1:02
12-Aug-1996,New Haven,3,Hard,R64,117,72,0,,,Patrick Rafter,Mats Wilander,6-3 6-4,0.68,3.9%,9.8%,68.6%,57.1%,31.3%,1/6,42.3%,34.8%,6.5%,31.8%,37.5%,2/3,97,2,5,51,35,16,3,1:02
24-Jun-1996,Braunschweig CH,3,Clay,R16,74,132,0,5,,Lionel Roux,Mats Wilander,7-6 3-6 7-5,,,,,,,,,,,,,,,,,,,,,
24-Jun-1996,Braunschweig CH,3,Clay,R32,74,129,1,5,,Mats Wilander,Nuno Marques,4-6 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
27-May-1996,Roland Garros,5,Clay,R64,75,18,0,,,Todd Martin,Mats Wilander,6-4 7-6(5) 6-2,0.70,2.6%,0.9%,82.5%,66.0%,25.0%,8/12,43.5%,28.8%,10.2%,19.8%,59.3%,1/8,232,3,1,114,94,20,12,2:30
27-May-1996,Roland Garros,5,Clay,R128,75,97,1,,,Mats Wilander,Jean Philippe Fleurian,7-5 6-4 6-1,1.45,5.2%,2.1%,70.8%,76.5%,46.4%,2/4,56.0%,46.7%,4.2%,31.0%,69.4%,6/18,216,5,2,96,68,28,5,2:08
13-May-1996,Coral Springs,3,Clay,R32,72,275,0,,Q,Francisco Montana,Mats Wilander,3-6 6-4 6-3,1.02,1.9%,1.9%,66.3%,58.0%,42.9%,12/19,50.5%,47.9%,0.0%,42.2%,60.0%,6/13,198,2,2,104,69,35,0,2:19
6-May-1996,Pinehurst,3,Clay,F,85,76,0,,,Fernando Meligeni,Mats Wilander,6-4 6-2,0.73,1.6%,9.7%,54.8%,61.8%,46.4%,7/11,43.9%,32.8%,3.3%,28.6%,36.4%,1/5,123,1,6,62,34,28,2,1:33
6-May-1996,Pinehurst,3,Clay,SF,85,50,1,,5,Mats Wilander,Javier Frana,6-3 6-3,1.48,1.7%,1.7%,69.5%,78.0%,44.4%,6/7,57.5%,47.5%,1.6%,34.3%,65.4%,4/7,120,1,1,59,41,18,1,1:17
6-May-1996,Pinehurst,3,Clay,QF,85,78,1,,,Mats Wilander,Vincent Spadea,1-6 6-3 6-2,1.08,4.0%,2.7%,60.0%,62.2%,50.0%,4/8,50.8%,46.1%,2.9%,40.4%,53.3%,5/13,177,3,2,75,45,30,3,2:05
6-May-1996,Pinehurst,3,Clay,R16,85,77,1,,,Mats Wilander,Guillaume Raoux,6-1 6-2,1.85,10.9%,2.2%,56.5%,80.8%,60.0%,0/0,62.2%,52.3%,0.0%,62.5%,46.4%,4/9,90,5,1,46,26,20,0,1:05
6-May-1996,Pinehurst,3,Clay,R32,85,94,1,,,Mats Wilander,Sandon Stolle,6-4 6-4,1.37,1.7%,1.7%,70.7%,68.3%,47.1%,3/6,56.2%,51.9%,3.8%,52.8%,51.2%,5/10,137,1,1,58,41,17,3,1:33
29-Apr-1996,Atlanta,3,Clay,R32,80,124,0,7,,Richard Fromberg,Mats Wilander,6-3 6-4,0.88,1.7%,3.3%,55.0%,63.6%,33.3%,7/12,46.8%,43.9%,6.1%,34.9%,60.9%,3/6,126,1,2,60,33,27,4,1:19
22-Apr-1996,Birmingham CH,3,Clay,R32,78,207,0,5,,Thierry Champion,Mats Wilander,6-4 3-6 6-2,,,,,,,,,,,,,,,,,,,,,
15-Apr-1996,Bermuda,3,Clay,QF,85,38,0,,2,Javier Frana,Mats Wilander,6-4 6-2,0.50,4.8%,1.6%,61.9%,53.8%,50.0%,5/9,41.0%,23.8%,14.3%,30.0%,8.3%,1/1,105,3,1,63,39,24,6,1:13
15-Apr-1996,Bermuda,3,Clay,R16,85,87,1,,,Mats Wilander,Patrick Rafter,7-6(0) 6-3,1.63,1.5%,1.5%,70.8%,76.1%,68.4%,3/4,56.5%,42.7%,4.9%,32.5%,52.4%,2/9,147,1,1,65,46,19,4,1:45
15-Apr-1996,Bermuda,3,Clay,R32,85,78,1,,7,Mats Wilander,Fernando Meligeni,6-2 6-2,1.53,1.6%,1.6%,62.3%,71.1%,60.9%,4/4,58.5%,50.0%,3.2%,35.3%,67.9%,4/10,123,1,1,61,38,23,2,1:29
18-Mar-1996,Miami Masters,3,Hard,R128,66,63,0,,,Alex Corretja,Mats Wilander,6-2 6-4,0.71,3.6%,3.6%,57.1%,65.6%,29.2%,5/9,42.4%,35.5%,14.5%,25.6%,52.2%,1/7,118,2,2,56,32,24,9,1:20
11-Mar-1996,Indian Wells Masters,3,Hard,R64,63,40,0,,,Adrian Voinea,Mats Wilander,6-3 7-6(9),0.80,4.0%,2.7%,60.0%,68.9%,50.0%,2/5,46.6%,31.0%,14.1%,17.1%,50.0%,2/6,146,3,2,75,45,30,10,1:36
26-Feb-1996,Philadelphia,3,Carpet,R32,54,73,0,,,Scott Draper,Mats Wilander,6-4 3-6 6-4,1.02,3.6%,2.7%,60.7%,67.6%,52.3%,10/13,50.2%,39.1%,5.2%,35.4%,44.0%,3/13,227,4,3,112,68,44,6,2:07
6-Nov-1995,Stockholm,3,Hard,R32,50,147,0,,Q,Mikael Tillstrom,Mats Wilander,6-3 7-6(2),0.82,5.1%,2.5%,59.5%,61.7%,37.5%,8/12,45.6%,39.5%,4.9%,25.0%,56.8%,3/8,160,4,2,79,47,32,4,1:39
25-Sep-1995,Basel,3,Hard,R32,50,101,0,,Q,Jason Stoltenberg,Mats Wilander,6-2 6-2,0.61,5.9%,5.9%,58.8%,56.7%,47.6%,6/10,40.8%,28.8%,9.6%,16.7%,39.3%,0/1,103,3,3,51,30,21,5,0:57
22-Sep-1995,Davis Cup WG SF: USA vs SWE,3,Hard,RR,50,1,0,,,Andre Agassi,Mats Wilander,7-6(5) 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
22-Sep-1995,Davis Cup WG SF: USA vs SWE,3,Hard,RR,50,2,0,,,Pete Sampras,Mats Wilander,2-6 7-6(4) 6-3,,,,,,,,,,,,,,,,,,,,,
28-Aug-1995,US Open,5,Hard,R64,48,16,0,,15,Todd Martin,Mats Wilander,6-4 6-2 7-5,0.51,0.0%,2.0%,61.8%,57.1%,43.6%,6/11,39.0%,24.7%,10.8%,14.5%,39.5%,1/4,195,0,2,102,63,39,10,
28-Aug-1995,US Open,5,Hard,R128,48,141,1,,WC,Mats Wilander,Steve Campbell,3-6 6-1 3-6 6-4 6-2,0.94,5.0%,3.5%,55.3%,70.5%,44.4%,4/10,48.9%,38.5%,5.2%,34.5%,45.8%,9/16,276,7,5,141,78,63,7,
14-Aug-1995,New Haven,3,Hard,SF,61,1,0,,1,Andre Agassi,Mats Wilander,6-3 6-3,0.67,9.1%,1.3%,61.0%,61.7%,23.3%,8/13,42.4%,35.4%,4.2%,26.9%,45.5%,2/3,125,7,1,77,47,30,2,1:17
14-Aug-1995,New Haven,3,Hard,QF,61,10,1,,6,Mats Wilander,Marc Rosset,6-7(8) 7-5 7-5,0.91,2.2%,0.0%,77.0%,67.3%,50.0%,9/11,50.4%,33.3%,10.5%,23.7%,45.7%,4/5,244,3,0,139,107,32,11,2:50
14-Aug-1995,New Haven,3,Hard,R16,61,89,1,,,Mats Wilander,Kenneth Carlsen,6-7(6) 6-3 7-6(2),1.23,4.5%,3.6%,68.2%,70.7%,62.9%,7/9,52.5%,39.2%,10.0%,24.3%,56.7%,3/12,240,5,4,110,75,35,13,2:51
14-Aug-1995,New Haven,3,Hard,R32,61,28,1,,13,Mats Wilander,Jan Siemerink,6-4 6-4,1.23,2.9%,2.9%,81.2%,75.0%,46.2%,5/5,54.7%,37.3%,3.4%,13.0%,52.8%,2/3,128,2,2,69,56,13,2,1:21
14-Aug-1995,New Haven,3,Hard,R64,61,570,1,,Q,Mats Wilander,Jim Pugh,6-0 6-2,2.71,2.9%,8.6%,71.4%,88.0%,30.0%,0/1,74.2%,77.4%,0.0%,63.6%,85.0%,6/7,66,1,3,35,25,10,0,0:46
