Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
12-Jun-2017,USA F18,3,Clay,R32,1065,1458,0,,WC,Marcus Fugate,Max Wennakoski,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
24-Oct-2016,Chinese Taipei F3,3,Hard,QF,1112,1458,0,,WC,Yu Hsiou Hsu,Max Wennakoski,6-1 7-5,,,,,,,,,,,,,,,,,,,,,
24-Oct-2016,Chinese Taipei F3,3,Hard,R16,1112,1258,1,,,Max Wennakoski,Jeson Patrombon,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
24-Oct-2016,Chinese Taipei F3,3,Hard,R32,1112,526,1,,3,Max Wennakoski,Nikola Cacic,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
17-Oct-2016,Chinese Taipei F2,3,Hard,R32,1120,831,0,,,Patrik Niklas Salminen,Max Wennakoski,3-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
10-Oct-2016,Ho Chi Minh CH,3,Hard,Q3,1123,465,0,,4,Laurent Rochette,Max Wennakoski,6-3 6-1,0.71,0.0%,0.0%,59.6%,58.1%,52.4%,2/6,43.4%,31.5%,9.3%,17.2%,48.0%,0/2,106,0,0,52,31,21,5,1:14
10-Oct-2016,Ho Chi Minh CH,3,Hard,Q2,1123,588,1,,8,Max Wennakoski,Chuhan Wang,4-6 7-5 2-1 RET,1.20,1.3%,0.0%,53.3%,72.5%,57.1%,6/9,52.4%,41.6%,4.5%,39.3%,46.4%,4/12,164,1,0,75,40,35,4,1:52
10-Oct-2016,Ho Chi Minh CH,3,Hard,Q1,1123,1752,1,,,Max Wennakoski,Stefan Frljanic,6-2 6-4,1.66,11.8%,3.9%,45.1%,82.6%,67.9%,0/0,56.5%,42.2%,9.4%,18.2%,67.7%,3/4,115,6,2,51,23,28,6,1:16
15-Aug-2016,Finland F3,3,Clay,SF,1792,961,0,Q,,Peter Goldsteiner,Max Wennakoski,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
15-Aug-2016,Finland F3,3,Clay,QF,1792,675,1,Q,4,Max Wennakoski,Mauricio Echazu,6-1 7-6(3),,,,,,,,,,,,,,,,,,,,,
15-Aug-2016,Finland F3,3,Clay,R16,1792,,1,Q,WC,Max Wennakoski,Patrick Kaukovalta,5-7 6-1 6-3,,,,,,,,,,,,,,,,,,,,,
15-Aug-2016,Finland F3,3,Clay,R32,1792,670,1,Q,5,Max Wennakoski,Thomas Fancutt,7-6(3) 6-2,,,,,,,,,,,,,,,,,,,,,
8-Aug-2016,Finland F2,3,Clay,R32,1799,1035,0,Q,PR,Kevin Griekspoor,Max Wennakoski,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
14-Dec-2015,Dominican Republic F3,3,Hard,R32,,500,0,Q,4,Peter Torebko,Max Wennakoski,2-6 6-4 6-2,,,,,,,,,,,,,,,,,,,,,
7-Dec-2015,Dominican Republic F2,3,Clay,R16,,394,0,Q,5,Juan Ignacio Galarza,Max Wennakoski,6-7(5) 6-0 6-2,,,,,,,,,,,,,,,,,,,,,
7-Dec-2015,Dominican Republic F2,3,Clay,R32,,577,1,Q,,Max Wennakoski,Lucas Gomez,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
1-Sep-2014,Canada F9,3,Clay,R32,1604,675,0,,7,Philip Bester,Max Wennakoski,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
14-Oct-2013,USA F27,3,Hard,R32,1501,,0,Q,WC,Arnau Dachs,Max Wennakoski,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
7-Oct-2013,USA F26,3,Hard,R32,1499,357,0,Q,2,Sanam Singh,Max Wennakoski,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
9-Sep-2013,Canada F8,3,Hard,R16,,483,0,Q,8,Fritz Wolmarans,Max Wennakoski,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
9-Sep-2013,Canada F8,3,Hard,R32,,1028,1,Q,,Max Wennakoski,Andrew Carter,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
2-Sep-2013,Canada F7,3,Clay,R16,,223,0,,1,Peter Polansky,Max Wennakoski,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
2-Sep-2013,Canada F7,3,Clay,R32,,1649,1,,Q,Max Wennakoski,Winston Lin,6-3 6-7(3) 6-3,,,,,,,,,,,,,,,,,,,,,
20-Aug-2012,Finland F3,3,Clay,R32,1134,1190,0,,,Marco Speronello,Max Wennakoski,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
13-Aug-2012,Finland F2,3,Clay,R16,1310,487,0,WC,4,Vladimir Ivanov,Max Wennakoski,7-5 6-7(4) 7-5,,,,,,,,,,,,,,,,,,,,,
13-Aug-2012,Finland F2,3,Clay,R32,1310,930,1,WC,,Max Wennakoski,Kalle Averfalk,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
6-Aug-2012,Finland F1,3,Clay,QF,1307,319,0,WC,1,Timo Nieminen,Max Wennakoski,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
6-Aug-2012,Finland F1,3,Clay,R16,1307,635,1,WC,5,Max Wennakoski,Alexandre Penaud,6-1 2-6 7-5,,,,,,,,,,,,,,,,,,,,,
6-Aug-2012,Finland F1,3,Clay,R32,1307,888,1,WC,,Max Wennakoski,Robin Olin,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
23-Jul-2012,Tampere CH,3,Clay,R32,1834,878,0,WC,WC,Micke Kontinen,Max Wennakoski,7-5 6-4,0.93,0.0%,2.8%,69.4%,56.0%,40.9%,3/9,48.3%,45.1%,2.8%,42.9%,53.3%,4/9,143,0,2,72,50,22,2,1:32
16-Jul-2012,Estonia F1,3,Clay,QF,1825,311,0,Q,2,Timo Nieminen,Max Wennakoski,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
16-Jul-2012,Estonia F1,3,Clay,R16,1825,,1,Q,Q,Max Wennakoski,Sami Huurinainen,6-2 6-7(7) 6-3,,,,,,,,,,,,,,,,,,,,,
16-Jul-2012,Estonia F1,3,Clay,R32,1825,1157,1,Q,,Max Wennakoski,Andre Gaspar Murta,7-6(3) 6-1,,,,,,,,,,,,,,,,,,,,,
22-Aug-2011,Finland F3,3,Clay,R32,1699,302,0,Q,1,Timo Nieminen,Max Wennakoski,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
15-Aug-2011,Finland F2,3,Clay,R32,1696,812,0,Q,SE,Vladimir Ivanov,Max Wennakoski,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
8-Aug-2011,Finland F1,3,Clay,R32,1694,820,0,WC,7,Giulio Torroni,Max Wennakoski,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
25-Jul-2011,Estonia F2,3,Clay,R16,1597,423,0,WC,2,Andis Juska,Max Wennakoski,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
25-Jul-2011,Estonia F2,3,Clay,R32,1597,1597,1,WC,Q,Max Wennakoski,Jesper Brunstrom,6-3 3-6 7-5,,,,,,,,,,,,,,,,,,,,,
