Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
14-Aug-2017,Russia F7,3,Clay,R32,1561,849,0,Q,7,Oleksander Byelinskyy,Maxim Geraskin,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
7-Aug-2017,Russia F6,3,Clay,R32,1562,,0,WC,Q,Anton Galkin,Maxim Geraskin,6-7(1) 7-5 6-2,,,,,,,,,,,,,,,,,,,,,
24-Jul-2017,Russia F4,3,Hard,R32,1528,1435,0,LL,,Dmitry Mnushkin,Maxim Geraskin,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,Russia F2,3,Hard,R16,1756,436,0,Q,1,Evgeny Tyurnev,Maxim Geraskin,6-1 4-6 6-0,,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,Russia F2,3,Hard,R32,1756,,1,Q,Q,Maxim Geraskin,Pavel Filin,7-6(4) 6-4,,,,,,,,,,,,,,,,,,,,,
5-Sep-2016,Russia F8,3,Hard,R16,,542,0,WC,8,Alexandr Igoshin,Maxim Geraskin,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
5-Sep-2016,Russia F8,3,Hard,R32,,1909,1,WC,WC,Maxim Geraskin,Yahor Yatsyk,5-7 6-1 6-3,,,,,,,,,,,,,,,,,,,,,
8-Aug-2016,Russia F5,3,Clay,R32,,990,0,Q,,Pavel Kotov,Maxim Geraskin,7-6(1) 6-3,,,,,,,,,,,,,,,,,,,,,
6-Jun-2016,Moscow CH,3,Clay,Q1,,519,0,WC,6,Evgeny Elistratov,Maxim Geraskin,6-4 6-3,0.74,3.8%,9.0%,46.2%,75.0%,33.3%,4/8,44.7%,34.9%,6.3%,37.5%,30.4%,1/5,141,3,7,78,36,42,4,1:17
2-Dec-2013,Venezuela F9,3,Clay,R32,,1513,0,Q,Q,Miguel Cicenia,Maxim Geraskin,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
27-Aug-2007,Russia F5,3,Clay,R32,1506,,0,,2,Mikhail Elgin,Maxim Geraskin,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
16-Jul-2007,Armenia F1,3,Hard,R32,1507,,0,Q,1,Mikhail Elgin,Maxim Geraskin,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
11-Jun-2007,Belarus F3,3,Clay,R32,1494,482,0,,2,Pavel Chekhov,Maxim Geraskin,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
14-May-2007,Belarus F1,3,Hard,R16,,495,0,Q,4,Alexander Kudryavtsev,Maxim Geraskin,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
14-May-2007,Belarus F1,3,Hard,R32,,855,1,Q,,Maxim Geraskin,Egor Puntus,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
13-Nov-2006,Brazil F19,3,Clay,R32,,637,0,LL,5,Nathan Thompson,Maxim Geraskin,1-6 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
4-Sep-2006,Egypt 2 4,3,Clay,R16,,1422,0,LL,Q,Mohamed Nazim Saber,Maxim Geraskin,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
4-Sep-2006,Egypt 2 4,3,Clay,R32,,,1,LL,Q,Maxim Geraskin,Thomas Schoeck,1-6 6-3 7-5,,,,,,,,,,,,,,,,,,,,,
12-Sep-2005,Indonesia 1 Satellite 2,3,Hard,R32,,,0,Q,Q,Christopher Rungkat,Maxim Geraskin,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
12-Sep-2005,Indonesia 1 Satellite 3,3,Hard,R32,,,0,Q,WC,Christopher Rungkat,Maxim Geraskin,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
12-Sep-2005,Indonesia 1 Satellite 4,3,Hard,R32,,1494,0,LL,,Agung Bagus Dewantoro,Maxim Geraskin,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
