Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
26-Aug-2019,M15 Bratislava,3,Clay,R32,1510,991,0,LL,,Marek Semjan,Michal Selecky,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
25-Mar-2019,M15 Antalya,3,Clay,R32,,,0,,,Koray Kirci,Michal Selecky,6-2 7-6(8),,,,,,,,,,,,,,,,,,,,,
5-Nov-2018,Czech Republic F9,3,Hard,R32,1516,1188,0,Q,,Karol Drzewiecki,Michal Selecky,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
29-Oct-2018,Czech Republic F8,3,Carpet,QF,1491,1223,0,Q,,Tomas Machac,Michal Selecky,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
29-Oct-2018,Czech Republic F8,3,Carpet,R16,1491,1244,1,Q,Q,Michal Selecky,Karol Drzewiecki,6-4 2-6 7-6(6),,,,,,,,,,,,,,,,,,,,,
29-Oct-2018,Czech Republic F8,3,Carpet,R32,1491,2013,1,Q,,Michal Selecky,Dominik Langmajer,6-1 7-6(4),,,,,,,,,,,,,,,,,,,,,
22-Oct-2018,Czech Republic F7,3,Carpet,R32,1490,1153,0,Q,,Ondrej Krstev,Michal Selecky,6-3 6-7(3) 6-1,,,,,,,,,,,,,,,,,,,,,
6-Aug-2018,Slovakia F3,3,Clay,QF,,,0,,,Jack Draper,Michal Selecky,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
6-Aug-2018,Slovakia F3,3,Clay,R16,,694,1,,,Michal Selecky,Antonio Massara,6-3 2-6 6-1,,,,,,,,,,,,,,,,,,,,,
6-Aug-2018,Slovakia F3,3,Clay,R32,,603,1,,7,Michal Selecky,Patrik Nema,6-2 RET,,,,,,,,,,,,,,,,,,,,,
30-Jul-2018,Slovakia F2,3,Clay,R32,,495,0,Q,,Rio Noguchi,Michal Selecky,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
10-Oct-2016,Czech Republic F7,3,Carpet,R32,,868,0,Q,,Matej Vocel,Michal Selecky,6-4 7-6(4),,,,,,,,,,,,,,,,,,,,,
