Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
13-May-2024,M15 Villach,3,Clay,R16,1048,787,0,Q,,Patrick Zahraj,Michele Ribecai,6-4 2-6 6-3,,,,,,,,,,,,,,,,,,,,,
13-May-2024,M15 Villach,3,Clay,R32,1048,576,1,Q,5,Michele Ribecai,Juan Pablo Paz,6-3 4-1 RET,,,,,,,,,,,,,,,,,,,,,
15-Apr-2024,M25 Santa Margherita di Pula,3,Clay,QF,1133,350,0,Q,2,Omni Kumar,Michele Ribecai,7-6(1) 6-0,,,,,,,,,,,,,,,,,,,,,
15-Apr-2024,M25 Santa Margherita di Pula,3,Clay,R16,1133,512,1,Q,8,Michele Ribecai,Gabriele Pennaforti,7-6(2) 6-2,,,,,,,,,,,,,,,,,,,,,
15-Apr-2024,M25 Santa Margherita di Pula,3,Clay,R32,1133,608,1,Q,,Michele Ribecai,Federico Arnaboldi,6-2 4-1 RET,,,,,,,,,,,,,,,,,,,,,
8-Apr-2024,M25 Santa Margherita di Pula,3,Clay,R32,1271,431,0,WC,6,Marcello Serafini,Michele Ribecai,6-2 2-6 7-5,,,,,,,,,,,,,,,,,,,,,
1-Apr-2024,M25 Santa Margherita di Pula,3,Clay,QF,1266,300,0,WC,1,Daniel Michalski,Michele Ribecai,6-4 7-6(3),,,,,,,,,,,,,,,,,,,,,
1-Apr-2024,M25 Santa Margherita di Pula,3,Clay,R16,1266,1179,1,WC,,Michele Ribecai,Niccolo Baroni,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
1-Apr-2024,M25 Santa Margherita di Pula,3,Clay,R32,1266,528,1,WC,7,Michele Ribecai,Sidane Pontjodikromo,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
25-Mar-2024,M25 Santa Margherita di Pula,3,Clay,R32,1258,255,0,WC,1,Nicholas David Ionel,Michele Ribecai,7-6(3) 6-1,,,,,,,,,,,,,,,,,,,,,
11-Mar-2024,M15 Rovinj,3,Clay,R32,1432,370,0,Q,1,Jay Clarke,Michele Ribecai,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
4-Mar-2024,M15 Porec,3,Clay,QF,1432,610,0,Q,8,Federico Arnaboldi,Michele Ribecai,4-6 6-3 6-0,,,,,,,,,,,,,,,,,,,,,
4-Mar-2024,M15 Porec,3,Clay,R16,1432,487,1,Q,4,Michele Ribecai,Luka Mikrut,7-5 7-5,,,,,,,,,,,,,,,,,,,,,
4-Mar-2024,M15 Porec,3,Clay,R32,1432,,1,Q,WC,Michele Ribecai,Antonio Voljavec,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
11-Sep-2023,M25 Sintra,3,Hard,R16,1606,934,0,Q,,Tiago Pereira,Michele Ribecai,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
11-Sep-2023,M25 Sintra,3,Hard,R32,1606,,1,Q,WC,Michele Ribecai,Joel Hansson,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
4-Sep-2023,M25 Sintra,3,Hard,R16,1585,457,0,Q,3,Sebastian Fanselow,Michele Ribecai,2-6 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
4-Sep-2023,M25 Sintra,3,Hard,R32,1585,1609,1,Q,Q,Michele Ribecai,Ewan Moore,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
28-Aug-2023,M25 Idanha-a-Nova,3,Hard,R32,1585,810,0,Q,,Lorenzo Claverie,Michele Ribecai,7-6(3) 6-4,,,,,,,,,,,,,,,,,,,,,
24-Jul-2023,M25 Porto,3,Hard,R16,1861,296,0,Q,1,Jules Marie,Michele Ribecai,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
24-Jul-2023,M25 Porto,3,Hard,R32,1861,1628,1,Q,Q,Michele Ribecai,Goncalo Falcao,0-6 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
1-May-2023,M25 Santa Margherita di Pula,3,Clay,R32,1722,272,0,Q,2,Daniel Michalski,Michele Ribecai,7-6(6) 6-0,,,,,,,,,,,,,,,,,,,,,
13-Mar-2023,M15 Rovinj,3,Clay,R32,1631,560,0,Q,,Daniele Capecchi,Michele Ribecai,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
23-Jan-2023,M15 Cairo,3,Clay,R16,,669,0,Q,7,Mohamed Safwat,Michele Ribecai,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
23-Jan-2023,M15 Cairo,3,Clay,R32,,1247,1,Q,,Michele Ribecai,Attila Boros,6-3 3-6 6-2,,,,,,,,,,,,,,,,,,,,,
