Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
2-Mar-1998,Magdeburg CH,3,Carpet,R32,535,78,0,LL,1,Gianluca Pozzi,Mikael Stadling,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
8-Dec-1997,Wismar CH,3,Carpet,R32,378,135,0,Q,3,Frederik Fetterlein,Mikael Stadling,5-7 7-6 7-5,,,,,,,,,,,,,,,,,,,,,
1-Dec-1997,Bad Lippspringe CH,3,Carpet,R32,385,139,0,Q,8,Christophe Van Garsse,Mikael Stadling,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
24-Nov-1997,Reunion Island CH,3,Hard,R32,383,249,0,,,Patrik Fredriksson,Mikael Stadling,6-4 2-0 RET,,,,,,,,,,,,,,,,,,,,,
20-Oct-1997,Eckental CH,3,Carpet,SF,356,157,0,Q,5,Rainer Schuettler,Mikael Stadling,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
20-Oct-1997,Eckental CH,3,Carpet,QF,356,242,1,Q,,Mikael Stadling,Gerald Mandl,6-4 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
20-Oct-1997,Eckental CH,3,Carpet,R16,356,127,1,Q,2,Mikael Stadling,Geoff Grant,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
20-Oct-1997,Eckental CH,3,Carpet,R32,356,265,1,Q,Q,Mikael Stadling,Stefano Pescosolido,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
11-Aug-1997,Olbia CH,3,Hard,R32,387,336,0,Q,WC,Diego Nargiso,Mikael Stadling,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
11-Mar-1996,Copenhagen,3,Carpet,R32,528,23,0,Q,1,Jan Siemerink,Mikael Stadling,6-3 6-7(5) 6-4,0.79,3.8%,0.9%,61.3%,67.7%,58.5%,7/10,47.3%,28.4%,13.7%,9.5%,43.4%,1/2,201,4,1,106,65,41,13,1:46
4-Sep-1995,Azores CH,3,Hard,R16,264,145,0,,4,Tim Henman,Mikael Stadling,7-6 0-6 6-0,,,,,,,,,,,,,,,,,,,,,
4-Sep-1995,Azores CH,3,Hard,R32,264,252,1,,,Mikael Stadling,Philippe Pech,6-2 7-6,,,,,,,,,,,,,,,,,,,,,
7-Aug-1995,Binghamton CH,3,Hard,R16,286,142,0,,3,Mark Petchey,Mikael Stadling,6-4 7-6,,,,,,,,,,,,,,,,,,,,,
7-Aug-1995,Binghamton CH,3,Hard,R32,286,192,1,,,Mikael Stadling,Allen Belobrajdic,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
31-Jul-1995,Lexington CH,3,Hard,R32,277,241,0,,,Mahesh Bhupathi,Mikael Stadling,3-6 6-1 6-3,,,,,,,,,,,,,,,,,,,,,
24-Jul-1995,Newcastle CH,3,Hard,R32,274,241,0,,,Philippe Pech,Mikael Stadling,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
17-Jul-1995,Manchester CH,3,Grass,R32,263,91,0,,1,Jeremy Bates,Mikael Stadling,3-6 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
10-Jul-1995,Bristol CH,3,Grass,R32,264,355,0,,,Andrew Foster,Mikael Stadling,4-6 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
6-Feb-1995,Marseille,3,Carpet,R16,328,114,0,Q,,David Rikl,Mikael Stadling,6-4 6-2,0.65,5.7%,5.7%,69.8%,51.4%,62.5%,4/8,42.3%,29.4%,17.6%,11.1%,50.0%,1/3,104,3,3,53,37,16,9,0:55
6-Feb-1995,Marseille,3,Carpet,R32,328,45,1,Q,5,Mikael Stadling,Fabrice Santoro,6-4 4-6 6-4,1.12,2.8%,3.7%,61.5%,62.7%,42.9%,11/17,52.9%,50.5%,2.1%,42.9%,58.3%,7/17,206,3,4,109,67,42,2,2:05
23-Jan-1995,Heilbronn CH,3,Carpet,R32,321,140,0,Q,,Bohdan Ulihrach,Mikael Stadling,2-6 7-6 6-3,,,,,,,,,,,,,,,,,,,,,
1-Aug-1994,Istanbul CH,3,Hard,R32,417,215,0,Q,,Jaroslav Bulant,Mikael Stadling,6-3 2-6 7-5,,,,,,,,,,,,,,,,,,,,,
18-Jul-1994,Montebello CH,3,Hard,R32,442,188,0,Q,,Albert Chang,Mikael Stadling,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
6-Jun-1994,Rosmalen,3,Grass,R32,420,98,0,Q,,Diego Nargiso,Mikael Stadling,2-6 6-4 7-5,0.94,1.1%,2.2%,65.2%,73.3%,43.8%,6/9,48.9%,34.8%,15.2%,17.9%,47.2%,3/7,184,1,2,92,60,32,14,2:00
9-May-1994,Jerusalem CH,3,Hard,R16,470,161,0,Q,4,Michael Joyce,Mikael Stadling,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
9-May-1994,Jerusalem CH,3,Hard,R32,470,233,1,Q,,Mikael Stadling,Todd Nelson,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
14-Feb-1994,Cherbourg CH,3,Carpet,R32,435,103,0,Q,4,Jean Philippe Fleurian,Mikael Stadling,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
