Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
17-Sep-2012,St. Petersburg Q,3,Hard,Q3,541,347,0,7,1,Andrey Kumantsov,Morgan Phillips,6-1 7-6(4),0.61,4.3%,7.2%,39.1%,59.3%,45.2%,7/12,41.8%,30.2%,3.8%,19.4%,52.9%,2/3,122,3,5,69,27,42,2,1:22
17-Sep-2012,St. Petersburg Q,3,Hard,Q2,541,,1,7,WC,Morgan Phillips,Vugar Aliev,6-2 7-5,1.90,2.0%,6.0%,52.0%,100.0%,58.3%,0/0,57.4%,37.9%,3.4%,41.7%,31.8%,3/5,108,1,3,50,26,24,2,1:06
16-Jul-2012,Gstaad Q,3,Clay,Q1,520,230,0,,8,Farrukh Dustov,Morgan Phillips,3-6 7-6(6) 6-3,0.94,4.6%,4.6%,57.8%,65.1%,50.0%,6/11,49.7%,38.9%,4.4%,33.3%,50.0%,4/9,199,5,5,109,63,46,4,2:16
2-Jul-2012,Netherlands F4,3,Clay,R16,529,506,0,,,Andriej Kapas,Morgan Phillips,6-3 7-6(5),,,,,,,,,,,,,,,,,,,,,
2-Jul-2012,Netherlands F4,3,Clay,R32,529,1468,1,,Q,Morgan Phillips,Thanasi Kokkinakis,6-7(5) 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
18-Jun-2012,Italy F14,3,Clay,R32,537,364,0,,8,Jose Rubin Statham,Morgan Phillips,7-5 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
11-Jun-2012,Italy F13,3,Clay,QF,537,322,0,,6,Luca Vanni,Morgan Phillips,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
11-Jun-2012,Italy F13,3,Clay,R16,537,625,1,,,Morgan Phillips,Deniss Pavlovs,3-6 6-1 6-1,,,,,,,,,,,,,,,,,,,,,
11-Jun-2012,Italy F13,3,Clay,R32,537,308,1,,1,Morgan Phillips,Matteo Marrai,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
21-May-2012,Spain F13,3,Clay,R16,529,396,0,,3,Thiemo De Bakker,Morgan Phillips,4-6 7-5 6-4,,,,,,,,,,,,,,,,,,,,,
21-May-2012,Spain F13,3,Clay,R32,529,811,1,,,Morgan Phillips,Oriol Roca Batalla,4-6 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
14-May-2012,Spain F12,3,Clay,R32,529,449,0,,8,Austin Krajicek,Morgan Phillips,6-4 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
7-May-2012,Spain F11,3,Clay,R16,532,480,0,,8,David Estruch,Morgan Phillips,7-6(4) RET,,,,,,,,,,,,,,,,,,,,,
7-May-2012,Spain F11,3,Clay,R32,532,1093,1,,LL,Morgan Phillips,Ryan Agar,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
9-Apr-2012,Italy F4,3,Clay,R16,484,351,0,,8,Antal Van Der Duim,Morgan Phillips,2-6 6-4 7-5,,,,,,,,,,,,,,,,,,,,,
9-Apr-2012,Italy F4,3,Clay,R32,484,496,1,,,Morgan Phillips,Andres Artunedo Martinavarr,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
2-Apr-2012,Italy F3,3,Clay,F,491,300,0,,1,Daniele Giorgini,Morgan Phillips,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
2-Apr-2012,Italy F3,3,Clay,SF,491,391,1,,8,Morgan Phillips,Luca Vanni,2-6 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
2-Apr-2012,Italy F3,3,Clay,QF,491,558,1,,WC,Morgan Phillips,Giulio Torroni,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
2-Apr-2012,Italy F3,3,Clay,R16,491,348,1,,5,Morgan Phillips,Antal Van Der Duim,6-1 6-7(5) 6-2,,,,,,,,,,,,,,,,,,,,,
2-Apr-2012,Italy F3,3,Clay,R32,491,499,1,,,Morgan Phillips,Andres Artunedo Martinavarr,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
27-Feb-2012,Spain F4,3,Clay,R32,460,676,0,,Q,Denis Yevseyev,Morgan Phillips,5-3 RET,,,,,,,,,,,,,,,,,,,,,
20-Feb-2012,Spain F3,3,Clay,QF,498,341,0,,4,Steven Diez,Morgan Phillips,4-6 7-5 6-2,,,,,,,,,,,,,,,,,,,,,
