Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
18-Oct-2021,Losinj CH,3,Clay,Q1,1383,512,0,,4,Sadio Doumbia,N Vijay Sundar Prashanth,6-7(3) 6-4 6-0,0.82,0.0%,2.4%,75.9%,54.0%,50.0%,1/8,45.5%,38.7%,1.1%,32.8%,48.6%,3/7,176,0,2,83,63,20,1,1:57
22-Mar-2021,M15 Pune,3,Hard,R16,1350,643,0,Q,8,Zane Khan,N Vijay Sundar Prashanth,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
22-Mar-2021,M15 Pune,3,Hard,R32,1350,1379,1,Q,Q,N Vijay Sundar Prashanth,Faisal Qamar,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
8-Mar-2021,M15 Indore,3,Hard,R32,1339,831,0,WC,,Zane Khan,N Vijay Sundar Prashanth,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
11-Nov-2019,Pune CH,3,Hard,R64,980,753,0,,,Markos Kalovelonis,N Vijay Sundar Prashanth,6-2 6-4,0.78,13.3%,11.1%,51.1%,82.6%,40.9%,1/4,43.7%,29.3%,17.2%,9.7%,51.9%,0/4,103,6,5,45,23,22,10,1:01
30-Sep-2019,M15 Nanchang,3,Clay,R16,1019,811,0,,3,Tsung Hao Huang,N Vijay Sundar Prashanth,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
30-Sep-2019,M15 Nanchang,3,Clay,R32,1019,1171,1,,Q,N Vijay Sundar Prashanth,Puriwat Chatpatcharoen,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
23-Sep-2019,M15 Nanchang,3,Clay,R32,1018,950,0,,,Yuanfeng Li,N Vijay Sundar Prashanth,6-0 7-5,,,,,,,,,,,,,,,,,,,,,
5-Aug-2019,Augsburg CH,3,Clay,R32,1028,313,0,LL,,Julian Lenz,N Vijay Sundar Prashanth,7-5 6-1,0.34,1.7%,10.0%,51.7%,61.3%,51.7%,2/5,38.0%,14.6%,14.6%,9.7%,23.5%,0/0,108,1,6,60,31,29,7,1:07
5-Aug-2019,Augsburg CH,3,Clay,Q1,1028,1139,0,,2,N Sriram Balaji,N Vijay Sundar Prashanth,6-2 6-3,0.77,6.5%,8.7%,60.9%,71.4%,27.8%,1/4,43.0%,35.3%,8.8%,23.9%,59.1%,0/2,114,3,4,46,28,18,6,1:16
