Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
23-Sep-2019,M25 Shrewsbury,3,Hard,R16,831,412,0,,2,Julian Ocleppo,Neil Pauffley,7-5 7-5,,,,,,,,,,,,,,,,,,,,,
23-Sep-2019,M25 Shrewsbury,3,Hard,R32,831,995,1,,,Neil Pauffley,Daniil Zarichanskyy,6-0 RET,,,,,,,,,,,,,,,,,,,,,
5-Aug-2019,M25 Chiswick,3,Hard,R32,812,550,0,IR  ,,Mark Whitehouse,Neil Pauffley,6-3 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
29-Jul-2019,M25 Roehampton,3,Hard,R32,,,0,,,George Loffhagen,Neil Pauffley,7-6(3) 7-5,,,,,,,,,,,,,,,,,,,,,
8-Apr-2019,M25 Sunderland,3,Hard,R16,,408,0,WC,,Emil Ruusuvuori,Neil Pauffley,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
8-Apr-2019,M25 Sunderland,3,Hard,R32,,,1,WC,,Neil Pauffley,Aidan Mchugh,7-6(3) 6-3,,,,,,,,,,,,,,,,,,,,,
1-Apr-2019,M25 Bolton,3,Hard,R32,,,0,,Q,Ronan Joncour,Neil Pauffley,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
11-Feb-2019,M25 Barnstaple,3,Hard,R32,,675,0,Q,,Ryan Peniston,Neil Pauffley,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
12-Nov-2018,Thailand F9,3,Hard,R32,621,777,0,8,,Bernardo Saraiva,Neil Pauffley,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
29-Oct-2018,Thailand F7,3,Hard,R32,624,1287,0,,Q,Thanapet Chanta,Neil Pauffley,1-6 6-1 6-1,,,,,,,,,,,,,,,,,,,,,
