Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
13-Jun-2016,Turkey F24,3,Hard,R32,UNR,403,0,WC,3,Cem Ilkel,Nicolas Cavalheiro,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
6-Jun-2016,Turkey F23,3,Hard,R32,1985,490,0,WC,5,Riccardo Bonadio,Nicolas Cavalheiro,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
30-May-2016,Turkey F22,3,Hard,R32,1974,1269,0,Q,,Bastian Wagner,Nicolas Cavalheiro,1-6 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
24-Aug-2015,Brazil F5,3,Clay,R16,1703,523,0,,5,Thales Turini,Nicolas Cavalheiro,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
24-Aug-2015,Brazil F5,3,Clay,R32,1703,1640,1,,,Nicolas Cavalheiro,Gabriel Pascotto Tumasonis,3-6 7-5 6-4,,,,,,,,,,,,,,,,,,,,,
17-Aug-2015,Brazil F4,3,Hard,R32,1711,360,0,,3,Emilio Gomez,Nicolas Cavalheiro,7-6(8) 7-6(2),,,,,,,,,,,,,,,,,,,,,
15-Jun-2015,Brazil F2,3,Clay,R32,1709,519,0,Q,6,Andre Miele,Nicolas Cavalheiro,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
27-Oct-2014,Brazil F11,3,Clay,R32,1685,479,0,Q,,Andre Miele,Nicolas Cavalheiro,2-0 RET,,,,,,,,,,,,,,,,,,,,,
13-Oct-2014,Brazil F9,3,Clay,R32,1501,955,0,Q,,Rafael Matos,Nicolas Cavalheiro,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
6-Oct-2014,Chile F5,3,Clay,R32,1707,518,0,Q,8,Patricio Heras,Nicolas Cavalheiro,6-1 7-5,,,,,,,,,,,,,,,,,,,,,
29-Sep-2014,Chile F4,3,Clay,R16,1720,223,0,,1,Hans Podlipnik Castillo,Nicolas Cavalheiro,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
29-Sep-2014,Chile F4,3,Clay,R32,1720,1367,1,,Q,Nicolas Cavalheiro,Facundo Jofre,1-6 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
8-Sep-2014,Peru F6,3,Clay,R32,1509,664,0,,8,Carlos Eduardo Severino,Nicolas Cavalheiro,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
1-Sep-2014,Peru F5,3,Clay,R32,1703,423,0,Q,3,Cristobal Saavedra Corvalan,Nicolas Cavalheiro,6-7(4) 6-1 6-0,,,,,,,,,,,,,,,,,,,,,
