Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
10-Jun-2024,M25 Elvas,3,Hard,QF,522,252,0,6,1,Antoine Escoffier,Orel Kimhi,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
10-Jun-2024,M25 Elvas,3,Hard,R16,522,910,1,6,,Orel Kimhi,Francisco Rocha,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
10-Jun-2024,M25 Elvas,3,Hard,R32,522,837,1,6,,Orel Kimhi,Ofek Shimanov,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
3-Jun-2024,M25 Setubal,3,Hard,QF,466,303,0,8,2,Robin Bertrand,Orel Kimhi,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
3-Jun-2024,M25 Setubal,3,Hard,R16,466,515,1,8,,Orel Kimhi,Marek Gengel,7-6(5) 6-4,,,,,,,,,,,,,,,,,,,,,
3-Jun-2024,M25 Setubal,3,Hard,R32,466,,1,8,Q,Orel Kimhi,Jackson Ross,3-6 6-1 6-1,,,,,,,,,,,,,,,,,,,,,
20-May-2024,Kachreti CH,3,Hard,R32,466,323,0,,5,Paul Jubb,Orel Kimhi,6-1 6-1,0.48,0.0%,4.8%,62.9%,53.8%,30.4%,7/12,37.5%,26.2%,16.7%,19.4%,45.5%,0/0,104,0,3,62,39,23,7,1:10
13-May-2024,M25 Kachreti,3,Hard,R32,450,442,0,,,Daniil Glinka,Orel Kimhi,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
6-May-2024,M15 Tbilisi,3,Hard,QF,450,793,0,2,,Erik Arutiunian,Orel Kimhi,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
6-May-2024,M15 Tbilisi,3,Hard,R16,450,657,1,2,,Orel Kimhi,Evgeny Philippov,1-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
6-May-2024,M15 Tbilisi,3,Hard,R32,450,1366,1,2,Q,Orel Kimhi,Credit Chaiyarin,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
25-Mar-2024,M15 Heraklion,3,Hard,R32,438,856,0,1,,Henrik Wiersholm,Orel Kimhi,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
18-Mar-2024,M15 Heraklion,3,Hard,R32,438,1439,0,1,WC,Aristotelis Thanos,Orel Kimhi,3-6 7-6(5) 7-5,,,,,,,,,,,,,,,,,,,,,
26-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,SF,452,479,0,2,4,Jie Cui,Orel Kimhi,7-5 6-0,,,,,,,,,,,,,,,,,,,,,
26-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,QF,452,669,1,2,,Orel Kimhi,Kasidit Samrej,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
26-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,R16,452,693,1,2,,Orel Kimhi,Taisei Ichikawa,6-3 6-7(2) 6-4,,,,,,,,,,,,,,,,,,,,,
26-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,R32,452,877,1,2,Q,Orel Kimhi,Leo Vithoontien,7-6(5) 6-3,,,,,,,,,,,,,,,,,,,,,
19-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,SF,454,549,0,2,5,Nam Hoang Ly,Orel Kimhi,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
19-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,QF,454,579,1,2,7,Orel Kimhi,Maximus Jones,1-6 7-6(9) 6-2,,,,,,,,,,,,,,,,,,,,,
19-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,R16,454,812,1,2,Q,Orel Kimhi,Mitsuki Wei Kang Leong,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
19-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,R32,454,976,1,2,Q,Orel Kimhi,Paul Woerner,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
12-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,R16,455,732,0,1,,Gabriel Decamps,Orel Kimhi,6-1 7-5,,,,,,,,,,,,,,,,,,,,,
12-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,R32,455,1454,1,1,Q,Orel Kimhi,Krittin Koaykul,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
3-Feb-2024,Davis Cup QLS R1: CZE vs ISR,3,Hard,RR,456,115,0,,,Vit Kopriva,Orel Kimhi,3-6 6-3 [11-9],0.80,0.0%,1.5%,71.6%,70.8%,42.1%,2/3,47.6%,29.8%,12.3%,13.9%,57.1%,1/1,124,0,1,67,48,19,7,1:33
22-Jan-2024,M25 Chennai,3,Hard,R16,553,726,0,8,,Alexey Zakharov,Orel Kimhi,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
22-Jan-2024,M25 Chennai,3,Hard,R32,553,833,1,8,,Orel Kimhi,Ishaque Eqbal,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
15-Jan-2024,M25 Bhopal,3,Hard,R32,553,1244,0,7,Q,Aryan Shah,Orel Kimhi,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
8-Jan-2024,M25 Mandya,3,Hard,F,553,712,1,3,,Orel Kimhi,Jelle Sels,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
8-Jan-2024,M25 Mandya,3,Hard,SF,553,749,1,3,,Orel Kimhi,Siddharth Vishwakarma,2-6 7-5 6-4,,,,,,,,,,,,,,,,,,,,,
8-Jan-2024,M25 Mandya,3,Hard,QF,553,1425,1,3,Q,Orel Kimhi,Madhwin Kamath,7-6(5) 6-0,,,,,,,,,,,,,,,,,,,,,
8-Jan-2024,M25 Mandya,3,Hard,R16,553,863,1,3,,Orel Kimhi,Ofek Shimanov,6-0 1-6 6-2,,,,,,,,,,,,,,,,,,,,,
8-Jan-2024,M25 Mandya,3,Hard,R32,553,672,1,3,,Orel Kimhi,Rishab Agarwal,6-3 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
27-Nov-2023,M25 Heraklion,3,,QF,555,437,0,6,4,Yshai Oliel,Orel Kimhi,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
27-Nov-2023,M25 Heraklion,3,,R16,555,868,1,6,,Orel Kimhi,Ofek Shimanov,6-4 7-6(2),,,,,,,,,,,,,,,,,,,,,
27-Nov-2023,M25 Heraklion,3,,R32,555,1637,1,6,,Orel Kimhi,Richard Zusman,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
20-Nov-2023,M15 Heraklion,3,,R32,557,1559,0,6,Q,Rodrigo Alujas,Orel Kimhi,6-4 7-6(4),,,,,,,,,,,,,,,,,,,,,
13-Nov-2023,M15 Heraklion,3,,R32,555,1021,0,6,,Michael Zhu,Orel Kimhi,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
6-Nov-2023,M25 Heraklion,3,Hard,R32,543,473,0,,8,Vladyslav Orlov,Orel Kimhi,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
4-Sep-2023,M15 Budapest,3,Hard,R16,528,1006,0,1,,Ofek Shimanov,Orel Kimhi,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
4-Sep-2023,M15 Budapest,3,Hard,R32,528,,1,1,WC,Orel Kimhi,Felix Knoth,6-0 6-0,,,,,,,,,,,,,,,,,,,,,
28-Aug-2023,M15 Budapest,3,Hard,R32,528,1768,0,3,Q,Michal Krajci,Orel Kimhi,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
