Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
5-Nov-1979,Stockholm,3,Hard,R64,,22,0,,8,Stan Smith,Ove Nils Bengtson,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
29-Oct-1979,Paris Indoor,3,Hard,R16,,37,0,,5,Raul Ramirez,Ove Nils Bengtson,4-6 7-6 6-2,,,,,,,,,,,,,,,,,,,,,
29-Oct-1979,Paris Indoor,3,Hard,R32,,,1,,,Ove Nils Bengtson,Denis Naegelen,5-7 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
1-Oct-1979,Maui,3,Hard,R32,,,0,,LL,Tony Graham,Ove Nils Bengtson,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
24-Sep-1979,San Francisco,3,Carpet,R64,,,0,,,John Austin,Ove Nils Bengtson,7-6 3-1 RET,,,,,,,,,,,,,,,,,,,,,
28-Aug-1979,US Open,5,Hard,R128,,,0,,,Joel Bailey,Ove Nils Bengtson,6-4 5-7 6-4 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
16-Jul-1979,Bastad,3,Clay,R32,,,0,,,Antonio Zugarelli,Ove Nils Bengtson,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
25-Jun-1979,Wimbledon,5,Grass,R32,,19,0,,,Adriano Panatta,Ove Nils Bengtson,7-6 7-6 7-6,,,,,,,,,,,,,,,,,,,,,
25-Jun-1979,Wimbledon,5,Grass,R64,,,1,,,Ove Nils Bengtson,Chris Kachel,7-5 6-3 0-6 6-7 6-4,,,,,,,,,,,,,,,,,,,,,
25-Jun-1979,Wimbledon,5,Grass,R128,,,1,,WC,Ove Nils Bengtson,John Lloyd,6-3 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
18-Jun-1979,Surbiton,3,Grass,R16,,,0,LL,Q,Colin Dibley,Ove Nils Bengtson,7-6 7-5,,,,,,,,,,,,,,,,,,,,,
18-Jun-1979,Surbiton,3,Grass,R32,,63,1,LL,,Ove Nils Bengtson,Nick Saviano,7-6 6-7 6-3,,,,,,,,,,,,,,,,,,,,,
16-Apr-1979,San Jose,3,Carpet,R32,,72,0,,,Bill Scanlon,Ove Nils Bengtson,4-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
9-Apr-1979,Tulsa,3,Hard,R32,92,9,0,,2,Eddie Dibbs,Ove Nils Bengtson,7-5 7-5,,,,,,,,,,,,,,,,,,,,,
26-Mar-1979,Dayton,3,Carpet,R32,84,65,0,,,Marty Riessen,Ove Nils Bengtson,7-6 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
19-Mar-1979,San Jose,3,Hard,R32,84,,0,,,Jose Luis Damiani,Ove Nils Bengtson,5-7 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
6-Nov-1978,Stockholm,3,Hard,R16,96,16,0,,10,Arthur Ashe,Ove Nils Bengtson,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
6-Nov-1978,Stockholm,3,Hard,R32,96,,1,,,Ove Nils Bengtson,Robin Drysdale,6-2 6-7 7-6,,,,,,,,,,,,,,,,,,,,,
6-Nov-1978,Stockholm,3,Hard,R64,96,9,1,,5,Ove Nils Bengtson,Corrado Barazzutti,6-4 7-6,,,,,,,,,,,,,,,,,,,,,
30-Oct-1978,Paris Indoor,3,Hard,R16,97,37,0,,5,Ulrich Pinner,Ove Nils Bengtson,4-6 7-6 6-2,,,,,,,,,,,,,,,,,,,,,
30-Oct-1978,Paris Indoor,3,Hard,R32,97,91,1,,,Ove Nils Bengtson,Patrice Dominguez,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
29-Oct-1978,Vienna,3,Hard,QF,97,25,0,,4,Stan Smith,Ove Nils Bengtson,7-6 6-1,,,,,,,,,,,,,,,,,,,,,
29-Oct-1978,Vienna,3,Hard,R16,97,84,1,,Q,Ove Nils Bengtson,John Sadri,3-6 7-6 6-2,,,,,,,,,,,,,,,,,,,,,
29-Oct-1978,Vienna,3,Hard,R32,97,55,1,,7,Ove Nils Bengtson,Jaime Fillol,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
25-Sep-1978,San Francisco,3,Carpet,R32,,,0,,1,Bjorn Borg,Ove Nils Bengtson,6-1 7-5,,,,,,,,,,,,,,,,,,,,,
25-Sep-1978,San Francisco,3,Carpet,R64,,,1,,Q,Ove Nils Bengtson,Bruce Nichols,7-6 7-6,,,,,,,,,,,,,,,,,,,,,
18-Sep-1978,Los Angeles,3,Carpet,R32,91,16,0,,7,Arthur Ashe,Ove Nils Bengtson,6-3 5-7 6-4,,,,,,,,,,,,,,,,,,,,,
29-Aug-1978,US Open,5,Hard,R64,,,0,,,Stan Smith,Ove Nils Bengtson,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
29-Aug-1978,US Open,5,Hard,R128,,,1,,,Ove Nils Bengtson,David Dowlen,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
17-Jul-1978,Bastad,3,Clay,R16,92,9,0,,2,Corrado Barazzutti,Ove Nils Bengtson,6-7 6-2 6-0,,,,,,,,,,,,,,,,,,,,,
17-Jul-1978,Bastad,3,Clay,R32,92,190,1,,,Ove Nils Bengtson,Tenny Svensson,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
26-Jun-1978,Wimbledon,5,Grass,R64,76,73,0,,,Geoff Masters,Ove Nils Bengtson,6-0 6-8 9-8 6-4,,,,,,,,,,,,,,,,,,,,,
26-Jun-1978,Wimbledon,5,Grass,R128,76,298,1,,WC,Ove Nils Bengtson,Fred Stolle,6-4 6-4 7-5,,,,,,,,,,,,,,,,,,,,,
19-Jun-1978,Queen's Club,3,Grass,R64,90,28,0,,10,Phil Dent,Ove Nils Bengtson,6-1 1-6 6-3,,,,,,,,,,,,,,,,,,,,,
30-Apr-1978,Tulsa,3,Hard,R16,,,0,,7,Pat Dupre,Ove Nils Bengtson,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
30-Apr-1978,Tulsa,3,Hard,R32,,,1,,,Ove Nils Bengtson,Woody Blocher,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
17-Apr-1978,Houston WCT,3,Clay,R16,,19,0,,,Jaime Fillol,Ove Nils Bengtson,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
17-Apr-1978,Houston WCT,3,Clay,R32,,6,1,,2,Ove Nils Bengtson,Eddie Dibbs,7-6 3-6 6-1,,,,,,,,,,,,,,,,,,,,,
