Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
27-Aug-2018,Hungary F7,3,Clay,R16,658,471,0,,6,Sadio Doumbia,Pascal Brunner,6-3 7-6(6),,,,,,,,,,,,,,,,,,,,,
27-Aug-2018,Hungary F7,3,Clay,R32,658,,1,,Q,Pascal Brunner,Samuel Puskar,7-6(2) 6-1,,,,,,,,,,,,,,,,,,,,,
6-Aug-2018,Slovakia F3,3,Clay,R16,674,842,0,,,Paul Jubb,Pascal Brunner,6-4 3-6 7-6(3),,,,,,,,,,,,,,,,,,,,,
6-Aug-2018,Slovakia F3,3,Clay,R32,674,1258,1,,WC,Pascal Brunner,Ivan Kosec,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
23-Jul-2018,Padova CH,3,Clay,Q1,550,759,0,,,Bastian Malla,Pascal Brunner,7-5 6-4,0.77,5.2%,1.3%,66.2%,58.8%,38.5%,7/12,45.3%,37.1%,1.6%,21.4%,70.0%,3/4,139,4,1,77,51,26,1,1:22
25-Jun-2018,Czech Republic F4,3,Clay,QF,499,263,0,8,,Lukas Rosol,Pascal Brunner,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
25-Jun-2018,Czech Republic F4,3,Clay,R16,499,511,1,8,Q,Pascal Brunner,Rio Noguchi,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
25-Jun-2018,Czech Republic F4,3,Clay,R32,499,643,1,8,,Pascal Brunner,David Pichler,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
11-Jun-2018,Hungary F4,3,Clay,QF,519,417,0,,2,Lenny Hampel,Pascal Brunner,W/O,,,,,,,,,,,,,,,,,,,,,
11-Jun-2018,Hungary F4,3,Clay,R16,519,601,1,,,Pascal Brunner,Petr Michnev,6-2 2-6 6-1,,,,,,,,,,,,,,,,,,,,,
11-Jun-2018,Hungary F4,3,Clay,R32,519,1955,1,,WC,Pascal Brunner,Levente Godry,6-0 5-7 6-1,,,,,,,,,,,,,,,,,,,,,
4-Jun-2018,Prostejov CH,3,Clay,Q2,508,331,0,,4,Marek Jaloviec,Pascal Brunner,6-4 0-6 6-3,1.01,6.0%,4.8%,50.6%,66.7%,39.0%,1/6,50.3%,47.6%,2.4%,34.1%,62.5%,6/13,167,5,4,83,42,41,2,1:47
4-Jun-2018,Prostejov CH,3,Clay,Q1,508,755,1,,,Pascal Brunner,Marek Gengel,6-2 6-3,1.56,7.5%,1.9%,52.8%,82.1%,52.0%,2/3,58.0%,50.0%,6.1%,37.9%,59.5%,4/10,119,4,1,53,28,25,4,1:07
30-Apr-2018,Ostrava CH,3,Clay,Q1,475,447,0,,,Marko Tepavac,Pascal Brunner,6-4 7-5,0.81,6.3%,7.9%,52.4%,63.6%,43.3%,3/7,45.2%,37.5%,6.9%,25.0%,53.1%,2/6,135,4,5,63,33,30,5,1:21
16-Apr-2018,Turkey F15,3,Clay,QF,483,540,0,,,Rudolf Molleker,Pascal Brunner,6-7(2) 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
16-Apr-2018,Turkey F15,3,Clay,R16,483,599,1,,,Pascal Brunner,Omar Giacalone,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
16-Apr-2018,Turkey F15,3,Clay,R32,483,884,1,,WC,Pascal Brunner,Ergi Kirkin,7-6(1) 7-5,,,,,,,,,,,,,,,,,,,,,
9-Apr-2018,Turkey F14,3,Clay,R16,485,509,0,,,Alexis Musialek,Pascal Brunner,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
9-Apr-2018,Turkey F14,3,Clay,R32,485,,1,,WC,Pascal Brunner,Leonid Mazo,6-0 6-3,,,,,,,,,,,,,,,,,,,,,
