Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
8-Oct-1962,French Closed Pro,3,,F,,,0,,,Georges Deniau,Paul Remy,2-6 6-1 9-7 6-4,,,,,,,,,,,,,,,,,,,,,
8-Oct-1962,French Closed Pro,3,,SF,,,1,,,Paul Remy,Charles Kalebidjan,8-6 6-0,,,,,,,,,,,,,,,,,,,,,
10-Sep-1962,French Pro,3,,R16,,,0,,,Pancho Segura,Paul Remy,6-1 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
10-Sep-1961,Paris Pro,3,Clay,R16,,,0,,,Ashley Cooper,Paul Remy,6-2 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
15-Jun-1961,Hanover Pro,3,,SF,,,0,,,Michael Davies,Paul Remy,6-2 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
15-Jun-1961,Hanover Pro,3,,QF,,,1,,,Paul Remy,Jozsef Asboth,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
15-Jun-1961,Hanover Pro,3,,R16,,,1,,,Paul Remy,Gustav Sehmrau,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
2-Oct-1960,Paris Closed Pro,3,,F,,,1,,,Paul Remy,Jacques Iemetti,6-1 7-5 6-2,,,,,,,,,,,,,,,,,,,,,
19-Sep-1960,London Indoor Pro,3,Carpet,R16,,,0,,,Frank Sedgman,Paul Remy,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
18-Sep-1960,French Pro,3,,R16,,,0,,,Lew Hoad,Paul Remy,7-5 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
1-Oct-1959,French Closed Pro,3,,F,,,1,,,Paul Remy,Jacques Iemetti,7-5 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
1-Oct-1959,French Closed Pro,3,,SF,,,1,,,Paul Remy,Andre Contet,6-4 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
19-Sep-1959,London Pro Chps,3,Carpet,R16,,,0,,,Pancho Segura,Paul Remy,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
8-Sep-1959,French Pro,3,,R16,,,0,,,Mervyn Rose,Paul Remy,3-6 6-4 6-0 6-4,,,,,,,,,,,,,,,,,,,,,
11-Oct-1958,Toulouse Pro,3,,RR,,,0,,,Pancho Segura,Paul Remy,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
9-Oct-1958,Lyon Pro,3,,RR,,,1,,,Paul Remy,Tony Trabert,7-5 2-6 6-4,,,,,,,,,,,,,,,,,,,,,
4-Oct-1958,Bordeaux Pro,3,,RR,,,0,,,Ken Rosewall,Paul Remy,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
4-Oct-1958,Bordeaux Pro,3,,RR,,,0,,,Pancho Segura,Paul Remy,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
23-Sep-1958,Wembley Pro,3,Carpet,R16,,,0,,,Tony Trabert,Paul Remy,6-2 8-6,,,,,,,,,,,,,,,,,,,,,
22-Sep-1958,French Pro,3,,QF,,,0,,,Richard Gonzalez,Paul Remy,6-2 6-8 4-6 6-2 6-1,,,,,,,,,,,,,,,,,,,,,
