Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
12-Mar-2023,Vina Del Mar CH,3,Clay,Q1,368,,0,5,Alt,Tristan Boyer,Pedro Boscardin Dias,6-3 6-3,0.72,3.2%,6.5%,62.9%,64.1%,34.8%,4/8,43.8%,33.9%,0.0%,38.9%,26.1%,1/11,121,2,4,62,39,23,0,1:35
6-Mar-2023,Santiago CH,3,Clay,Q2,368,106,0,8,1,Hugo Gaston,Pedro Boscardin Dias,4-6 6-4 6-3,0.81,3.2%,6.5%,53.8%,62.0%,41.9%,8/14,46.2%,38.2%,0.0%,31.4%,43.9%,4/5,169,3,6,93,50,43,0,2:18
6-Mar-2023,Santiago CH,3,Clay,Q1,368,812,1,8,Alt,Pedro Boscardin Dias,Cristian Rodriguez,7-6(1) 0-0 RET,2.25,3.1%,0.0%,62.5%,85.0%,83.3%,0/0,58.0%,35.1%,0.0%,23.5%,45.0%,0/0,69,1,0,32,20,12,0,0:56
27-Feb-2023,M25 Tucuman,3,Clay,R32,368,258,0,,5,Juan Bautista Torres,Pedro Boscardin Dias,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
20-Feb-2023,M15 Tucuman,3,Clay,SF,362,676,0,2,,Franco Emanuel Egea,Pedro Boscardin Dias,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
20-Feb-2023,M15 Tucuman,3,Clay,QF,362,802,1,2,Q,Pedro Boscardin Dias,Lorenzo Joaquin Rodriguez,6-4 4-6 7-6(4),,,,,,,,,,,,,,,,,,,,,
20-Feb-2023,M15 Tucuman,3,Clay,R16,362,761,1,2,,Pedro Boscardin Dias,Tomas Lipovsek Puches,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
20-Feb-2023,M15 Tucuman,3,Clay,R32,362,,1,2,,Pedro Boscardin Dias,Valentin Basel,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
23-Jan-2023,Concepcion CH,3,Clay,R16,349,76,0,Q,1,Federico Coria,Pedro Boscardin Dias,6-2 6-4,0.72,1.8%,5.3%,63.2%,44.4%,61.9%,3/7,42.6%,35.4%,1.5%,31.0%,43.5%,1/4,122,1,3,57,36,21,1,1:33
23-Jan-2023,Concepcion CH,3,Clay,R32,349,540,1,Q,WC,Pedro Boscardin Dias,Matias Soto,6-0 6-2,1.46,8.2%,0.0%,69.4%,61.8%,40.0%,1/3,60.7%,65.5%,0.0%,67.7%,63.0%,7/13,107,4,0,49,34,15,0,1:15
23-Jan-2023,Concepcion CH,3,Clay,Q2,349,260,1,11,,Pedro Boscardin Dias,Nicolas Mejia,7-5 6-7(3) 6-4,1.07,2.0%,7.0%,61.0%,60.7%,48.7%,1/7,51.5%,47.0%,1.0%,50.8%,41.0%,8/12,200,2,7,100,61,39,1,3:07
23-Jan-2023,Concepcion CH,3,Clay,Q1,349,,1,11,WC,Pedro Boscardin Dias,Alejandro Bancalari,6-2 6-4,1.30,5.8%,11.5%,59.6%,77.4%,38.1%,3/5,55.9%,50.0%,2.0%,46.7%,55.0%,5/8,102,3,6,52,31,21,1,1:23
16-Jan-2023,Piracicaba CH,3,Clay,R32,349,102,0,WC,1,Alejandro Tabilo,Pedro Boscardin Dias,6-2 6-3,0.61,6.3%,12.7%,49.2%,58.1%,31.3%,7/12,40.0%,34.0%,12.8%,14.3%,50.0%,2/2,110,4,8,63,31,32,6,1:16
9-Jan-2023,Tigre 2 CH,3,Clay,R16,348,247,0,,7,Alessandro Giannessi,Pedro Boscardin Dias,6-2 6-2,0.60,3.1%,4.7%,59.4%,63.2%,23.1%,7/12,40.5%,31.9%,2.1%,24.2%,50.0%,1/4,111,2,3,64,38,26,1,1:22
9-Jan-2023,Tigre 2 CH,3,Clay,R32,348,410,1,,Q,Pedro Boscardin Dias,Jurgen Briand,5-7 6-2 6-2,1.31,2.7%,0.0%,75.7%,62.5%,44.4%,4/9,56.4%,54.9%,3.7%,51.9%,60.7%,8/10,156,2,0,74,56,18,3,2:13
2-Jan-2023,Tigre 1 CH,3,Clay,R32,349,369,0,,,Andrey Chepelev,Pedro Boscardin Dias,5-2 RET,0.40,0.0%,4.2%,58.3%,42.9%,60.0%,3/5,38.5%,20.0%,0.0%,18.2%,25.0%,0/0,39,0,1,24,14,10,0,0:31
28-Nov-2022,M25 Vacaria,3,Clay,R32,350,854,0,3,,Joao Victor Couto Loureiro,Pedro Boscardin Dias,6-1 3-6 7-6(5),,,,,,,,,,,,,,,,,,,,,
21-Nov-2022,M25+H Lajeado,3,Clay,R16,348,845,0,2,,Joao Victor Couto Loureiro,Pedro Boscardin Dias,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
21-Nov-2022,M25+H Lajeado,3,Clay,R32,348,1735,1,2,Q,Pedro Boscardin Dias,Rafael Tosetto,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
14-Nov-2022,Sao Leopoldo CH,3,Clay,R32,345,103,0,,1,Facundo Bagnis,Pedro Boscardin Dias,6-4 6-2,0.68,1.6%,1.6%,50.0%,68.8%,43.8%,7/10,44.1%,29.6%,7.4%,12.1%,57.1%,0/1,118,1,1,64,32,32,4,1:42
7-Nov-2022,Montevideo CH,3,Clay,Q2,345,377,0,6,9,Moez Echargui,Pedro Boscardin Dias,6-3 6-1,0.72,3.5%,1.8%,70.2%,42.5%,41.2%,3/9,41.8%,41.5%,1.9%,32.4%,57.9%,2/5,110,2,1,57,40,17,1,1:25
7-Nov-2022,Montevideo CH,3,Clay,Q1,345,667,1,6,Alt,Pedro Boscardin Dias,Tomas Lipovsek Puches,6-3 6-4,1.18,3.1%,3.1%,56.9%,59.5%,53.6%,4/7,53.7%,50.7%,0.0%,43.5%,65.2%,5/16,134,2,2,65,37,28,0,1:34
15-Aug-2022,Santo Domingo CH,3,Clay,R32,301,90,0,Q,3,Tomas Martin Etcheverry,Pedro Boscardin Dias,0-0 RET,-,-,-,-,-,-,0/0,50.0%,50.0%,0.0%,50.0%,50.0%,0/1,6,0,0,0,0,0,0,0:10
15-Aug-2022,Santo Domingo CH,3,Clay,Q2,301,820,1,2,Alt,Pedro Boscardin Dias,James Tracy,6-2 6-2,2.13,4.3%,2.2%,54.3%,80.0%,71.4%,2/2,62.1%,50.9%,0.0%,50.0%,53.8%,4/10,103,2,1,46,25,21,0,1:07
15-Aug-2022,Santo Domingo CH,3,Clay,Q1,301,728,1,2,Alt,Pedro Boscardin Dias,Alejandro Hoyos Franco,6-2 6-1,1.91,12.8%,2.1%,55.3%,80.8%,61.9%,1/1,61.8%,52.7%,0.0%,43.2%,72.2%,4/8,102,6,1,47,26,21,0,1:19
8-Aug-2022,Lima CH,3,Clay,R32,296,100,0,,2,Juan Pablo Varillas,Pedro Boscardin Dias,6-3 6-2,0.52,1.5%,3.0%,59.1%,51.3%,51.9%,6/10,40.4%,25.0%,0.0%,19.4%,35.3%,1/2,114,1,2,66,39,27,0,1:32
1-Aug-2022,Cordenons CH,3,Clay,Q1,297,1141,0,6,WC,Giacomo Dambrosi,Pedro Boscardin Dias,7-5 4-6 6-2,0.95,6.8%,4.5%,52.3%,65.2%,45.2%,3/9,48.0%,42.0%,4.5%,30.4%,60.5%,4/18,200,6,4,88,46,42,5,2:27
25-Jul-2022,San Benedetto Del Tronto CH,3,Clay,QF,326,245,0,Q,,Andrea Vavassori,Pedro Boscardin Dias,6-1 6-1,0.46,2.1%,14.6%,68.8%,45.5%,33.3%,6/11,34.8%,26.8%,2.4%,28.6%,25.0%,0/0,89,1,7,48,33,15,1,1:12
25-Jul-2022,San Benedetto Del Tronto CH,3,Clay,R16,326,197,1,Q,5,Pedro Boscardin Dias,Andrea Collarini,4-6 7-6(3) 0-0 RET,0.95,3.3%,3.3%,55.6%,62.0%,37.5%,9/14,48.9%,46.4%,1.2%,42.4%,61.1%,4/9,174,3,3,90,50,40,1,2:35
25-Jul-2022,San Benedetto Del Tronto CH,3,Clay,R32,326,271,1,Q,,Pedro Boscardin Dias,Nerman Fatic,6-4 3-6 6-3,1.03,7.5%,2.2%,57.0%,73.6%,50.0%,4/6,51.1%,37.6%,5.9%,33.3%,48.0%,3/4,178,7,2,93,53,40,5,2:33
25-Jul-2022,San Benedetto Del Tronto CH,3,Clay,Q2,326,459,1,5,,Pedro Boscardin Dias,Christian Langmo,6-3 6-3,1.34,3.6%,5.5%,60.0%,78.8%,45.5%,1/2,55.0%,46.2%,6.2%,44.7%,50.0%,4/13,120,2,3,55,33,22,4,1:37
25-Jul-2022,San Benedetto Del Tronto CH,3,Clay,Q1,326,652,1,5,Alt,Pedro Boscardin Dias,Andrea Basso,4-6 6-3 6-2,1.12,7.1%,5.9%,63.5%,68.5%,51.6%,4/7,53.2%,42.0%,5.8%,35.0%,51.7%,5/5,154,6,5,85,54,31,4,2:10
18-Jul-2022,Trieste CH,3,Clay,Q2,330,373,0,3,9,Andrey Chepelev,Pedro Boscardin Dias,7-6(5) 6-4,0.94,3.7%,2.5%,55.6%,66.7%,55.6%,5/7,49.1%,35.9%,0.0%,30.5%,52.6%,1/5,159,3,2,81,45,36,0,2:05
18-Jul-2022,Trieste CH,3,Clay,Q1,330,457,1,3,,Pedro Boscardin Dias,Jakub Paul,7-5 6-3,1.42,1.5%,7.4%,47.1%,68.8%,66.7%,4/6,57.3%,46.0%,0.0%,40.0%,56.5%,4/8,131,1,5,68,32,36,0,1:35
11-Jul-2022,Verona CH,3,Clay,R32,336,184,0,Q,,Andrea Pellegrino,Pedro Boscardin Dias,6-4 6-2,0.77,3.5%,7.0%,45.6%,65.4%,48.4%,4/7,44.3%,33.8%,4.6%,22.7%,57.1%,0/4,122,2,4,57,26,31,3,1:31
11-Jul-2022,Verona CH,3,Clay,Q2,336,394,1,5,12,Pedro Boscardin Dias,Khumoyun Sultanov,0-6 7-5 7-6(5),0.84,4.8%,2.9%,53.8%,50.0%,50.0%,9/15,46.0%,41.8%,4.1%,37.3%,48.7%,4/9,202,5,3,104,56,48,4,2:51
11-Jul-2022,Verona CH,3,Clay,Q1,336,414,1,5,,Pedro Boscardin Dias,Giovanni Fonio,7-5 1-6 7-5,0.93,2.1%,4.2%,56.8%,64.8%,48.8%,6/11,48.4%,39.2%,4.1%,33.9%,46.3%,5/10,192,2,4,95,54,41,4,2:36
4-Jul-2022,Todi CH,3,Clay,Q2,333,441,0,2,8,Giovanni Fonio,Pedro Boscardin Dias,6-3 6-2,0.74,4.8%,7.1%,64.3%,66.7%,53.3%,2/5,43.2%,28.3%,3.8%,22.5%,46.2%,0/2,95,2,3,42,27,15,2,1:06
4-Jul-2022,Todi CH,3,Clay,Q1,333,,1,2,WC,Pedro Boscardin Dias,Alessio De Bernardis,6-4 6-4,1.35,8.5%,8.5%,55.9%,60.6%,57.7%,3/7,57.0%,54.8%,1.6%,47.2%,65.4%,6/11,121,5,5,59,33,26,1,1:35
27-Jun-2022,Troyes CH,3,Clay,R32,333,262,0,Alt,8,Daniel Michalski,Pedro Boscardin Dias,6-2 3-6 6-1,0.85,1.1%,4.3%,48.4%,62.2%,41.7%,12/18,46.6%,41.2%,0.0%,44.4%,37.5%,3/6,178,1,4,93,45,48,0,2:23
20-Jun-2022,Oeiras CH,3,Clay,R32,332,327,0,Q,Q,Alex Rybakov,Pedro Boscardin Dias,6-3 7-5,0.75,1.3%,9.2%,52.6%,62.5%,41.7%,4/8,44.3%,35.6%,1.4%,32.6%,40.7%,2/11,149,1,7,76,40,36,1,1:59
20-Jun-2022,Oeiras CH,3,Clay,Q2,332,468,1,2,Alt,Pedro Boscardin Dias,Gergely Madarasz,6-7(4) 6-4 6-4,1.12,5.9%,4.0%,59.4%,65.0%,51.2%,2/6,51.5%,45.3%,1.6%,39.8%,57.5%,6/16,229,6,4,101,60,41,2,2:51
20-Jun-2022,Oeiras CH,3,Clay,Q1,332,414,1,2,,Pedro Boscardin Dias,Jose Pereira,6-4 6-4,1.20,3.1%,3.1%,58.5%,78.9%,51.9%,4/4,52.1%,38.7%,0.0%,36.4%,45.0%,2/6,140,2,2,65,38,27,0,1:41
13-Jun-2022,Parma CH,3,Clay,Q2,344,266,0,11,4,Nicolas Moreno De Alboran,Pedro Boscardin Dias,6-2 6-4,0.43,8.8%,8.8%,52.9%,69.4%,40.6%,4/7,40.9%,19.1%,8.5%,17.2%,22.2%,0/1,115,6,6,68,36,32,4,1:21
13-Jun-2022,Parma CH,3,Clay,Q1,344,690,1,11,WC,Pedro Boscardin Dias,Lorenzo Bocchi,6-3 6-2,1.30,8.1%,3.2%,50.0%,83.9%,45.2%,3/3,56.3%,46.0%,6.0%,27.3%,60.7%,4/6,112,5,2,62,31,31,3,1:26
9-May-2022,Coquimbo CH,3,Clay,F,452,316,0,WC,,Facundo Diaz Acosta,Pedro Boscardin Dias,7-5 7-6(4),0.90,2.9%,2.9%,60.9%,76.2%,40.7%,2/6,47.9%,33.8%,4.2%,27.0%,41.2%,3/5,140,2,2,69,42,27,3,1:53
9-May-2022,Coquimbo CH,3,Clay,SF,452,341,1,WC,,Pedro Boscardin Dias,Juan Bautista Torres,7-6(3) 6-3,1.38,8.6%,3.4%,58.6%,70.6%,62.5%,2/4,53.6%,45.3%,1.1%,43.5%,48.5%,4/17,153,5,2,58,34,24,1,2:00
9-May-2022,Coquimbo CH,3,Clay,QF,452,688,1,WC,Q,Pedro Boscardin Dias,Arklon Huertas Del Pino,1-6 6-4 6-4,1.04,2.4%,4.8%,60.7%,62.7%,48.5%,6/11,50.3%,44.4%,3.0%,36.1%,57.9%,4/13,183,2,4,84,51,33,3,2:19
9-May-2022,Coquimbo CH,3,Clay,R16,452,427,1,WC,,Pedro Boscardin Dias,Gustavo Heide,7-6(1) 6-4,1.45,7.1%,5.7%,65.7%,76.1%,70.8%,6/7,56.2%,37.3%,4.5%,38.2%,36.4%,2/3,137,5,4,70,46,24,3,1:56
9-May-2022,Coquimbo CH,3,Clay,R32,452,508,1,WC,Q,Pedro Boscardin Dias,Wilson Leite,6-3 6-0,1.52,7.1%,7.1%,54.8%,69.6%,47.4%,4/6,60.8%,61.7%,0.0%,50.0%,75.0%,7/12,102,3,3,42,23,19,0,1:22
2-May-2022,Salvador De Bahia CH,3,Clay,QF,526,188,0,Q,2,Renzo Olivo,Pedro Boscardin Dias,5-7 7-6(4) 6-2,0.91,1.9%,8.4%,48.6%,63.5%,43.6%,7/14,47.6%,42.5%,1.7%,41.6%,44.2%,6/14,227,2,9,107,52,55,2,3:02
2-May-2022,Salvador De Bahia CH,3,Clay,R16,526,287,1,Q,,Pedro Boscardin Dias,Orlando Luz,7-5 6-4,1.20,11.9%,6.0%,58.2%,66.7%,60.7%,1/3,53.3%,42.9%,2.9%,37.8%,48.5%,4/10,137,8,4,67,39,28,2,1:48
2-May-2022,Salvador De Bahia CH,3,Clay,R32,526,203,1,Q,5,Pedro Boscardin Dias,Nicolas Kicker,7-5 7-6(6),0.98,11.4%,4.5%,50.0%,63.6%,54.5%,5/8,50.3%,40.0%,1.3%,33.9%,57.9%,4/7,163,10,4,88,44,44,1,2:13
2-May-2022,Salvador De Bahia CH,3,Clay,Q2,526,688,1,6,11,Pedro Boscardin Dias,Jorge Brian Panta Herreros,6-4 7-5,1.43,18.6%,1.7%,66.1%,74.4%,70.0%,2/3,53.7%,38.7%,2.7%,34.0%,46.4%,3/11,134,11,1,59,39,20,2,1:51
25-Apr-2022,Buenos Aires CH,3,Clay,Q1,524,937,0,2,WC,Santiago De La Fuente,Pedro Boscardin Dias,6-1 6-1,0.55,0.0%,7.1%,59.5%,36.0%,29.4%,4/10,34.9%,36.4%,0.0%,33.3%,50.0%,1/5,86,0,3,42,25,17,0,0:56
4-Apr-2022,Salinas CH,3,Hard,R32,517,290,0,WC,,Daniel Dutra Da Silva,Pedro Boscardin Dias,6-3 6-2,0.50,4.3%,8.5%,59.6%,67.9%,36.8%,2/5,38.5%,22.4%,10.2%,18.9%,33.3%,0/1,96,2,4,47,28,19,5,1:07
28-Mar-2022,Pereira CH,3,Clay,Q1,509,345,0,WC,1,Yshai Oliel,Pedro Boscardin Dias,7-5 7-6(4),0.82,8.0%,5.7%,46.0%,67.5%,44.7%,5/9,46.0%,36.8%,5.7%,31.6%,46.7%,3/8,174,7,5,87,40,47,5,2:16
21-Mar-2022,M25 Medellin,3,Clay,R32,509,739,0,,Q,Arklon Huertas Del Pino,Pedro Boscardin Dias,7-6(4) 7-6(1),,,,,,,,,,,,,,,,,,,,,
14-Mar-2022,M25 Anapoima,3,Clay,R32,514,653,0,8,,Tomas Lipovsek Puches,Pedro Boscardin Dias,2-6 6-3 6-0,,,,,,,,,,,,,,,,,,,,,
