Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
5-Aug-1985,Kitzbuhel,3,Clay,R64,232,350,0,WC,WC,Horst Skoff,Peter Feigl,6-3 0-6 7-5,,,,,,,,,,,,,,,,,,,,,
29-Apr-1985,Hamburg,3,Clay,R64,229,116,0,Q,Q,Stefan Simonsson,Peter Feigl,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
4-Mar-1985,Vienna CH,3,Carpet,R16,211,224,0,,,Alessandro De Minicis,Peter Feigl,6-3 3-6 6-1,,,,,,,,,,,,,,,,,,,,,
4-Mar-1985,Vienna CH,3,Carpet,R32,211,196,1,,6,Peter Feigl,Tom Cain,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
18-Feb-1985,Lagos CH,3,Clay,QF,225,116,0,8,3,Peter Elter,Peter Feigl,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
18-Feb-1985,Lagos CH,3,Clay,R16,225,361,1,8,,Peter Feigl,Jeff Arons,6-4 2-6 6-1,,,,,,,,,,,,,,,,,,,,,
18-Feb-1985,Lagos CH,3,Clay,R32,225,667,1,8,Q,Peter Feigl,Haroon Ismail,6-7 7-6 6-4,,,,,,,,,,,,,,,,,,,,,
26-Nov-1984,Australian Open,5,Grass,R64,186,89,0,Q,,Jakob Hlasek,Peter Feigl,6-2 5-2 RET,,,,,,,,,,,,,,,,,,,,,
26-Nov-1984,Australian Open,5,Grass,R128,186,120,1,Q,,Peter Feigl,Steve Denton,6-3 7-6 6-1,,,,,,,,,,,,,,,,,,,,,
22-Oct-1984,Vienna,3,Hard,R16,249,83,0,Q,,Mel Purcell,Peter Feigl,6-1 7-5,,,,,,,,,,,,,,,,,,,,,
22-Oct-1984,Vienna,3,Hard,R32,249,16,1,Q,1,Peter Feigl,Vitas Gerulaitis,6-4 3-6 6-2,,,,,,,,,,,,,,,,,,,,,
20-Aug-1984,Cincinnati,3,Hard,R64,187,45,0,Q,,Mike Bauer,Peter Feigl,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
23-Jul-1984,Kitzbuhel,3,Clay,R64,159,158,0,,,Florin Segarceanu,Peter Feigl,7-6 6-2,,,,,,,,,,,,,,,,,,,,,
13-Jul-1984,Davis Cup EUR SF: URS vs AUT,3,Clay,RR,154,274,1,,,Peter Feigl,Vadim Borisov,0-6 9-7 1-6 6-1 8-6,,,,,,,,,,,,,,,,,,,,,
13-Jul-1984,Davis Cup EUR SF: URS vs AUT,3,Clay,RR,154,227,0,,,Alexander Zverev Sr,Peter Feigl,4-6 6-3 3-6 8-6 6-3,,,,,,,,,,,,,,,,,,,,,
15-Jun-1984,Davis Cup EUR QF: AUT vs NOR,3,Clay,RR,,,1,,,Peter Feigl,Morten Ronneberg,6-2 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
23-Apr-1984,Marrakech CH,3,Clay,R16,,,0,,,Chuck Willenborg,Peter Feigl,6-2 7-6,,,,,,,,,,,,,,,,,,,,,
23-Apr-1984,Marrakech CH,3,Clay,R32,,94,1,,3,Peter Feigl,Bernard Boileau,7-6 6-2,,,,,,,,,,,,,,,,,,,,,
2-Apr-1984,Ashkelon CH,3,Hard,R16,,,0,5,,Henri De Wet,Peter Feigl,6-4 7-6,,,,,,,,,,,,,,,,,,,,,
2-Apr-1984,Ashkelon CH,3,Hard,R32,,,1,5,,Peter Feigl,Francisco Maciel,7-6 6-3,,,,,,,,,,,,,,,,,,,,,
5-Mar-1984,Vienna CH,3,Carpet,R32,,,0,,,Gerald Mild,Peter Feigl,6-3 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
27-Feb-1984,Cairo CH,3,Clay,R32,,,0,,8,Tom Cain,Peter Feigl,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
12-Dec-1983,Sydney Outdoor,3,Grass,R16,,,0,,,Lloyd Bourne,Peter Feigl,7-6 6-0,,,,,,,,,,,,,,,,,,,,,
12-Dec-1983,Sydney Outdoor,3,Grass,R32,,23,1,,4,Peter Feigl,Henrik Sundstrom,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
12-Dec-1983,Sydney Outdoor,3,Grass,R64,,,1,,,Peter Feigl,Andy Andrews,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
29-Nov-1983,Australian Open,5,Grass,R128,,92,0,,,Jeff Borowiak,Peter Feigl,6-3 3-6 6-3 7-5,,,,,,,,,,,,,,,,,,,,,
14-Nov-1983,Ferrara,3,Carpet,R32,,,0,,,Hans Dieter Beutel,Peter Feigl,7-6 7-5,,,,,,,,,,,,,,,,,,,,,
17-Oct-1983,Vienna,3,Hard,QF,,30,0,,5,Mel Purcell,Peter Feigl,6-4 2-6 6-1,,,,,,,,,,,,,,,,,,,,,
17-Oct-1983,Vienna,3,Hard,R16,,,1,,Q,Peter Feigl,Marko Ostoja,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
17-Oct-1983,Vienna,3,Hard,R32,,,1,,,Peter Feigl,Jaromir Becka,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
10-Oct-1983,Tel Aviv,3,Hard,R32,,,0,,,Amos Mansdorf,Peter Feigl,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
30-Aug-1983,US Open,5,Hard,R64,,71,0,Q,,Vincent Van Patten,Peter Feigl,6-2 2-6 4-6 6-2 6-1,,,,,,,,,,,,,,,,,,,,,
30-Aug-1983,US Open,5,Hard,R128,,,1,Q,,Peter Feigl,Loic Courteau,6-1 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
8-Aug-1983,Cleveland CH,3,Hard,QF,,,0,,,John Austin,Peter Feigl,7-6 2-6 6-2,,,,,,,,,,,,,,,,,,,,,
8-Aug-1983,Cleveland CH,3,Hard,R16,,,1,,,Peter Feigl,Marcel Freeman,6-7 6-3 7-6,,,,,,,,,,,,,,,,,,,,,
8-Aug-1983,Cleveland CH,3,Hard,R32,,,1,,,Peter Feigl,Mike Brunnberg,4-6 6-2 6-1,,,,,,,,,,,,,,,,,,,,,
18-Jul-1983,Kitzbuhel,3,Clay,R32,,25,0,,3,Wojtek Fibak,Peter Feigl,6-3 1-6 7-5,,,,,,,,,,,,,,,,,,,,,
18-Jul-1983,Kitzbuhel,3,Clay,R64,,,1,,Q,Peter Feigl,Sean Sorensen,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
8-Jul-1983,Davis Cup EUR SF: AUT vs HUN,3,Clay,RR,,29,0,,,Balazs Taroczy,Peter Feigl,6-1 6-4 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
8-Jul-1983,Davis Cup EUR SF: AUT vs HUN,3,Clay,RR,,,1,,,Peter Feigl,Robert Machan,6-8 2-6 7-5 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
9-Apr-1983,Ashkelon CH,3,Hard,QF,,,0,6,,Amos Mansdorf,Peter Feigl,7-5 7-6,,,,,,,,,,,,,,,,,,,,,
9-Apr-1983,Ashkelon CH,3,Hard,R16,,,1,6,,Peter Feigl,William Notar,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
9-Apr-1983,Ashkelon CH,3,Hard,R32,,,1,6,,Peter Feigl,Famiano Meneschincheri,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
21-Feb-1983,Lagos CH,3,Hard,R16,,,0,1,,Colin Dowdeswell,Peter Feigl,5-7 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
21-Feb-1983,Lagos CH,3,Hard,R32,,,1,1,,Peter Feigl,John Mattke,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
14-Feb-1983,Ogun CH,3,Hard,R32,,,0,,,Patrice Kuchna,Peter Feigl,6-3 4-6 6-1,,,,,,,,,,,,,,,,,,,,,
7-Feb-1983,Nairobi CH,3,Clay,R32,,,0,2,,John Austin,Peter Feigl,6-2 3-0 RET,,,,,,,,,,,,,,,,,,,,,
2-Dec-1982,Australian Open,5,Grass,R64,,,0,,16,Paul Mcnamee,Peter Feigl,6-2 6-7 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
2-Dec-1982,Australian Open,5,Grass,R128,,,1,,,Peter Feigl,Ken Barton,6-7 6-4 6-3 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
15-Nov-1982,Bangkok,3,Carpet,SF,,,0,,,Mike Bauer,Peter Feigl,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
15-Nov-1982,Bangkok,3,Carpet,QF,,,1,,,Peter Feigl,Roland Stadler,5-7 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
15-Nov-1982,Bangkok,3,Carpet,R16,,,1,,,Peter Feigl,Glenn Michibata,DEF,,,,,,,,,,,,,,,,,,,,,
15-Nov-1982,Bangkok,3,Carpet,R32,,,1,,,Peter Feigl,Glen Holroyd,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
8-Nov-1982,Taipei,3,Carpet,R32,,,0,,,Mike Bauer,Peter Feigl,6-2 1-6 6-3,,,,,,,,,,,,,,,,,,,,,
25-Oct-1982,Paris Indoor,3,Hard,R32,,45,0,Q,3,Wojtek Fibak,Peter Feigl,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
18-Oct-1982,Vienna,3,Hard,R32,,24,0,,1,Brian Gottfried,Peter Feigl,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
