Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
18-Jul-1994,Oberstaufen CH,3,Clay,R32,267,249,0,,,Joshua Eagle,Peter Moraing,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
6-Jun-1994,Weiden CH,3,Clay,QF,260,302,0,Q,,Lars Burgsmuller,Peter Moraing,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
6-Jun-1994,Weiden CH,3,Clay,R16,260,115,1,Q,1,Peter Moraing,Xavier Daufresne,4-1 RET,,,,,,,,,,,,,,,,,,,,,
6-Jun-1994,Weiden CH,3,Clay,R32,260,164,1,Q,,Peter Moraing,Vincent Spadea,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
28-Feb-1994,Copenhagen,3,Carpet,R16,281,67,0,Q,8,Andrei Olhovskiy,Peter Moraing,7-6(2) 1-6 6-3,0.99,11.4%,5.7%,68.2%,80.0%,50.0%,2/3,50.9%,29.1%,17.7%,18.6%,41.7%,2/2,167,10,5,88,60,28,14,1:30
28-Feb-1994,Copenhagen,3,Carpet,R32,281,85,1,Q,,Peter Moraing,Jakob Hlasek,6-4 6-3,1.44,16.7%,5.6%,55.6%,76.7%,66.7%,2/2,56.0%,40.0%,14.5%,35.3%,47.6%,3/4,109,9,3,54,30,24,8,1:05
6-Dec-1993,Adelaide CH,3,Grass,R16,258,143,0,,2,Mark Petchey,Peter Moraing,W/O,,,,,,,,,,,,,,,,,,,,,
6-Dec-1993,Adelaide CH,3,Grass,R32,258,512,1,,Q,Peter Moraing,Tony Bujan,7-6 4-6 6-3,,,,,,,,,,,,,,,,,,,,,
29-Nov-1993,Perth CH,3,Grass,F,316,270,0,,,David Adams,Peter Moraing,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
29-Nov-1993,Perth CH,3,Grass,SF,316,389,1,,Q,Peter Moraing,Kent Kinnear,7-6 7-6,,,,,,,,,,,,,,,,,,,,,
29-Nov-1993,Perth CH,3,Grass,QF,316,313,1,,Q,Peter Moraing,Wayne Arthurs,7-6 6-3,,,,,,,,,,,,,,,,,,,,,
29-Nov-1993,Perth CH,3,Grass,R16,316,301,1,,,Peter Moraing,Todd Nelson,6-4 7-6,,,,,,,,,,,,,,,,,,,,,
29-Nov-1993,Perth CH,3,Grass,R32,316,182,1,,,Peter Moraing,Leander Paes,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
22-Nov-1993,Rogaska CH,3,Carpet,R32,316,172,0,,4,Gilad Bloom,Peter Moraing,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
