Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
31-Jul-2000,Canada Masters,3,Hard,R64,UNR,33,0,Q,,Karim Alami,Peter Tramacchi,6-2 6-4,0.45,6.6%,1.6%,60.7%,64.9%,29.2%,2/6,38.7%,22.2%,8.9%,13.8%,37.5%,1/2,106,4,1,61,37,24,4,1:02
7-Jun-1999,Queen's Club,3,Grass,R32,463,182,0,Q,Q,Wayne Arthurs,Peter Tramacchi,6-3 6-4,0.60,9.4%,5.7%,47.2%,88.0%,35.7%,1/3,41.7%,23.6%,12.7%,12.9%,37.5%,0/1,108,5,3,53,25,28,7,1:07
7-Jun-1999,Queen's Club,3,Grass,R64,463,46,1,Q,16,Peter Tramacchi,Fabrice Santoro,6-3 7-6(6),1.21,2.7%,5.4%,64.9%,70.8%,50.0%,2/4,53.6%,44.2%,2.6%,41.5%,50.0%,3/6,151,2,4,74,48,26,2,1:28
8-Feb-1999,Lucknow CH,3,Grass,R16,235,UNR,0,7,,Noam Behr,Peter Tramacchi,6-4 7-6,,,,,,,,,,,,,,,,,,,,,
8-Feb-1999,Lucknow CH,3,Grass,R32,235,267,1,7,,Peter Tramacchi,Emanuel Couto,7-5 7-6,,,,,,,,,,,,,,,,,,,,,
1-Feb-1999,Calcutta CH,3,Grass,R16,233,UNR,0,7,WC,Mahesh Bhupathi,Peter Tramacchi,7-6 6-1,,,,,,,,,,,,,,,,,,,,,
1-Feb-1999,Calcutta CH,3,Grass,R32,233,379,1,7,WC,Peter Tramacchi,Srinath Prahlad,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
23-Nov-1998,Burbank CH,3,Hard,QF,241,161,0,,,Alex Obrien,Peter Tramacchi,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
23-Nov-1998,Burbank CH,3,Hard,R16,241,373,1,,WC,Peter Tramacchi,Kevin Kim,1-6 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
23-Nov-1998,Burbank CH,3,Hard,R32,241,139,1,,7,Peter Tramacchi,Christian Vinck,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
16-Nov-1998,Rancho Mirage CH,3,Hard,R32,188,286,0,,Q,Michael Joyce,Peter Tramacchi,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
26-Oct-1998,Brest CH,3,Hard,R32,191,103,0,,7,Justin Gimelstob,Peter Tramacchi,6-0 6-3,,,,,,,,,,,,,,,,,,,,,
27-Jul-1998,Kitzbuhel,3,Clay,R64,153,100,0,,,Sebastien Grosjean,Peter Tramacchi,6-4 7-6(5),0.85,10.0%,3.8%,60.0%,72.9%,50.0%,6/8,48.6%,30.9%,5.9%,26.7%,39.1%,1/1,148,8,3,80,48,32,4,1:25
20-Jul-1998,Washington,3,Hard,R64,154,180,0,,,David Wheaton,Peter Tramacchi,6-3 6-3,0.73,11.8%,2.9%,57.4%,64.1%,37.9%,6/10,44.7%,34.5%,5.5%,22.9%,55.0%,1/1,123,8,2,68,39,29,3,1:18
13-Jul-1998,Aptos CH,3,Hard,R32,150,243,0,8,,Grant Doyle,Peter Tramacchi,0-6 7-6 6-4,,,,,,,,,,,,,,,,,,,,,
8-Jun-1998,Queen's Club,3,Grass,R32,150,23,0,,10,Goran Ivanisevic,Peter Tramacchi,6-4 3-6 6-1,0.87,1.3%,5.1%,60.3%,63.8%,58.1%,5/8,47.2%,33.3%,19.8%,16.3%,52.6%,1/8,159,1,4,78,47,31,16,1:18
8-Jun-1998,Queen's Club,3,Grass,R64,150,115,1,,,Peter Tramacchi,Martin Sinner,4-6 6-3 7-5,1.02,5.6%,6.5%,59.3%,64.1%,45.5%,8/13,51.0%,44.3%,2.3%,32.7%,61.1%,6/11,196,6,7,108,64,44,2,1:57
1-Jun-1998,Surbiton CH,3,Grass,QF,149,161,0,,,Chris Wilkinson,Peter Tramacchi,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
1-Jun-1998,Surbiton CH,3,Grass,R16,149,194,1,,,Peter Tramacchi,Stephane Simian,6-4 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
1-Jun-1998,Surbiton CH,3,Grass,R32,149,112,1,,4,Peter Tramacchi,Andre Sa,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
11-May-1998,Dresden CH,3,Clay,R32,154,168,0,5,,Martin Rodriguez,Peter Tramacchi,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
4-May-1998,Jerusalem CH,3,Hard,R32,127,260,0,1,,Gabriel Trifu,Peter Tramacchi,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
20-Apr-1998,Prague CH,3,Clay,R32,129,236,0,4,,Gilbert Schaller,Peter Tramacchi,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
13-Apr-1998,Vadodara CH,3,Grass,F,155,334,1,2,,Peter Tramacchi,Antony Dupuis,7-6 6-7 6-3,,,,,,,,,,,,,,,,,,,,,
13-Apr-1998,Vadodara CH,3,Grass,SF,155,UNR,1,2,Q,Peter Tramacchi,Jan Krejci,6-2 7-6,,,,,,,,,,,,,,,,,,,,,
13-Apr-1998,Vadodara CH,3,Grass,QF,155,539,1,2,,Peter Tramacchi,Srinath Prahlad,6-1 7-6,,,,,,,,,,,,,,,,,,,,,
13-Apr-1998,Vadodara CH,3,Grass,R16,155,816,1,2,WC,Peter Tramacchi,Fazaluddin Syed,4-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
13-Apr-1998,Vadodara CH,3,Grass,R32,155,404,1,2,,Peter Tramacchi,Nicolas Coutelot,7-6 6-7 6-4,,,,,,,,,,,,,,,,,,,,,
6-Apr-1998,Chennai,3,Hard,R32,157,159,0,Q,,Ivo Heuberger,Peter Tramacchi,6-2 7-5,0.82,4.5%,3.0%,57.6%,68.4%,39.3%,3/7,45.9%,36.2%,4.3%,31.6%,41.9%,1/5,135,3,2,66,38,28,3,1:30
9-Mar-1998,Kyoto CH,3,Carpet,QF,175,168,0,6,3,Michael Kohlmann,Peter Tramacchi,6-4 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
9-Mar-1998,Kyoto CH,3,Carpet,R16,175,255,1,6,,Peter Tramacchi,Kevin Ullyett,7-6 7-6,,,,,,,,,,,,,,,,,,,,,
9-Mar-1998,Kyoto CH,3,Carpet,R32,175,254,1,6,,Peter Tramacchi,Takao Suzuki,6-7 6-4 7-5,,,,,,,,,,,,,,,,,,,,,
2-Mar-1998,Bangkok CH,3,Hard,SF,190,268,0,,Q,Gouichi Motomura,Peter Tramacchi,7-5 2-6 6-4,,,,,,,,,,,,,,,,,,,,,
2-Mar-1998,Bangkok CH,3,Hard,QF,190,172,1,,,Peter Tramacchi,Marcio Carlsson,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
2-Mar-1998,Bangkok CH,3,Hard,R16,190,116,1,,6,Peter Tramacchi,Jacobo Diaz,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
2-Mar-1998,Bangkok CH,3,Hard,R32,190,131,1,,,Peter Tramacchi,Andre Sa,6-3 4-6 6-3,,,,,,,,,,,,,,,,,,,,,
23-Feb-1998,Ho Chi Minh CH,3,Hard,R32,193,162,0,,,Leander Paes,Peter Tramacchi,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
16-Feb-1998,Singapore CH,3,Hard,R32,188,272,0,,Q,Amir Hadad,Peter Tramacchi,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
19-Jan-1998,Australian Open,5,Hard,R128,175,9,0,WC,7,Carlos Moya,Peter Tramacchi,6-4 6-3 6-7(6) 7-6(3),0.84,8.5%,4.0%,61.6%,75.2%,36.8%,9/15,48.1%,33.1%,4.1%,28.1%,41.1%,3/10,322,15,7,177,109,68,6,2:42
8-Dec-1997,Perth CH,3,Hard,R16,177,568,0,3,WC,Paul Kilderry,Peter Tramacchi,6-7 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
8-Dec-1997,Perth CH,3,Hard,R32,177,494,1,3,,Peter Tramacchi,Satoshi Iwabuchi,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
24-Nov-1997,Burbank CH,3,Hard,R32,176,68,0,,1,Sargis Sargsian,Peter Tramacchi,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
17-Nov-1997,Amarillo CH,3,Hard,F,219,241,1,,,Peter Tramacchi,Tuomas Ketola,6-4 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
17-Nov-1997,Amarillo CH,3,Hard,SF,219,145,1,,5,Peter Tramacchi,Steve Campbell,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
17-Nov-1997,Amarillo CH,3,Hard,QF,219,337,1,,Q,Peter Tramacchi,George Bastl,3-6 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
17-Nov-1997,Amarillo CH,3,Hard,R16,219,207,1,,,Peter Tramacchi,David Witt,6-3 2-6 6-3,,,,,,,,,,,,,,,,,,,,,
17-Nov-1997,Amarillo CH,3,Hard,R32,219,156,1,,8,Peter Tramacchi,Andrei Merinov,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
20-Oct-1997,Seoul CH,3,Clay,F,295,284,1,,,Peter Tramacchi,Regis Lavergne,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
20-Oct-1997,Seoul CH,3,Clay,SF,295,335,1,,,Peter Tramacchi,Ota Fukarek,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
20-Oct-1997,Seoul CH,3,Clay,QF,295,266,1,,,Peter Tramacchi,Thomas Larsen,6-4 7-6,,,,,,,,,,,,,,,,,,,,,
