Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
2-May-2010,Munich Q,3,Clay,Q1,376,532,0,,,Oscar Sabate Bretos,Rainer Eitzinger,6-2 6-2,0.64,4.4%,0.0%,57.8%,50.0%,36.8%,3/8,39.8%,35.4%,2.1%,27.0%,63.6%,1/5,93,2,0,45,26,19,1,0:58
19-Apr-2010,Rome2 CH,3,Clay,R32,383,230,0,Q,,Vincent Millot,Rainer Eitzinger,6-4 6-3,0.82,0.0%,3.0%,69.7%,54.3%,35.0%,2/8,45.7%,42.0%,0.0%,34.5%,52.4%,3/3,116,0,2,66,46,20,0,1:16
30-Nov-2009,Salzburg CH,3,Hard,R32,378,120,0,,,Harel Levy,Rainer Eitzinger,6-1 6-2,0.51,0.0%,0.0%,62.0%,45.2%,42.1%,1/6,37.0%,28.6%,16.7%,16.7%,58.3%,0/1,92,0,0,50,31,19,7,0:51
23-Nov-2009,Puebla CH,3,Hard,R32,321,270,0,,,Ramon Delgado,Rainer Eitzinger,6-3 6-2,0.52,4.0%,8.0%,56.0%,71.4%,36.4%,1/4,39.8%,22.9%,2.1%,28.6%,15.0%,0/1,98,2,4,50,28,22,1,1:07
16-Nov-2009,Cancun CH,3,Clay,R32,227,323,0,,,Raven Klaasen,Rainer Eitzinger,6-2 6-7(3) 7-6(7),1.02,1.8%,3.6%,77.5%,66.3%,52.0%,8/12,50.2%,37.5%,2.7%,33.8%,45.7%,2/8,223,2,4,111,86,25,3,2:55
2-Nov-2009,Astana CH,3,Hard,R32,229,382,0,,Q,Konstantin Kravchuk,Rainer Eitzinger,6-4 6-1,0.51,0.0%,10.4%,50.7%,55.9%,45.5%,5/9,40.5%,25.0%,9.1%,20.7%,33.3%,0/0,111,0,7,67,34,33,4,1:14
11-Oct-2009,Shanghai Masters Q,3,Hard,Q1,237,99,0,,6,Rainer Schuettler,Rainer Eitzinger,6-2 6-1,0.54,0.0%,2.1%,46.8%,50.0%,48.0%,2/6,38.3%,27.7%,0.0%,18.8%,46.7%,0/2,94,0,1,47,22,25,0,1:02
21-Sep-2009,Ljubljana CH,3,Clay,R32,245,418,0,,Q,Adam Kellner,Rainer Eitzinger,6-4 6-1,0.69,3.8%,17.3%,53.8%,50.0%,41.7%,5/10,41.2%,37.1%,4.8%,25.0%,59.1%,2/9,114,2,9,52,28,24,3,1:22
14-Sep-2009,Banja Luka CH,3,Clay,R32,248,157,0,,4,Pere Riba,Rainer Eitzinger,6-3 6-0,0.45,0.0%,0.0%,76.1%,48.6%,45.5%,5/9,36.0%,23.3%,9.3%,20.7%,28.6%,0/1,89,0,0,46,35,11,4,0:59
31-Aug-2009,Como CH,3,Clay,R32,261,200,0,,,Alessio Di Mauro,Rainer Eitzinger,6-4 6-4,0.77,0.0%,6.5%,57.1%,65.9%,45.5%,4/7,46.4%,32.8%,8.2%,23.7%,47.8%,1/4,138,0,5,77,44,33,5,1:58
24-Aug-2009,Almaty CH,3,Hard,R32,258,348,0,,,Ti Chen,Rainer Eitzinger,1-6 6-2 6-4,0.99,0.0%,0.0%,77.9%,56.7%,63.2%,7/10,49.2%,41.2%,5.2%,37.7%,47.2%,3/5,183,0,0,86,67,19,5,2:20
17-Aug-2009,Karshi CH,3,Hard,F,353,271,1,,6,Rainer Eitzinger,Ivan Sergeyev,6-3 1-6 7-6(3),0.94,2.3%,8.0%,63.2%,70.9%,40.6%,4/8,48.8%,37.6%,8.2%,31.5%,48.4%,3/8,172,2,7,87,55,32,7,2:00
17-Aug-2009,Karshi CH,3,Hard,SF,353,238,1,,4,Rainer Eitzinger,Carles Poch Gradin,6-3 7-5,1.36,1.5%,1.5%,84.8%,73.2%,70.0%,2/2,55.5%,37.1%,1.6%,35.9%,39.1%,2/4,128,1,1,66,56,10,1,1:30
17-Aug-2009,Karshi CH,3,Hard,QF,353,305,1,,,Rainer Eitzinger,Greg Jones,6-4 6-0,1.92,2.1%,4.2%,60.4%,79.3%,63.2%,6/6,62.0%,51.9%,7.7%,45.7%,64.7%,4/7,100,1,2,48,29,19,4,1:04
17-Aug-2009,Karshi CH,3,Hard,R16,353,340,1,,,Rainer Eitzinger,Mathieu Rodrigues,6-0 3-6 7-6(3),1.14,2.2%,3.3%,71.4%,63.1%,53.8%,5/9,53.2%,45.1%,4.9%,35.8%,62.1%,5/7,173,2,3,91,65,26,4,1:53
17-Aug-2009,Karshi CH,3,Hard,R32,353,362,1,,,Rainer Eitzinger,Antonio Sancic,6-3 4-0 RET,1.69,2.3%,4.7%,65.1%,78.6%,53.3%,2/2,59.8%,51.0%,6.1%,37.0%,68.2%,3/9,92,1,2,43,28,15,3,0:57
10-Aug-2009,Samarkand CH,3,Clay,R32,340,258,0,,4,Carles Poch Gradin,Rainer Eitzinger,6-4 6-0,0.60,1.5%,4.6%,69.2%,51.1%,40.0%,11/16,40.5%,31.4%,11.8%,22.9%,50.0%,1/4,116,1,3,65,45,20,6,1:18
8-Jun-2009,Halle Q,3,Grass,Q1,329,209,0,,,Julian Reister,Rainer Eitzinger,7-6(5) 5-7 6-1,0.91,1.0%,5.2%,71.1%,65.2%,53.6%,4/8,48.0%,34.7%,1.0%,35.4%,31.8%,3/8,198,1,5,97,69,28,1,1:44
17-May-2009,Kitzbuhel Q,3,Clay,Q2,362,76,0,,3,Paul Capdeville,Rainer Eitzinger,6-3 6-4,0.70,0.0%,2.7%,75.7%,51.8%,44.4%,9/13,43.8%,35.2%,3.7%,25.7%,52.6%,2/2,128,0,2,74,56,18,2,1:16
17-May-2009,Kitzbuhel Q,3,Clay,Q1,362,UNR,1,,WC,Rainer Eitzinger,Philip Davydenko,6-1 6-0,2.76,0.0%,0.0%,80.0%,82.1%,42.9%,0/1,72.6%,71.1%,0.0%,57.1%,88.2%,6/9,73,0,0,35,28,7,0,0:41
6-Apr-2009,San Luis Potosi CH,3,Clay,QF,320,147,0,,2,Santiago Giraldo,Rainer Eitzinger,6-4 6-2,0.70,1.7%,3.4%,74.6%,54.5%,46.7%,6/10,43.1%,33.3%,1.8%,25.8%,42.3%,1/5,116,1,2,59,44,15,1,1:19
6-Apr-2009,San Luis Potosi CH,3,Clay,R16,320,228,1,,6,Rainer Eitzinger,Michael Lammer,7-5 6-1,1.28,0.0%,2.6%,77.6%,54.2%,47.1%,9/13,56.2%,60.7%,0.0%,48.6%,76.9%,7/13,137,0,2,76,59,17,0,1:40
6-Apr-2009,San Luis Potosi CH,3,Clay,R32,320,251,1,,,Rainer Eitzinger,Dawid Olejniczak,7-5 6-0,1.58,0.0%,4.7%,60.9%,69.2%,60.0%,9/10,60.9%,54.3%,2.2%,34.6%,80.0%,5/6,110,0,3,64,39,25,1,1:03
23-Feb-2009,Meknes CH,3,Clay,R32,278,119,0,,1,Jiri Vanek,Rainer Eitzinger,6-0 6-2,0.52,0.0%,12.0%,70.0%,51.4%,20.0%,4/9,36.5%,30.4%,4.3%,25.8%,40.0%,0/4,96,0,6,50,35,15,2,1:01
16-Feb-2009,Tanger CH,3,Clay,R32,275,308,0,,,Alberto Brizzi,Rainer Eitzinger,7-5 6-4,0.88,0.0%,1.4%,79.7%,57.6%,40.0%,3/7,47.1%,40.5%,0.0%,31.5%,60.0%,2/10,153,0,1,74,59,15,0,1:53
2-Feb-2009,Zagreb Q,3,Hard,Q2,272,219,0,,6,Martin Fischer,Rainer Eitzinger,6-3 7-5,0.82,1.7%,3.3%,56.7%,58.8%,50.0%,0/5,45.3%,36.8%,1.5%,33.3%,43.5%,3/4,128,1,2,60,34,26,1,1:20
2-Feb-2009,Zagreb Q,3,Hard,Q1,272,424,1,,,Rainer Eitzinger,Ivaylo Traykov,6-2 6-2,2.20,4.9%,2.4%,70.7%,82.8%,66.7%,0/0,60.6%,48.3%,6.9%,22.2%,71.0%,4/7,99,2,1,41,29,12,4,1:07
19-Jan-2009,Australian Open Q,3,Hard,Q1,278,210,0,,,Peter Polansky,Rainer Eitzinger,6-1 7-6(4),0.61,3.0%,3.0%,74.2%,69.4%,29.4%,9/12,42.9%,25.0%,10.0%,16.2%,39.1%,1/1,126,2,2,66,49,17,6,1:11
5-Jan-2009,Doha Q,3,Hard,Q1,278,603,0,,,Marco Chiudinelli,Rainer Eitzinger,5-7 7-5 6-2,0.85,0.0%,0.0%,79.0%,55.4%,63.6%,9/14,46.9%,36.3%,4.9%,29.4%,50.0%,3/8,207,0,0,105,83,22,5,2:00
24-Nov-2008,Cancun CH,3,Clay,QF,298,224,0,,,Fernando Vicente,Rainer Eitzinger,4-4 RET,,,,,,,,,,,,,,,,,,,,,
24-Nov-2008,Cancun CH,3,Clay,R16,298,97,1,,1,Rainer Eitzinger,Ivo Minar,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
24-Nov-2008,Cancun CH,3,Clay,R32,298,257,1,,,Rainer Eitzinger,Todd Widom,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
17-Nov-2008,Puebla CH,3,Hard,F,357,403,0,,,Michael Lammer,Rainer Eitzinger,6-2 3-6 6-4,0.79,0.0%,7.2%,67.5%,62.5%,40.7%,4/9,45.9%,35.1%,0.0%,32.7%,40.0%,3/8,157,0,6,83,56,27,0,1:46
17-Nov-2008,Puebla CH,3,Hard,SF,357,267,1,,,Rainer Eitzinger,Grega Zemlja,7-6(4) 7-6(4),1.00,2.4%,3.6%,57.8%,62.5%,45.7%,4/9,49.7%,44.4%,3.3%,35.8%,56.8%,5/11,173,2,3,83,48,35,3,1:52
17-Nov-2008,Puebla CH,3,Hard,QF,357,255,1,,8,Rainer Eitzinger,Santiago Gonzalez,6-3 0-6 6-2,0.91,0.0%,10.3%,65.4%,70.6%,33.3%,3/7,49.3%,38.7%,1.6%,32.1%,44.1%,4/9,140,0,8,78,51,27,1,1:33
17-Nov-2008,Puebla CH,3,Hard,R16,357,398,1,,,Rainer Eitzinger,Nicolas Todero,6-2 6-3,1.41,1.9%,5.7%,73.6%,64.1%,42.9%,2/5,58.6%,58.6%,1.7%,53.3%,64.3%,6/11,111,1,3,53,39,14,1,1:11
17-Nov-2008,Puebla CH,3,Hard,R32,357,123,1,,2,Rainer Eitzinger,Daniel Koellerer,6-3 6-3,1.48,4.0%,0.0%,52.0%,80.8%,54.2%,0/1,57.1%,47.3%,1.8%,33.3%,81.3%,4/7,105,2,0,50,26,24,1,1:04
20-Oct-2008,Basel Q,3,Hard,Q2,294,137,0,,4,Benjamin Becker,Rainer Eitzinger,7-6(7) 6-4,0.79,1.2%,3.6%,71.4%,60.0%,54.2%,4/7,46.8%,32.9%,11.4%,30.8%,35.5%,2/4,154,1,3,84,60,24,8,1:24
20-Oct-2008,Basel Q,3,Hard,Q1,294,362,1,,,Rainer Eitzinger,Ivo Klec,6-1 2-6 6-4,1.07,0.0%,4.1%,64.3%,65.1%,54.3%,9/11,51.6%,41.3%,2.2%,31.1%,51.1%,3/8,190,0,4,98,63,35,2,1:44
