Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
13-Oct-1986,Tokyo Outdoor,3,Hard,R64,255,540,0,,Q,David Livingston,Randy Nixon,3-6 6-0 6-3,,,,,,,,,,,,,,,,,,,,,
10-Feb-1986,Boca West,3,Hard,R128,238,125,0,LL,,Nelson Aerts,Randy Nixon,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
14-Oct-1985,Tokyo Outdoor,3,Hard,R64,211,279,0,,,Gary Donnelly,Randy Nixon,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
4-Feb-1985,Delray Beach,3,Hard,R128,224,96,0,Q,,Mike Leach,Randy Nixon,7-6 6-4,,,,,,,,,,,,,,,,,,,,,
24-Dec-1984,Melbourne,3,Grass,R16,234,162,0,Q,,Huub Van Boeckel,Randy Nixon,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
24-Dec-1984,Melbourne,3,Grass,R32,234,32,1,Q,1,Randy Nixon,John Lloyd,4-6 6-3 7-5,,,,,,,,,,,,,,,,,,,,,
26-Nov-1984,Australian Open,5,Grass,R128,222,217,0,Q,Q,Matt Anger,Randy Nixon,6-3 3-6 7-6 6-1,,,,,,,,,,,,,,,,,,,,,
8-Oct-1984,Sydney Indoor,3,Hard,R32,207,35,0,Q,6,Peter Fleming,Randy Nixon,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
24-Sep-1984,Honolulu,3,Hard,R32,209,162,0,Q,,Eric Korita,Randy Nixon,7-6 6-4,,,,,,,,,,,,,,,,,,,,,
17-Sep-1984,San Francisco,3,Carpet,R32,218,109,0,Q,Q,Matt Doyle,Randy Nixon,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
13-Aug-1984,Columbus,3,Hard,R32,220,91,0,LL,,Chip Hooper,Randy Nixon,7-6 6-4,,,,,,,,,,,,,,,,,,,,,
26-Jul-1982,North Conway,3,Clay,R64,UNR,UNR,0,,6,Peter Mcnamara,Randy Nixon,5-7 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
