Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
5-Dec-2022,M15 Madrid,3,Clay,F,382,673,0,3,6,Miguel Damas,Remy Bertola,7-6(4) 6-3,,,,,,,,,,,,,,,,,,,,,
5-Dec-2022,M15 Madrid,3,Clay,SF,382,254,1,3,1,Remy Bertola,Jan Choinski,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
5-Dec-2022,M15 Madrid,3,Clay,QF,382,570,1,3,5,Remy Bertola,Tao Mu,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
5-Dec-2022,M15 Madrid,3,Clay,R16,382,1033,1,3,,Remy Bertola,Ignasi De Rueda De Genover,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
5-Dec-2022,M15 Madrid,3,Clay,R32,382,,1,3,WC,Remy Bertola,Miguel Avendano Cadena,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,Coquimbo CH,3,Clay,R16,363,98,0,Q,4,Marco Cecchinato,Remy Bertola,6-1 6-3,0.68,2.1%,10.4%,50.0%,66.7%,33.3%,4/8,40.9%,33.9%,1.6%,22.5%,54.5%,0/7,110,1,5,48,24,24,1,1:10
17-Oct-2022,Coquimbo CH,3,Clay,R32,363,331,1,Q,Alt,Remy Bertola,Roman Andres Burruchaga,6-4 7-5,1.23,0.0%,1.4%,50.7%,62.2%,52.8%,6/9,54.9%,52.1%,1.4%,47.7%,59.3%,5/10,144,0,1,73,37,36,1,1:47
17-Oct-2022,Coquimbo CH,3,Clay,Q2,363,697,1,1,9,Remy Bertola,Tomas Lipovsek Puches,6-0 6-0,2.26,7.9%,5.3%,55.3%,76.2%,64.7%,2/2,67.8%,65.3%,2.0%,60.6%,75.0%,6/12,87,3,2,38,21,17,1,0:52
10-Oct-2022,Rio De Janeiro CH,3,Clay,R16,386,155,0,Q,7,Juan Manuel Cerundolo,Remy Bertola,6-2 6-2,0.63,1.6%,6.3%,59.4%,63.2%,30.8%,5/9,41.3%,31.6%,3.5%,28.9%,36.8%,0/5,121,1,4,64,38,26,2,1:20
10-Oct-2022,Rio De Janeiro CH,3,Clay,R32,386,232,1,Q,,Remy Bertola,Alessandro Giannessi,6-3 6-7(6) 6-4,1.15,8.5%,5.7%,62.3%,75.8%,47.5%,1/3,52.6%,40.0%,1.9%,40.5%,38.1%,4/10,211,9,6,106,66,40,2,2:30
10-Oct-2022,Rio De Janeiro CH,3,Clay,Q2,386,1216,1,8,WC,Remy Bertola,Gabriel Roveri Sidney,6-2 6-4,1.43,7.5%,1.9%,66.0%,71.4%,55.6%,0/1,56.0%,48.6%,4.2%,47.9%,50.0%,4/6,125,4,1,53,35,18,3,1:27
10-Oct-2022,Rio De Janeiro CH,3,Clay,Q1,386,1192,1,8,WC,Remy Bertola,Matheus Amorim De Lima,6-0 6-1,2.77,0.0%,5.6%,61.1%,81.8%,71.4%,0/0,69.3%,61.5%,0.0%,55.6%,75.0%,5/8,75,0,2,36,22,14,0,0:50
3-Oct-2022,Campinas CH,3,Clay,SF,450,457,0,LL,Q,Jan Choinski,Remy Bertola,6-4 6-4,0.75,0.0%,0.0%,42.3%,72.7%,43.3%,2/6,44.3%,33.3%,0.0%,18.5%,48.1%,2/6,106,0,0,52,22,30,0,1:24
3-Oct-2022,Campinas CH,3,Clay,QF,450,157,1,LL,8,Remy Bertola,Facundo Mena,6-3 3-6 6-3,1.26,2.7%,2.7%,54.1%,62.5%,52.9%,4/10,55.5%,52.8%,1.4%,48.6%,57.1%,7/10,146,2,2,74,40,34,1,1:47
3-Oct-2022,Campinas CH,3,Clay,R16,450,210,1,LL,,Remy Bertola,Daniel Dutra Da Silva,7-5 6-2,1.42,0.0%,1.6%,39.1%,76.0%,66.7%,2/3,57.0%,42.1%,7.0%,30.0%,55.6%,4/8,121,0,1,64,25,39,4,1:30
3-Oct-2022,Campinas CH,3,Clay,R32,450,98,1,LL,1,Remy Bertola,Daniel Altmaier,6-3 7-5,1.23,2.6%,7.9%,48.7%,64.9%,43.6%,4/8,55.1%,56.9%,3.9%,45.5%,65.5%,6/10,127,2,6,76,37,39,2,1:37
3-Oct-2022,Campinas CH,3,Clay,Q2,450,418,0,10,6,Jose Pereira,Remy Bertola,6-4 6-1,0.60,3.6%,5.4%,37.5%,52.4%,42.9%,5/10,39.6%,32.0%,2.0%,27.0%,46.2%,1/4,106,2,3,56,21,35,1,1:23
3-Oct-2022,Campinas CH,3,Clay,Q1,450,557,1,10,Alt,Remy Bertola,Mirko Martinez,2-6 6-1 6-4,1.14,4.2%,5.6%,46.5%,66.7%,52.6%,2/6,52.3%,46.4%,3.6%,30.9%,75.9%,5/11,155,3,4,71,33,38,3,1:52
26-Sep-2022,Lisbon CH,3,Clay,Q2,454,321,0,Alt,11,Duje Ajdukovic,Remy Bertola,2-6 6-2 7-5,0.88,3.6%,3.6%,53.6%,62.2%,56.4%,3/7,47.9%,35.4%,1.3%,31.0%,47.6%,3/6,163,3,3,84,45,39,1,2:02
26-Sep-2022,Lisbon CH,3,Clay,Q1,454,285,1,Alt,6,Remy Bertola,Johan Nikles,6-4 0-0 RET,1.03,2.3%,2.3%,56.8%,56.0%,57.9%,4/5,50.6%,44.4%,0.0%,37.9%,56.3%,2/8,89,1,1,44,25,19,0,0:57
19-Sep-2022,Sibiu CH,3,Clay,Q1,448,583,0,8,,Sebastian Gima,Remy Bertola,6-2 6-1,0.70,0.0%,10.7%,60.7%,44.1%,45.5%,2/8,41.9%,38.8%,0.0%,33.3%,50.0%,1/4,105,0,6,56,34,22,0,1:03
5-Sep-2022,M25 Cairo,3,Clay,R16,478,958,0,1,,Alec Beckley,Remy Bertola,6-4 0-6 6-3,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M25 Cairo,3,Clay,R32,478,,1,1,Q,Remy Bertola,Federico Valle,6-0 7-5,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M25 Sierre,3,Clay,F,478,362,1,4,1,Remy Bertola,Maximilian Neuchrist,6-7(2) 7-6(7) 6-4,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M25 Sierre,3,Clay,SF,478,1217,1,4,,Remy Bertola,Patrick Zahraj,7-6(5) 6-2,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M25 Sierre,3,Clay,QF,478,,1,4,WC,Remy Bertola,Mika Brunold,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M25 Sierre,3,Clay,R16,478,,1,4,WC,Remy Bertola,Timofey Stepanov,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M25 Sierre,3,Clay,R32,478,1258,1,4,,Remy Bertola,Jan Sebesta,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
22-Aug-2022,M25 Caslano,3,Clay,QF,457,431,0,5,3,Elmar Ejupovic,Remy Bertola,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
22-Aug-2022,M25 Caslano,3,Clay,R16,457,1567,1,5,Q,Remy Bertola,Ottaviano Martini,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
22-Aug-2022,M25 Caslano,3,Clay,R32,457,1210,1,5,,Remy Bertola,Patrick Zahraj,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
15-Aug-2022,M25 Muttenz,3,Clay,R32,454,616,0,,,Kai Wehnelt,Remy Bertola,6-7(6) 7-5 7-6(6),,,,,,,,,,,,,,,,,,,,,
25-Jul-2022,San Benedetto Del Tronto CH,3,Clay,Q1,458,629,0,12,Alt,Manuel Mazza,Remy Bertola,6-3 4-6 6-2,0.81,6.7%,9.0%,55.1%,69.4%,35.0%,5/11,45.7%,37.2%,7.0%,27.9%,46.5%,3/8,175,6,8,89,49,40,6,2:04
18-Jul-2022,Trieste CH,3,Clay,Q1,451,345,0,,4,Lukas Neumayer,Remy Bertola,3-6 6-1 6-2,0.83,1.4%,7.2%,49.3%,70.6%,45.7%,5/9,45.6%,35.0%,1.3%,34.5%,36.0%,1/3,149,1,5,69,34,35,1,1:47
11-Jul-2022,Verona CH,3,Clay,Q2,463,578,0,,,Jerome Kym,Remy Bertola,5-7 6-2 6-4,0.96,2.4%,4.7%,64.7%,67.3%,60.0%,5/8,48.1%,34.0%,9.0%,22.7%,55.9%,1/6,185,2,4,85,55,30,9,2:20
11-Jul-2022,Verona CH,3,Clay,Q1,463,264,1,,1,Remy Bertola,Lorenzo Giustino,6-2 6-3,1.56,4.9%,0.0%,65.9%,66.7%,57.1%,4/6,59.8%,57.1%,0.0%,50.0%,64.3%,6/16,97,2,0,41,27,14,0,1:13
4-Jul-2022,Todi CH,3,Clay,R32,508,176,0,Q,5,Santiago Fa Rodriguez Taverna,Remy Bertola,5-7 6-3 6-4,0.81,2.0%,5.1%,53.5%,69.8%,45.7%,6/10,46.6%,33.7%,6.5%,25.9%,44.7%,3/8,191,2,5,99,53,46,6,2:34
4-Jul-2022,Todi CH,3,Clay,Q2,508,360,1,,3,Remy Bertola,Oleg Prihodko,6-2 7-6(2),1.25,0.0%,2.9%,52.9%,72.2%,53.1%,2/4,55.0%,46.0%,4.8%,44.9%,50.0%,4/5,131,0,2,68,36,32,3,1:37
4-Jul-2022,Todi CH,3,Clay,Q1,508,454,1,,9,Remy Bertola,Elliot Benchetrit,6-2 3-6 7-6(4),1.08,7.2%,7.2%,43.3%,76.2%,58.2%,7/9,51.6%,36.8%,1.1%,31.8%,48.3%,3/8,192,7,7,97,42,55,1,2:24
20-Jun-2022,M25 Klosters,3,Clay,SF,495,439,0,,6,Lukas Neumayer,Remy Bertola,2-6 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
20-Jun-2022,M25 Klosters,3,Clay,QF,495,409,1,,5,Remy Bertola,Damien Wenger,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
20-Jun-2022,M25 Klosters,3,Clay,R16,495,807,1,,,Remy Bertola,Jules Marie,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
20-Jun-2022,M25 Klosters,3,Clay,R32,495,1243,1,,WC,Remy Bertola,Noah Lopez,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
13-Jun-2022,M25 Grasse,3,Clay,R32,494,349,0,,5,Lucas Gerch,Remy Bertola,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
