Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
7-Oct-2013,Brazil F11,3,Clay,R32,UNR,UNR,0,,2,Fabricio Neis,Renato Nunes Dos Santos,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
30-Sep-2013,Brazil F10,3,Clay,R32,UNR,UNR,0,,WC,Felipe Fonseca,Renato Nunes Dos Santos,6-4 3-6 6-1,,,,,,,,,,,,,,,,,,,,,
23-Sep-2013,Brazil F9,3,Hard,R32,UNR,UNR,0,,,Augusto Laranja,Renato Nunes Dos Santos,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
16-Sep-2013,Brazil F8,3,Clay,R32,UNR,UNR,0,,4,Joao Pedro Sorgi,Renato Nunes Dos Santos,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
1-Oct-2012,Brazil F28,3,Clay,R16,1343,628,0,,4,Alexandre Schnitman,Renato Nunes Dos Santos,6-1 5-2 RET,,,,,,,,,,,,,,,,,,,,,
1-Oct-2012,Brazil F28,3,Clay,R32,1343,UNR,1,,Q,Renato Nunes Dos Santos,Mauricio Cassimiro,7-6(6) 6-2,,,,,,,,,,,,,,,,,,,,,
27-Aug-2012,Brazil F23,3,Clay,R32,1487,1896,0,,Q,Eduardo Piragine,Renato Nunes Dos Santos,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
20-Aug-2012,Brazil F22,3,Clay,R16,1494,369,0,Q,3,Fabiano De Paula,Renato Nunes Dos Santos,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
20-Aug-2012,Brazil F22,3,Clay,R32,1494,1398,1,Q,Q,Renato Nunes Dos Santos,Jose Munoz Salgado,4-6 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
6-Aug-2012,Brazil F20,3,Clay,R32,1476,475,0,Q,2,Thales Turini,Renato Nunes Dos Santos,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
28-May-2012,Brazil F12,3,Clay,R32,1437,1375,0,,,Andrew Lauret,Renato Nunes Dos Santos,7-6(1) 6-3,,,,,,,,,,,,,,,,,,,,,
7-May-2012,Brazil F9,3,Clay,R16,1793,673,0,Q,,Fabricio Neis,Renato Nunes Dos Santos,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
7-May-2012,Brazil F9,3,Clay,R32,1793,1103,1,Q,,Renato Nunes Dos Santos,Filipe Brandao,3-6 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
12-Dec-2011,Brazil F43,3,Clay,R16,UNR,526,0,WC,6,Maximiliano Estevez,Renato Nunes Dos Santos,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
12-Dec-2011,Brazil F43,3,Clay,R32,UNR,UNR,1,WC,WC,Renato Nunes Dos Santos,Eric Komati,6-4 7-6(3),,,,,,,,,,,,,,,,,,,,,
21-Nov-2011,Brazil F40,3,Clay,R32,UNR,879,0,WC,,Giorgio Portaluri,Renato Nunes Dos Santos,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
19-Sep-2011,Bolivia F1,3,Clay,R32,UNR,1353,0,Q,PR,Adam Vejmelka,Renato Nunes Dos Santos,6-4 7-6(5),,,,,,,,,,,,,,,,,,,,,
9-May-2011,Brazil F13,3,Hard,R32,UNR,1320,0,WC,WC,Karue Sell,Renato Nunes Dos Santos,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
25-Apr-2011,Brazil F11,3,Clay,R32,UNR,1020,0,Q,WC,Bruno Santanna,Renato Nunes Dos Santos,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
19-Oct-2009,Venezuela F9,3,Hard,R32,UNR,1542,0,LL,,Roman Recarte,Renato Nunes Dos Santos,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
