Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
16-Sep-1991,Singapore CH,3,Hard,R32,397,145,0,,4,Mark Woodforde,Richard Lubner,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
8-Jul-1991,Kakegawa CH,3,Grass,R32,400,463,0,6,,Ryuso Tsujino,Richard Lubner,5-7 7-6 6-3,,,,,,,,,,,,,,,,,,,,,
6-May-1991,Ribeirao CH,3,Clay,R16,425,200,0,Q,8,Steve Bryan,Richard Lubner,4-6 6-0 6-3,,,,,,,,,,,,,,,,,,,,,
6-May-1991,Ribeirao CH,3,Clay,R32,425,UNR,1,Q,WC,Richard Lubner,Givaldo Barbosa,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
29-Apr-1991,Sao Paulo2 CH,3,Hard,QF,499,220,0,Q,5,Steve Bryan,Richard Lubner,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
29-Apr-1991,Sao Paulo2 CH,3,Hard,R16,499,382,1,Q,,Richard Lubner,Eduardo Velez,7-6 2-6 6-3,,,,,,,,,,,,,,,,,,,,,
29-Apr-1991,Sao Paulo2 CH,3,Hard,R32,499,571,1,Q,Q,Richard Lubner,Marcos Hocevar,2-6 6-3 7-6,,,,,,,,,,,,,,,,,,,,,
28-Jan-1991,Bangalore CH,3,Clay,QF,611,725,0,,,Zeljko Cica,Richard Lubner,6-3 7-6,,,,,,,,,,,,,,,,,,,,,
28-Jan-1991,Bangalore CH,3,Clay,R16,611,328,1,,3,Richard Lubner,Eduardo Furusho,W/O,,,,,,,,,,,,,,,,,,,,,
28-Jan-1991,Bangalore CH,3,Clay,R32,611,863,1,,WC,Richard Lubner,Asif Ismail,6-7 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
