Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
22-Jul-2019,Granby CH,3,Hard,Q1,,,0,2,ITF,Kooros Ghasemi,Roberto Maytin,5-7 1-3 RET,1.34,0.0%,6.4%,61.7%,72.4%,55.6%,1/2,54.9%,45.5%,1.8%,39.3%,51.9%,3/5,102,0,3,47,29,18,1,1:08
18-Jun-2018,Blois CH,3,Clay,Q1,,348,0,,1,Mikael Ymer,Roberto Maytin,6-2 6-0,0.41,0.0%,14.9%,55.3%,53.8%,28.6%,2/7,34.1%,23.7%,7.9%,28.6%,10.0%,0/2,85,0,7,47,26,21,3,0:50
30-Apr-2018,Puerto Vallarta CH,3,Hard,Q1,,,0,,,Hans Hach Verdugo,Roberto Maytin,6-4 6-1,0.43,4.5%,10.6%,56.1%,56.8%,48.3%,7/11,40.6%,20.0%,20.0%,18.5%,23.1%,0/0,106,3,7,66,37,29,8,1:01
2-Apr-2018,Panama City CH,3,Clay,Q1,,545,0,,5,Felipe Mantilla,Roberto Maytin,6-2 6-3,0.52,0.0%,7.9%,66.7%,64.3%,33.3%,8/12,41.3%,23.9%,4.3%,25.0%,20.0%,0/1,109,0,5,63,42,21,2,1:01
26-Mar-2018,Le Gosier CH,3,Hard,Q2,,490,0,,2,Gregoire Jacq,Roberto Maytin,6-2 6-0,0.40,2.6%,7.7%,69.2%,37.0%,16.7%,0/6,29.3%,27.8%,5.6%,29.2%,25.0%,1/4,75,1,3,39,27,12,2,0:45
19-Feb-2018,Cuernavaca CH,3,Hard,Q1,,614,0,,8,Franco Agamenone,Roberto Maytin,6-4 6-1,0.60,2.2%,11.1%,55.6%,68.0%,20.0%,2/6,38.3%,32.3%,8.1%,27.7%,46.7%,1/6,107,1,5,45,25,20,5,1:01
4-Sep-2017,Bogota CH,3,Clay,Q1,,1678,0,,,Juan Manuel Lopez,Roberto Maytin,2-6 6-1 6-3,0.84,0.0%,17.3%,60.0%,68.9%,33.3%,5/10,47.1%,38.1%,3.2%,27.8%,51.9%,3/4,138,0,13,75,45,30,2,1:20
2-Dec-2013,Venezuela F9,3,Clay,R32,1186,,0,,Q,Oscar Torres,Roberto Maytin,2-5 RET,,,,,,,,,,,,,,,,,,,,,
25-Nov-2013,Venezuela F8,3,Hard,QF,1189,238,0,,1,David Souto,Roberto Maytin,4-6 6-4 6-2,,,,,,,,,,,,,,,,,,,,,
25-Nov-2013,Venezuela F8,3,Hard,R16,1189,441,1,,6,Roberto Maytin,Luis David Martinez,7-6(1) 6-3,,,,,,,,,,,,,,,,,,,,,
25-Nov-2013,Venezuela F8,3,Hard,R32,1189,,1,,LL,Roberto Maytin,Christian Di Aloy,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
4-Nov-2013,Mexico F18,3,Hard,R32,1181,942,0,,,Alex Llompart,Roberto Maytin,4-4 RET,,,,,,,,,,,,,,,,,,,,,
28-Oct-2013,Mexico F17,3,Hard,R32,918,,0,,WC,Kevin Jack Carpenter,Roberto Maytin,6-4 RET,,,,,,,,,,,,,,,,,,,,,
21-Oct-2013,Mexico F16,3,Hard,R32,919,547,0,,7,Darian King,Roberto Maytin,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
14-Oct-2013,Mexico F15,3,Hard,R32,916,715,0,,,Felipe Mantilla,Roberto Maytin,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
19-Aug-2013,Venezuela F5,3,Hard,QF,946,586,0,,4,Dean Obrien,Roberto Maytin,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
