Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
11-Mar-2024,M25 Trimbach,3,Carpet,R32,1688,553,0,LL,,Mika Brunold,Robin Bulant,6-3 4-0 RET,,,,,,,,,,,,,,,,,,,,,
11-Sep-2023,M25 Monastir,3,Hard,R16,,,0,Q,Q,Daniel Khazime,Robin Bulant,5-7 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
11-Sep-2023,M25 Monastir,3,Hard,R32,,1294,1,Q,,Robin Bulant,Vladislav Ivanov,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
18-Nov-2013,Czech Republic F6,3,Carpet,R32,2015,1062,0,Q,Q,Robert Rumler,Robin Bulant,6-7(6) 6-1 7-6(2),,,,,,,,,,,,,,,,,,,,,
4-Nov-2013,Croatia F14,3,Clay,R32,1932,887,0,Q,,Tomislav Ternar,Robin Bulant,7-5 3-6 6-1,,,,,,,,,,,,,,,,,,,,,
26-Aug-2013,Austria F9,3,Clay,R16,1573,1969,0,,Q,Jan Poskocil,Robin Bulant,6-1 1-6 6-4,,,,,,,,,,,,,,,,,,,,,
26-Aug-2013,Austria F9,3,Clay,R32,1573,1969,1,,Q,Robin Bulant,Erik Elliott,6-1 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
15-Jul-2013,Slovak Republic F1,3,Clay,R32,1154,1012,0,,Q,Adrian Partl,Robin Bulant,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
1-Jul-2013,Romania F6,3,Clay,R32,1042,,0,,Q,Dragos Dima,Robin Bulant,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
1-Oct-2012,Germany F18,3,Hard,R16,1068,482,0,Q,8,Alexey Vatutin,Robin Bulant,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
1-Oct-2012,Germany F18,3,Hard,R32,1068,1060,1,Q,WC,Robin Bulant,Sebastian Sachs,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
3-Sep-2012,Austria F9,3,Clay,R32,1099,1021,0,,,David Thurner,Robin Bulant,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
27-Aug-2012,Austria F8,3,Clay,R16,1099,276,0,,1,Marek Michalicka,Robin Bulant,6-4 6-7(5) 4-0 RET,,,,,,,,,,,,,,,,,,,,,
27-Aug-2012,Austria F8,3,Clay,R32,1099,,1,,Q,Robin Bulant,Mario Kargl,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
13-Aug-2012,Austria F6,3,Clay,R16,1137,527,0,Q,7,Nicolas Reissig,Robin Bulant,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
13-Aug-2012,Austria F6,3,Clay,R32,1137,648,1,Q,,Robin Bulant,Maximilian Neuchrist,6-7(4) 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
6-Aug-2012,Slovakia F2,3,Clay,R32,1140,399,0,,2,Jozef Kovalik,Robin Bulant,6-3 4-1 RET,,,,,,,,,,,,,,,,,,,,,
30-Jul-2012,Slovakia F1,3,Clay,R16,1204,381,0,Q,2,Daniel Smethurst,Robin Bulant,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
30-Jul-2012,Slovakia F1,3,Clay,R32,1204,893,1,Q,,Robin Bulant,Robert Rumler,6-3 2-6 7-6(6),,,,,,,,,,,,,,,,,,,,,
23-Jul-2012,Czech Republic F6,3,Clay,R16,1189,928,0,WC,Q,Jan Kuncik,Robin Bulant,4-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
23-Jul-2012,Czech Republic F6,3,Clay,R32,1189,915,1,WC,,Robin Bulant,Robert Rumler,6-1 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
16-Jul-2012,Czech Republic F5,3,Clay,R32,1253,481,0,Q,5,Michal Schmid,Robin Bulant,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
9-Jul-2012,Czech Republic F4,3,Clay,R16,1620,497,0,Q,6,Dominic Thiem,Robin Bulant,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
9-Jul-2012,Czech Republic F4,3,Clay,R32,1620,1235,1,Q,,Robin Bulant,Jakub Lustyk,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
2-Jul-2012,Serbia F4,3,Clay,QF,1617,612,0,Q,4,Vladimir Obradovic,Robin Bulant,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
2-Jul-2012,Serbia F4,3,Clay,R16,1617,1788,1,Q,WC,Robin Bulant,Petar Tomic,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
2-Jul-2012,Serbia F4,3,Clay,R32,1617,699,1,Q,7,Robin Bulant,Karim Mohamed Maamoun,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
26-Sep-2011,Croatia F10,3,Clay,R32,1523,,0,Q,WC,Oscar Otte,Robin Bulant,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
1-Aug-2011,Slovakia F1,3,Clay,R16,,516,0,Q,2,Michal Konecny,Robin Bulant,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
1-Aug-2011,Slovakia F1,3,Clay,R32,,1070,1,Q,,Robin Bulant,Alexei Filenkov,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
16-Aug-2010,Slovak Rep F3,3,Clay,R32,,1427,0,Q,,Peter Miklusicak,Robin Bulant,4-6 6-2 6-1,,,,,,,,,,,,,,,,,,,,,
