Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
31-Mar-1975,Tuscon,3,Hard,R64,130,95,0,,,Bob Carmichael,Roy Barth,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
23-Sep-1974,San Francisco,3,Carpet,R64,153,21,0,,5,Roscoe Tanner,Roy Barth,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
17-Sep-1974,Los Angeles,3,Hard,R32,153,25,0,LL,12,Andrew Pattison,Roy Barth,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
17-Sep-1974,Los Angeles,3,Hard,R64,153,120,1,LL,,Roy Barth,Jean Baptiste Chanfreau,7-6 6-2,,,,,,,,,,,,,,,,,,,,,
28-Aug-1974,US Open,5,Grass,R64,137,7,0,,7,Ilie Nastase,Roy Barth,6-7 6-1 4-6 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
28-Aug-1974,US Open,5,Grass,R128,137,144,1,,,Roy Barth,John Bartlett,6-1 6-0 7-5,,,,,,,,,,,,,,,,,,,,,
25-Aug-1974,Merion,3,Grass,R32,137,167,0,,,John Whitlinger,Roy Barth,7-6 6-3,,,,,,,,,,,,,,,,,,,,,
25-Aug-1974,Merion,3,Grass,R64,137,,1,,,Roy Barth,John Holladay,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
19-Aug-1974,Columbus,3,Hard,R32,137,21,0,,3,Roscoe Tanner,Roy Barth,6-2 4-6 6-1,,,,,,,,,,,,,,,,,,,,,
5-Aug-1974,Indianapolis,3,Clay,R64,147,96,0,,,Jaime Pinto Bravo,Roy Barth,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
31-Jul-1974,Cincinnati,3,Clay,R16,147,114,0,,5,Jun Kamiwazumi,Roy Barth,7-6 3-6 6-2,,,,,,,,,,,,,,,,,,,,,
31-Jul-1974,Cincinnati,3,Clay,R32,147,205,1,,,Roy Barth,Victor Amaya,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
23-Jul-1974,Washington,3,Clay,R64,107,81,0,,,John Lloyd,Roy Barth,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
13-May-1974,Las Vegas,3,Hard,R32,123,7,0,Q,5,Stan Smith,Roy Barth,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
22-Apr-1974,Denver WCT,3,Carpet,R32,123,100,0,,,Haroon Rahim,Roy Barth,2-6 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
31-Mar-1974,Palm Desert WCT,3,Hard,R32,121,120,0,,,Tom Edlefsen,Roy Barth,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
30-Mar-1974,Tuscon,3,Hard,R64,121,64,0,,,Gerald Battrick,Roy Barth,6-2 4-6 6-0,,,,,,,,,,,,,,,,,,,,,
3-Mar-1974,Lacosta WCT,3,Hard,R32,121,95,0,,,Patricio Cornejo,Roy Barth,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
7-Oct-1973,Fort Worth,3,Hard,R32,113,56,0,,,Jeff Austin,Roy Barth,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
17-Sep-1973,Los Angeles,3,Hard,R64,124,187,0,,,Dick R Bohrnstedt,Roy Barth,6-7 6-4 7-6,,,,,,,,,,,,,,,,,,,,,
16-Sep-1973,Aptos,3,Hard,R32,124,,0,,,Kjell Johansson,Roy Barth,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
29-Aug-1973,US Open,5,Grass,R128,179,29,0,,,Bjorn Borg,Roy Barth,3-6 6-7 6-4 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
19-Aug-1973,Merion,3,Grass,R32,,,0,,,Jean Baptiste Chanfreau,Roy Barth,6-3 1-6 6-4,,,,,,,,,,,,,,,,,,,,,
19-Aug-1973,Merion,3,Grass,R64,,,1,,,Roy Barth,Vitas Gerulaitis,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
5-Aug-1973,Louisville,3,Clay,R64,,,0,,,John Whitlinger,Roy Barth,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
23-Jul-1973,Washington,3,Clay,R64,,,0,,,Haroon Rahim,Roy Barth,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
11-Jun-1973,Nottingham,3,Grass,R16,,,0,,,Chiradip Mukerjea,Roy Barth,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
11-Jun-1973,Nottingham,3,Grass,R32,,,1,,,Roy Barth,Marcello Lara,W/O,,,,,,,,,,,,,,,,,,,,,
4-Jun-1973,Berlin,3,Hard,R32,,,0,,,Jurgen Fassbender,Roy Barth,6-3 6-7 4-6?,,,,,,,,,,,,,,,,,,,,,
23-Apr-1973,Gothenberg WCT,3,Carpet,R32,,,0,,6,John Alexander,Roy Barth,2-0 RET,,,,,,,,,,,,,,,,,,,,,
14-Apr-1973,Johannesburg WCT,3,Hard,R16,,,0,,,Gerald Battrick,Roy Barth,7-5 7-5,,,,,,,,,,,,,,,,,,,,,
14-Apr-1973,Johannesburg WCT,3,Hard,R32,,,1,,,Roy Barth,Derek Schroder,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
9-Apr-1973,Brussels WCT,3,Carpet,R32,,,0,,9,Nikola Pilic,Roy Barth,3-6 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
2-Apr-1973,Munich WCT,3,Carpet,R32,,,0,,12,Robert Maud,Roy Barth,7-6(2) 6-4,,,,,,,,,,,,,,,,,,,,,
26-Mar-1973,St. Louis WCT,3,Carpet,R16,,,0,,1,Rod Laver,Roy Barth,6-2 7-6(0),,,,,,,,,,,,,,,,,,,,,
26-Mar-1973,St. Louis WCT,3,Carpet,R32,,,1,,,Roy Barth,Milan Holecek,6-3 0-6 6-3,,,,,,,,,,,,,,,,,,,,,
19-Mar-1973,Atlanta WCT,3,Clay,R32,,,0,,7,John Alexander,Roy Barth,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
18-Feb-1973,Salisbury,3,Hard,R64,,,0,,,Juan Gisbert,Roy Barth,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
11-Feb-1973,Toronto WCT,3,Carpet,R32,,,0,,,Harold Solomon,Roy Barth,4-6 7-6(3) 6-3,,,,,,,,,,,,,,,,,,,,,
6-Feb-1973,Philadelphia WCT,3,Carpet,R32,,,0,,3,Stan Smith,Roy Barth,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
29-Jan-1973,Richmond WCT,3,Carpet,R32,,,0,,3,John Alexander,Roy Barth,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
22-Jan-1973,Lacosta WCT,3,Hard,R32,,,0,,1,Rod Laver,Roy Barth,6-4 6-7(9) 6-1,,,,,,,,,,,,,,,,,,,,,
15-Jan-1973,Miami WCT,3,Hard,R32,,,0,,,Terry Addison,Roy Barth,7-6(8) 6-1,,,,,,,,,,,,,,,,,,,,,
5-Nov-1972,Gothenberg WCT,3,Carpet,R32,,,0,,,Marty Riessen,Roy Barth,6-2 4-6 6-1,,,,,,,,,,,,,,,,,,,,,
4-Nov-1972,Stockholm,3,Hard,R32,,,0,,,Pierre Barthes,Roy Barth,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
29-Oct-1972,Essen WCT,3,Carpet,R32,,,0,,,Colin Dibley,Roy Barth,6-7 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
22-Oct-1972,Vancouver WCT,3,,R32,,,0,,,Tom Okker,Roy Barth,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
1-Oct-1972,Alamo WCT,3,,R32,,,0,,,Arthur Ashe,Roy Barth,6-0 6-3,,,,,,,,,,,,,,,,,,,,,
18-Sep-1972,Los Angeles WCT,3,Hard,R64,,,0,,,Haroon Rahim,Roy Barth,6-4 6-7 6-3,,,,,,,,,,,,,,,,,,,,,
17-Sep-1972,Montreal WCT,3,,R32,,,0,,,Jeff Borowiak,Roy Barth,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
30-Aug-1972,US Open,5,Grass,R128,,,0,,,Dick Stockton,Roy Barth,6-4 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
20-Aug-1972,Fort Worth WCT,3,Hard,R32,,,0,,,John Newcombe,Roy Barth,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
13-Aug-1972,Cleveland WCT,3,Hard,R32,,,0,,,Ismail El Shafei,Roy Barth,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
29-Jul-1972,Louisville WCT,3,Clay,R32,,,0,,,Tony Roche,Roy Barth,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
12-Jul-1972,Washington WTC,3,Clay,R32,,,0,,,Ray Ruffels,Roy Barth,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
12-Jul-1972,Washington WTC,3,Clay,R64,,,1,,,Roy Barth,Ross Walker,6-3 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
6-Jul-1972,Boston WCT,3,Hard,R32,,,0,,,Ted Schroeder,Roy Barth,7-6 1-6 6-2,,,,,,,,,,,,,,,,,,,,,
1-Jul-1972,St. Louis WCT,3,Carpet,R32,,,0,,,Mark Cox,Roy Barth,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
1-May-1972,Las Vegas WCT,3,Hard,R32,,,0,,6,Marty Riessen,Roy Barth,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
30-Apr-1972,Denver WCT,3,Carpet,R32,,,0,,1,Rod Laver,Roy Barth,5-7 6-0 6-0,,,,,,,,,,,,,,,,,,,,,
23-Apr-1972,Charlotte WCT,3,Clay,R32,,,0,,,Bill Bowrey,Roy Barth,6-4 7-6,,,,,,,,,,,,,,,,,,,,,
16-Apr-1972,Quebec WCT,3,,R32,,,0,,,Ken Rosewall,Roy Barth,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
9-Apr-1972,Houston WCT,3,Clay,R32,,,0,,,Roger Taylor,Roy Barth,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
28-Mar-1972,Macon,3,Carpet,R16,,,0,,,Tom Okker,Roy Barth,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
16-Mar-1972,Chicago WCT,3,Carpet,R32,,,0,,,Roger Taylor,Roy Barth,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
5-Mar-1972,Miami WCT,3,Hard,R32,,,0,,,Charlie Pasarell,Roy Barth,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
20-Feb-1972,Toronto WCT,3,Carpet,R32,,,0,,,Frank Froehling,Roy Barth,6-3 4-6 6-3,,,,,,,,,,,,,,,,,,,,,
8-Feb-1972,Philadelphia WCT,3,Carpet,R32,,,0,,,Jeff Borowiak,Roy Barth,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
6-Feb-1972,Richmond WCT,3,Carpet,R32,,,0,,,Rod Laver,Roy Barth,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
14-Nov-1971,Bologna WCT,3,Carpet,R64,,,0,,,Adriano Panatta,Roy Barth,5-7 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
