Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
30-Jul-2018,Spain F21,3,Clay,R32,1562,685,0,,6,Andrey Chepelev,Samy Grace,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
16-Jul-2018,Spain F19,3,Clay,R32,1588,616,0,,7,Maciej Rajski,Samy Grace,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
14-May-2018,Spain F11,3,Clay,R32,1577,1768,0,LL,,Pedro Vives Marcos,Samy Grace,4-6 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
15-Jan-2018,Spain F1,3,Clay,R32,1585,821,0,,,Sergio Martos Gornes,Samy Grace,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
13-Nov-2017,Tunisia F35,3,Clay,R16,1604,617,0,Q,,Nikola Cacic,Samy Grace,7-5 7-6(5),,,,,,,,,,,,,,,,,,,,,
13-Nov-2017,Tunisia F35,3,Clay,R32,1604,460,1,Q,,Samy Grace,Alessandro Petrone,6-3 3-6 7-6(5),,,,,,,,,,,,,,,,,,,,,
6-Nov-2017,Tunisia F34,3,Clay,R32,1614,877,0,,,Alessandro Luisi,Samy Grace,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
18-Sep-2017,Egypt F26,3,Hard,R32,1325,649,0,,5,Marek Gengel,Samy Grace,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
11-Sep-2017,Egypt F25,3,Clay,R16,1317,678,0,,7,Johan Sebastien Tatlot,Samy Grace,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
11-Sep-2017,Egypt F25,3,Clay,R32,1317,990,1,,,Samy Grace,Mazen Osama,6-3 2-6 6-4,,,,,,,,,,,,,,,,,,,,,
4-Sep-2017,Egypt F24,3,Clay,R32,1315,1612,0,,Q,Tadeas Paroulek,Samy Grace,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
17-Jul-2017,Spain F22,3,Clay,R32,1312,1142,0,Q,,Vullnet Tashi,Samy Grace,3-6 6-0 6-4,,,,,,,,,,,,,,,,,,,,,
10-Jul-2017,Spain F21,3,Clay,R32,1298,1069,0,WC,,Mikhail Korovin,Samy Grace,6-2 7-6(1),,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,Spain F19,3,Hard,R32,1278,,0,,Q,Gabriel Diaz Freire,Samy Grace,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
19-Jun-2017,Tunisia F24,3,Clay,R32,1272,610,0,,6,Anis Ghorbel,Samy Grace,6-0 RET,,,,,,,,,,,,,,,,,,,,,
30-Jan-2017,Tunisia F4,3,Clay,R32,1293,1347,0,Q,Q,Mikhail Korovin,Samy Grace,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
14-Nov-2016,Tunisia F32,3,Clay,R16,1373,416,0,Q,3,Lukas Mugevicius,Samy Grace,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
14-Nov-2016,Tunisia F32,3,Clay,R32,1373,1939,1,Q,LL,Samy Grace,Robert Ziganshin,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
19-Sep-2016,Egypt F25,3,Clay,QF,,1313,0,Q,,Jay Clarke,Samy Grace,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
19-Sep-2016,Egypt F25,3,Clay,R16,,,1,Q,WC,Samy Grace,Anirudh Chandrasekar,7-6(1) 6-4,,,,,,,,,,,,,,,,,,,,,
19-Sep-2016,Egypt F25,3,Clay,R32,,797,1,Q,,Samy Grace,Sherif Sabry,6-0 RET,,,,,,,,,,,,,,,,,,,,,
12-Sep-2016,Egypt F24,3,Clay,R16,,632,0,Q,4,Christoph Negritu,Samy Grace,6-3 6-7(5) 6-2,,,,,,,,,,,,,,,,,,,,,
12-Sep-2016,Egypt F24,3,Clay,R32,,,1,Q,Q,Samy Grace,Odil Akramov,6-3 3-0 RET,,,,,,,,,,,,,,,,,,,,,
11-Jul-2016,Spain F21,3,Clay,R32,,1145,0,WC,,Alejandro Ibanez Gallego,Samy Grace,7-6(1) 6-1,,,,,,,,,,,,,,,,,,,,,
