Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
2-Feb-2009,Burnie CH,3,Hard,R32,398,439,0,,,Greg Jones,Satoshi Iwabuchi,6-1 3-6 6-4,0.79,2.6%,7.7%,53.8%,64.3%,47.2%,5/9,45.1%,34.5%,20.2%,28.3%,45.2%,2/4,162,2,6,78,42,36,17,1:51
27-Oct-2008,Busan CH,3,Hard,R16,385,132,0,Q,8,Go Soeda,Satoshi Iwabuchi,6-2 7-5,0.75,0.0%,9.1%,56.4%,54.8%,41.7%,1/6,43.1%,38.2%,11.8%,35.1%,41.9%,2/7,123,0,5,55,31,24,8,1:19
27-Oct-2008,Busan CH,3,Hard,R32,385,697,1,Q,Q,Satoshi Iwabuchi,Dylan Seong Kwan Kim,6-2 3-6 6-1,1.24,3.9%,5.2%,62.3%,66.7%,55.2%,8/11,55.3%,46.9%,6.3%,41.5%,56.5%,6/7,141,3,4,77,48,29,4,1:40
29-Sep-2008,Tokyo,3,Hard,R64,339,155,0,WC,,Hyung Taik Lee,Satoshi Iwabuchi,6-1 6-4,0.60,7.9%,7.9%,69.8%,50.0%,26.3%,6/12,39.3%,34.1%,9.1%,27.6%,46.7%,2/3,107,5,5,63,44,19,4,1:05
14-Jul-2008,Moncton CH,3,Hard,R32,328,888,0,,WC,Philip Bester,Satoshi Iwabuchi,6-7(1) 6-4 2-3 RET,,,,,,,,,,,,,,,,,,,,,
7-Jul-2008,Granby CH,3,Hard,R32,323,126,0,,1,Go Soeda,Satoshi Iwabuchi,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
30-Jun-2008,Winnetka CH,3,Hard,R32,UNR,UNR,0,,Q,Luka Gregorc,Satoshi Iwabuchi,6-7(8) 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
14-Apr-2008,Busan CH,3,Hard,R32,361,143,0,,4,Kristian Pless,Satoshi Iwabuchi,6-3 6-4,0.58,1.8%,3.5%,70.2%,62.5%,52.9%,4/7,42.6%,23.5%,21.6%,15.6%,36.8%,1/2,108,1,2,57,40,17,11,0:55
11-Apr-2008,Davis Cup G1 R2: IND vs JPN,3,Grass,RR,364,UNR,1,,,Satoshi Iwabuchi,Leander Paes,6-4 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
3-Mar-2008,Kyoto CH,3,Carpet,R16,368,245,0,WC,8,Daniel Brands,Satoshi Iwabuchi,6-3 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
3-Mar-2008,Kyoto CH,3,Carpet,R32,368,340,1,WC,,Satoshi Iwabuchi,Gouichi Motomura,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
26-Nov-2007,Brisbane CH,3,Hard,R16,376,304,0,,,Todd Widom,Satoshi Iwabuchi,6-3 6-7(7) 7-5,,,,,,,,,,,,,,,,,,,,,
26-Nov-2007,Brisbane CH,3,Hard,R32,376,225,1,,4,Satoshi Iwabuchi,Ivo Klec,4-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
19-Nov-2007,Yokohama CH,3,Hard,R16,383,334,0,,7,Rainer Eitzinger,Satoshi Iwabuchi,7-6(5) 7-6(5),,,,,,,,,,,,,,,,,,,,,
19-Nov-2007,Yokohama CH,3,Hard,R32,383,451,1,,,Satoshi Iwabuchi,Hyun Woo Nam,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
29-Oct-2007,Busan CH,3,Hard,R16,391,127,0,LL,,Wayne Odesnik,Satoshi Iwabuchi,W/O,,,,,,,,,,,,,,,,,,,,,
29-Oct-2007,Busan CH,3,Hard,R32,391,183,1,LL,,Satoshi Iwabuchi,Alex Bogomolov Jr,6-4 1-6 6-3,,,,,,,,,,,,,,,,,,,,,
1-Oct-2007,Tokyo,3,Hard,R64,355,110,0,WC,,Jiri Vanek,Satoshi Iwabuchi,6-4 6-4,0.70,5.1%,3.4%,57.6%,67.6%,60.0%,3/5,45.2%,25.0%,21.4%,14.3%,57.1%,0/4,115,3,2,59,34,25,12,1:10
23-Jul-2007,Granby CH,3,Hard,R32,351,112,0,,2,Yen Hsun Lu,Satoshi Iwabuchi,4-6 6-4 7-6(0),,,,,,,,,,,,,,,,,,,,,
