Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
23-Jan-2023,M25 Manacor,3,Hard,R32,735,383,0,,5,Alberto Barroso Campos,Sergi Perez Contri,7-5 6-7(2) 6-2,,,,,,,,,,,,,,,,,,,,,
5-Dec-2022,M15 Madrid,3,Clay,R32,754,437,0,,4,Alex Marti Pujolras,Sergi Perez Contri,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
28-Nov-2022,M15 Madrid,3,Hard,R16,752,658,0,,6,Tim Handel,Sergi Perez Contri,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
28-Nov-2022,M15 Madrid,3,Hard,R32,752,980,1,,Q,Sergi Perez Contri,Julio Cesar Porras,6-7(5) 6-3 7-6(3),,,,,,,,,,,,,,,,,,,,,
21-Nov-2022,M15 Madrid,3,Hard,R32,748,686,0,,6,David Jorda Sanchis,Sergi Perez Contri,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
7-Nov-2022,M15 Benicarlo,3,Clay,R32,739,427,0,,5,Alvaro Lopez San Martin,Sergi Perez Contri,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,M25 Girona,3,Clay,R16,741,376,0,WC,6,Alejandro Moro Canas,Sergi Perez Contri,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,M25 Girona,3,Clay,R32,741,467,1,WC,,Sergi Perez Contri,Robin Bertrand,6-1 4-6 7-6(6),,,,,,,,,,,,,,,,,,,,,
3-Oct-2022,M25 Zaragoza,3,Clay,QF,763,276,0,Q,2,Louis Wessels,Sergi Perez Contri,6-1 7-5,,,,,,,,,,,,,,,,,,,,,
3-Oct-2022,M25 Zaragoza,3,Clay,R16,763,402,1,Q,6,Sergi Perez Contri,Martin Cuevas,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
3-Oct-2022,M25 Zaragoza,3,Clay,R32,763,1145,1,Q,WC,Sergi Perez Contri,Inaki Cabrera Bello,4-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
19-Sep-2022,M15 Melilla,3,Clay,QF,793,456,0,,1,Alvaro Lopez San Martin,Sergi Perez Contri,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
19-Sep-2022,M15 Melilla,3,Clay,R16,793,1946,1,,,Sergi Perez Contri,Luka Mikrut,2-6 6-4 6-2,,,,,,,,,,,,,,,,,,,,,
19-Sep-2022,M15 Melilla,3,Clay,R32,793,820,1,,7,Sergi Perez Contri,Bastian Malla,6-0 2-6 6-2,,,,,,,,,,,,,,,,,,,,,
12-Sep-2022,M25 Madrid,3,Hard,R16,911,539,0,,5,Peter Heller,Sergi Perez Contri,6-3 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
12-Sep-2022,M25 Madrid,3,Hard,R32,911,1391,1,,,Sergi Perez Contri,Ivan Marrero Curbelo,4-2 RET,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M15 Madrid,3,Clay,F,1013,922,0,,,Ryan Nijboer,Sergi Perez Contri,6-4 2-6 6-3,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M15 Madrid,3,Clay,SF,1013,660,1,,5,Sergi Perez Contri,Maxime Chazal,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M15 Madrid,3,Clay,QF,1013,1185,1,,,Sergi Perez Contri,Xavi Matas Ortega,6-0 4-6 6-1,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M15 Madrid,3,Clay,R16,1013,699,1,,8,Sergi Perez Contri,Digvijaypratap Singh,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M15 Madrid,3,Clay,R32,1013,,1,,Q,Sergi Perez Contri,Gianluca Cadenasso,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M25 Oviedo,3,Clay,QF,1013,285,0,,1,Oriol Roca Batalla,Sergi Perez Contri,4-6 7-6(1) 6-4,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M25 Oviedo,3,Clay,R16,1013,482,1,,5,Sergi Perez Contri,Eric Vanshelboim,7-6(3) 5-7 6-2,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M25 Oviedo,3,Clay,R32,1013,1824,1,,Q,Sergi Perez Contri,Nil Regas Luis,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
22-Aug-2022,M25 Santander,3,Clay,R16,1003,425,0,,2,Carlos Sanchez Jover,Sergi Perez Contri,6-7(7) 6-3 6-0,,,,,,,,,,,,,,,,,,,,,
22-Aug-2022,M25 Santander,3,Clay,R32,1003,1353,1,,LL,Sergi Perez Contri,Vicente Oliver Moratalla,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
1-Aug-2022,M15 Xativa,3,Clay,R16,1153,696,0,PR,4,Jorge Martinez Martinez,Sergi Perez Contri,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
1-Aug-2022,M15 Xativa,3,Clay,R32,1153,,1,PR,Q,Sergi Perez Contri,Iannis Miletich,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
25-Jul-2022,M25 Denia,3,Clay,QF,1262,702,0,WC,,Jorge Martinez Martinez,Sergi Perez Contri,6-4 6-7(2) 6-1,,,,,,,,,,,,,,,,,,,,,
25-Jul-2022,M25 Denia,3,Clay,R16,1262,303,1,WC,1,Sergi Perez Contri,Calvin Hemery,3-6 7-5 6-4,,,,,,,,,,,,,,,,,,,,,
25-Jul-2022,M25 Denia,3,Clay,R32,1262,,1,WC,Q,Sergi Perez Contri,Zakhar Trapeznikov,1-6 7-6(1) 6-2,,,,,,,,,,,,,,,,,,,,,
18-Jul-2022,M25 Gandia,3,Clay,R16,1267,294,0,,1,Javier Barranco Cosano,Sergi Perez Contri,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
18-Jul-2022,M25 Gandia,3,Clay,R32,1267,1926,1,,Q,Sergi Perez Contri,Giacomo Revelli,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
27-Jun-2022,Malaga CH,3,Hard,Q1,1229,425,0,WC,7,Marek Gengel,Sergi Perez Contri,6-4 4-6 7-5,1.00,0.0%,6.5%,75.0%,62.4%,45.2%,8/13,50.4%,42.1%,1.8%,33.3%,54.2%,4/12,238,0,8,124,93,31,2,2:58
6-Jun-2022,M15 Cordoba,3,Clay,R16,1333,548,0,,8,Alberto Barroso Campos,Sergi Perez Contri,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
6-Jun-2022,M15 Cordoba,3,Clay,R32,1333,,1,,WC,Sergi Perez Contri,Francisco Javier Martinez Baena,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
30-May-2022,M25 La Nucia,3,Clay,R32,1345,438,0,,,Alex Marti Pujolras,Sergi Perez Contri,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
25-Apr-2022,M25 Split,3,Clay,R32,1272,802,0,Q,Q,Robin Bertrand,Sergi Perez Contri,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
28-Feb-2022,M25 Faro,3,Hard,QF,1321,292,0,Q,1,Dalibor Svrcina,Sergi Perez Contri,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
