Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
4-Aug-1986,Kitzbuhel,3,Clay,R64,213,196,0,,,Marcelo Ingaramo,Stefan Simonsson,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
21-Jul-1986,Bastad,3,Clay,R32,191,69,0,,,Marian Vajda,Stefan Simonsson,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
7-Jul-1986,Dortmund CH,3,Clay,R32,176,708,0,4,Q,Fredrik Rosenquist,Stefan Simonsson,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
16-Jun-1986,Bristol,3,Grass,R64,166,114,0,,,Thierry Champion,Stefan Simonsson,6-3 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
28-Apr-1986,Loipersdorf CH,3,Clay,R32,170,119,0,,6,Thomas Muster,Stefan Simonsson,3-0 RET,,,,,,,,,,,,,,,,,,,,,
14-Apr-1986,Parioli CH,3,Clay,R16,162,,0,4,Q,Franco Davin,Stefan Simonsson,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
14-Apr-1986,Parioli CH,3,Clay,R32,162,,1,4,WC,Stefan Simonsson,Eugenio Rossi,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
31-Mar-1986,Agadir CH,3,Clay,R16,154,324,0,,Q,Jesus Colas,Stefan Simonsson,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
31-Mar-1986,Agadir CH,3,Clay,R32,154,155,1,,,Stefan Simonsson,Stanislav Birner,7-5 5-7 6-1,,,,,,,,,,,,,,,,,,,,,
24-Mar-1986,Marrakech CH,3,Clay,QF,168,204,0,,,Ulf Stenlund,Stefan Simonsson,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
24-Mar-1986,Marrakech CH,3,Clay,R16,168,135,1,,7,Stefan Simonsson,Jose Lopez Maeso,2-6 6-1 7-5,,,,,,,,,,,,,,,,,,,,,
24-Mar-1986,Marrakech CH,3,Clay,R32,168,213,1,,,Stefan Simonsson,Massimo Cierro,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
10-Mar-1986,Metz,3,Carpet,R32,168,427,0,,Q,Mansour Bahrami,Stefan Simonsson,1-6 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
24-Feb-1986,Cairo CH,3,Clay,R32,160,108,0,,4,Fernando Luna,Stefan Simonsson,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
18-Nov-1985,Vienna,3,Hard,R32,127,36,0,,6,Andreas Maurer,Stefan Simonsson,7-6 3-6 7-6,,,,,,,,,,,,,,,,,,,,,
11-Nov-1985,Helsinki CH,3,Hard,R32,121,248,0,7,,Tony Mmoh,Stefan Simonsson,6-3 1-6 7-6,,,,,,,,,,,,,,,,,,,,,
28-Oct-1985,Bergen CH,3,Hard,QF,130,301,0,4,Q,Eric Jelen,Stefan Simonsson,2-6 7-6 6-2,,,,,,,,,,,,,,,,,,,,,
28-Oct-1985,Bergen CH,3,Hard,R16,130,458,1,4,WC,Stefan Simonsson,Morten Ronneberg,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
28-Oct-1985,Bergen CH,3,Hard,R32,130,255,1,4,,Stefan Simonsson,Magnus Tideman,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
7-Oct-1985,Toulouse,3,Hard,R32,123,45,0,,7,Marian Vajda,Stefan Simonsson,4-6 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
23-Sep-1985,Barcelona,3,Clay,R32,125,47,0,,16,Guy Forget,Stefan Simonsson,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
23-Sep-1985,Barcelona,3,Clay,R64,125,52,1,,,Stefan Simonsson,Lawson Duncan,4-6 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
5-Aug-1985,Kitzbuhel,3,Clay,R16,130,72,0,,11,Michael Westphal,Stefan Simonsson,7-6 6-7 7-6,,,,,,,,,,,,,,,,,,,,,
5-Aug-1985,Kitzbuhel,3,Clay,R32,130,141,1,,,Stefan Simonsson,Fernando Luna,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
5-Aug-1985,Kitzbuhel,3,Clay,R64,130,39,1,,6,Stefan Simonsson,Hans Schwaier,7-6 4-6 7-5,,,,,,,,,,,,,,,,,,,,,
22-Jul-1985,Hilversum,3,Clay,R32,122,158,0,,WC,Claudio Mezzadri,Stefan Simonsson,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
15-Jul-1985,Bastad,3,Clay,QF,130,12,0,,3,Stefan Edberg,Stefan Simonsson,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
15-Jul-1985,Bastad,3,Clay,R16,130,143,1,,Q,Stefan Simonsson,Simon Youl,7-6 6-4,,,,,,,,,,,,,,,,,,,,,
15-Jul-1985,Bastad,3,Clay,R32,130,108,1,,,Stefan Simonsson,Raul Antonio Viver,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
8-Jul-1985,Gstaad,3,Clay,R16,132,9,0,,1,Joakim Nystrom,Stefan Simonsson,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
8-Jul-1985,Gstaad,3,Clay,R32,132,127,1,,Q,Stefan Simonsson,Marko Ostoja,2-6 7-5 6-0,,,,,,,,,,,,,,,,,,,,,
24-Jun-1985,Wimbledon,5,Grass,R128,124,3,0,,3,Jimmy Connors,Stefan Simonsson,6-1 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
