Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
8-May-2006,Italy F13,3,Clay,R16,,412,0,WC,Q,Andrey Golubev,Stefano Pescosolido,W/O,,,,,,,,,,,,,,,,,,,,,
8-May-2006,Italy F13,3,Clay,R32,,371,1,WC,3,Stefano Pescosolido,Marcelo Melo,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
29-Nov-2004,Milan1 CH,3,Carpet,R32,229,138,0,WC,7,Andreas Seppi,Stefano Pescosolido,6-4 7-6(0),,,,,,,,,,,,,,,,,,,,,
4-Oct-2004,Rome CH,3,Clay,R32,186,120,0,,3,Michal Tabara,Stefano Pescosolido,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
9-Aug-2004,Cordenons CH,3,Clay,R32,160,302,0,2,,Farrukh Dustov,Stefano Pescosolido,7-5 2-6 6-3,,,,,,,,,,,,,,,,,,,,,
19-Jul-2004,Kitzbuhel,3,Clay,R64,157,134,0,,,Santiago Ventura,Stefano Pescosolido,7-6(4) 6-4,0.89,0.0%,9.6%,49.4%,63.4%,38.1%,8/13,47.1%,44.0%,7.7%,25.6%,60.4%,4/14,174,0,8,83,41,42,7,1:47
21-Jun-2004,Wimbledon,5,Grass,R64,143,31,0,LL,26,Taylor Dent,Stefano Pescosolido,6-3 6-3 7-6(3),0.71,1.0%,7.8%,67.0%,62.3%,38.2%,9/15,44.1%,32.6%,9.8%,26.8%,41.7%,3/6,195,1,8,103,69,34,9,1:49
21-Jun-2004,Wimbledon,5,Grass,R128,143,87,1,LL,,Stefano Pescosolido,Dennis Van Scheppingen,4-6 4-6 6-4 7-6(5) 10-8,0.97,4.2%,2.6%,64.1%,65.9%,52.2%,8/15,49.4%,37.8%,10.9%,29.8%,49.4%,7/17,385,8,5,192,123,69,21,3:37
7-Jun-2004,Lugano CH,3,Clay,R32,143,186,0,5,,Tomas Cakl,Stefano Pescosolido,5-7 6-0 6-3,,,,,,,,,,,,,,,,,,,,,
31-May-2004,Prostejov CH,3,Clay,R16,131,61,0,,3,Radek Stepanek,Stefano Pescosolido,7-6(3) 6-2,,,,,,,,,,,,,,,,,,,,,
31-May-2004,Prostejov CH,3,Clay,R32,131,153,1,,,Stefano Pescosolido,Razvan Sabau,7-6(3) 6-1,,,,,,,,,,,,,,,,,,,,,
17-May-2004,Casablanca,3,Clay,R32,129,79,0,,5,Cyril Saulnier,Stefano Pescosolido,6-3 6-2,0.65,10.0%,2.5%,57.5%,82.6%,41.2%,1/4,42.0%,22.9%,10.4%,15.4%,31.8%,0/1,88,4,1,40,23,17,5,0:55
3-May-2004,Rome Masters,3,Clay,R64,130,25,0,WC,,Marat Safin,Stefano Pescosolido,6-4 6-3,0.69,3.3%,11.5%,44.3%,66.7%,41.2%,2/6,43.4%,32.7%,19.2%,27.3%,42.1%,1/1,113,2,7,61,27,34,10,1:12
19-Apr-2004,Napoli CH,3,Clay,R32,127,168,0,5,,Vladimir Voltchkov,Stefano Pescosolido,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
12-Apr-2004,Olbia CH,3,Clay,F,144,190,1,1,,Stefano Pescosolido,Daniel Koellerer,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
12-Apr-2004,Olbia CH,3,Clay,SF,144,540,1,1,Q,Stefano Pescosolido,Simone Vagnozzi,2-6 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
12-Apr-2004,Olbia CH,3,Clay,QF,144,233,1,1,,Stefano Pescosolido,Francisco Fogues,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
12-Apr-2004,Olbia CH,3,Clay,R16,144,219,1,1,,Stefano Pescosolido,Andreas Seppi,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
12-Apr-2004,Olbia CH,3,Clay,R32,144,243,1,1,,Stefano Pescosolido,Ignacio Gonzalez King,6-3 7-6(3),,,,,,,,,,,,,,,,,,,,,
29-Mar-2004,Barletta CH,3,Clay,R32,137,118,0,,8,Albert Montanes,Stefano Pescosolido,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
22-Mar-2004,Cagliari CH,3,Clay,SF,137,246,0,8,Q,Didac Perez,Stefano Pescosolido,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
