Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
28-Nov-2022,M25 Trnava,3,Hard,R32,899,384,0,LL,4,Mirza Basic,Stefanos Sakellaridis,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
21-Nov-2022,M25 Heraklion,3,Hard,R16,899,390,0,,2,Filip Peliwo,Stefanos Sakellaridis,6-1 7-6(3),,,,,,,,,,,,,,,,,,,,,
21-Nov-2022,M25 Heraklion,3,Hard,R32,899,1208,1,,,Stefanos Sakellaridis,Pietro Pampanin,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
31-Oct-2022,M15 Heraklion,3,Hard,R32,873,1136,0,8,WC,Alexandros Skorilas,Stefanos Sakellaridis,6-4 2-0 RET,,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Heraklion,3,Hard,QF,868,881,0,,,Andrea Guerrieri,Stefanos Sakellaridis,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Heraklion,3,Hard,R16,868,1011,1,,,Stefanos Sakellaridis,Kai Lemstra,6-2 1-6 6-2,,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Heraklion,3,Hard,R32,868,549,1,,2,Stefanos Sakellaridis,Tao Mu,6-0 7-6(5),,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,M25 Santa Margherita di Pula,3,Clay,R32,885,531,0,Q,,Gabriele Piraino,Stefanos Sakellaridis,6-3 6-7(8) 7-6(5),,,,,,,,,,,,,,,,,,,,,
10-Oct-2022,M25 Santa Margherita di Pula,3,Clay,R16,965,260,0,Q,1,Daniel Michalski,Stefanos Sakellaridis,6-2 5-4 RET,,,,,,,,,,,,,,,,,,,,,
10-Oct-2022,M25 Santa Margherita di Pula,3,Clay,R32,965,705,1,Q,,Stefanos Sakellaridis,Manuel Mazza,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
3-Oct-2022,M25 Santa Margherita di Pula,3,Clay,QF,956,302,0,,1,Lukas Neumayer,Stefanos Sakellaridis,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
3-Oct-2022,M25 Santa Margherita di Pula,3,Clay,R16,956,589,1,,8,Stefanos Sakellaridis,Savriyan Danilov,4-6 6-3 7-6(6),,,,,,,,,,,,,,,,,,,,,
3-Oct-2022,M25 Santa Margherita di Pula,3,Clay,R32,956,1197,1,,Q,Stefanos Sakellaridis,Jan Sebesta,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
