Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
7-Nov-2022,Knoxville CH,3,Hard,QF,288,115,0,,1,Michael Mmoh,Tennys Sandgren,6-3 6-4,0.64,9.1%,9.1%,47.3%,61.5%,55.2%,1/4,43.0%,26.9%,13.5%,18.9%,46.7%,1/2,107,5,5,55,26,29,7,1:20
7-Nov-2022,Knoxville CH,3,Hard,R16,288,262,1,,,Tennys Sandgren,Zachary Svajda,6-1 6-2,3.11,36.4%,0.0%,69.7%,100.0%,30.0%,1/2,71.3%,66.0%,0.0%,67.9%,63.2%,6/8,80,12,0,33,23,10,0,0:45
7-Nov-2022,Knoxville CH,3,Hard,R32,288,172,1,,5,Tennys Sandgren,Emilio Nava,7-6(6) 6-3,1.85,6.7%,3.3%,61.7%,91.9%,69.6%,0/0,56.0%,30.8%,12.3%,22.5%,44.0%,1/4,125,4,2,60,37,23,8,1:21
31-Oct-2022,Charlottesville CH,3,Hard,R32,286,218,0,SE,,Brandon Holt,Tennys Sandgren,6-1 3-6 6-2,0.59,10.5%,1.3%,64.5%,63.3%,48.1%,5/9,42.9%,25.0%,6.3%,23.1%,28.0%,1/3,140,8,1,76,49,27,4,1:35
24-Oct-2022,Las Vegas CH,3,Hard,F,444,133,1,Q,4,Tennys Sandgren,Stefan Kozlov,7-5 6-3,1.23,6.2%,2.5%,63.0%,64.7%,56.7%,7/9,55.1%,47.0%,1.5%,42.9%,54.2%,4/5,147,5,2,81,51,30,1,1:58
24-Oct-2022,Las Vegas CH,3,Hard,SF,444,202,1,Q,,Tennys Sandgren,Juncheng Shang,6-3 7-6(5),1.47,13.8%,0.0%,64.6%,73.8%,73.9%,2/3,55.6%,38.6%,7.1%,35.6%,44.0%,2/6,135,9,0,65,42,23,5,1:41
24-Oct-2022,Las Vegas CH,3,Hard,QF,444,228,1,Q,,Tennys Sandgren,Brandon Holt,6-7(7) 6-2 6-3,1.29,8.1%,4.0%,56.6%,87.5%,53.5%,5/5,55.1%,35.2%,9.1%,22.2%,55.9%,3/6,187,8,4,99,56,43,8,2:12
24-Oct-2022,Las Vegas CH,3,Hard,R16,444,568,1,Q,Q,Tennys Sandgren,Jack Pinnington Jones,7-5 6-3,1.42,15.5%,1.7%,56.9%,75.8%,56.0%,1/3,55.9%,46.4%,1.4%,29.7%,65.6%,4/12,127,9,1,58,33,25,1,1:25
24-Oct-2022,Las Vegas CH,3,Hard,R32,444,300,1,Q,,Tennys Sandgren,Sebastian Fanselow,3-6 7-5 6-3,1.05,11.8%,5.4%,59.1%,72.7%,44.7%,8/11,50.8%,40.8%,5.1%,37.7%,44.4%,4/13,191,11,5,93,55,38,5,2:25
24-Oct-2022,Las Vegas CH,3,Hard,Q2,444,807,1,5,Alt,Tennys Sandgren,Alexander Bernard,6-2 7-5,1.65,14.3%,7.1%,60.7%,82.4%,54.5%,2/3,57.9%,47.1%,1.4%,41.9%,55.6%,4/14,126,8,4,56,34,22,1,1:36
24-Oct-2022,Las Vegas CH,3,Hard,Q1,444,,1,5,,Tennys Sandgren,Tristan Mccormick,6-1 7-6(7),1.54,8.2%,3.3%,47.5%,82.8%,71.9%,1/1,55.6%,35.4%,6.2%,30.0%,40.0%,2/7,126,5,2,61,29,32,4,1:31
10-Oct-2022,Fairfield CH,3,Hard,QF,435,550,0,Q,Q,Olukayode Alafia Damina Ayeni,Tennys Sandgren,6-4 7-6(7),0.90,3.8%,1.3%,65.0%,67.3%,53.6%,5/7,47.9%,33.7%,9.6%,28.1%,46.2%,1/6,163,3,1,80,52,28,8,1:36
10-Oct-2022,Fairfield CH,3,Hard,R16,435,369,1,Q,Alt,Tennys Sandgren,Giovanni Oradini,6-7(5) 6-4 6-0,1.40,6.5%,2.2%,69.9%,70.8%,60.7%,4/6,55.9%,45.1%,2.9%,34.4%,61.0%,6/11,195,6,2,93,65,28,3,2:17
10-Oct-2022,Fairfield CH,3,Hard,R32,435,293,1,Q,,Tennys Sandgren,Sebastian Fanselow,6-4 7-6(7),1.03,10.6%,2.4%,58.8%,64.0%,51.4%,6/9,50.0%,42.3%,2.1%,40.0%,45.2%,4/12,182,9,2,85,50,35,2,2:07
10-Oct-2022,Fairfield CH,3,Hard,Q2,435,768,1,3,WC,Tennys Sandgren,Alex Michelsen,7-6(4) 6-3,1.18,4.7%,1.2%,50.6%,72.1%,57.1%,7/10,54.7%,41.5%,1.5%,29.3%,62.5%,4/9,150,4,1,85,43,42,1,1:43
10-Oct-2022,Fairfield CH,3,Hard,Q1,435,745,1,3,Alt,Tennys Sandgren,Daniil Glinka,6-4 7-5,1.20,6.0%,3.0%,65.7%,77.3%,52.2%,4/5,53.4%,37.5%,1.6%,30.6%,46.4%,3/9,131,4,2,67,44,23,1,1:22
3-Oct-2022,Tiburon CH,3,Hard,Q1,428,1020,0,4,WC,Darian King,Tennys Sandgren,7-5 6-2,0.81,3.3%,4.9%,59.0%,61.1%,24.0%,3/9,44.9%,43.9%,5.3%,39.0%,56.3%,3/5,118,2,3,61,36,25,3,1:23
26-Sep-2022,Charleston CH,3,Hard,R32,431,133,0,LL,5,Michael Mmoh,Tennys Sandgren,6-1 6-2,0.59,2.0%,2.0%,60.8%,51.6%,40.0%,3/8,39.6%,31.1%,0.0%,22.6%,50.0%,0/3,96,1,1,51,31,20,0,1:19
26-Sep-2022,Charleston CH,3,Hard,Q2,431,720,0,3,WC,Garrett Johns,Tennys Sandgren,3-6 6-3 6-2,0.73,9.2%,3.4%,51.7%,64.4%,54.8%,3/6,45.5%,29.5%,7.7%,20.0%,42.4%,1/3,165,8,3,87,45,42,6,2:01
26-Sep-2022,Charleston CH,3,Hard,Q1,431,521,1,3,,Tennys Sandgren,Nathan Ponwith,4-6 6-3 6-4,1.47,8.4%,0.0%,62.7%,84.6%,61.3%,3/4,54.5%,35.5%,4.3%,30.0%,41.9%,2/12,176,7,0,83,52,31,4,2:13
19-Sep-2022,Columbus CH,3,Hard,R16,409,114,0,,2,Emilio Gomez,Tennys Sandgren,3-6 6-3 6-2,0.93,13.6%,2.5%,59.3%,70.8%,51.5%,10/13,48.0%,34.4%,3.3%,26.7%,50.0%,1/12,171,11,2,81,48,33,3,1:56
19-Sep-2022,Columbus CH,3,Hard,R32,409,463,1,,Alt,Tennys Sandgren,Omni Kumar,7-5 6-2,1.77,16.4%,1.6%,63.9%,84.6%,59.1%,6/6,59.3%,43.5%,4.8%,13.6%,60.0%,3/6,123,10,1,61,39,22,3,1:27
12-Sep-2022,Cary CH,3,Hard,QF,446,194,0,Alt,8,Dominik Koepfer,Tennys Sandgren,6-4 6-2,0.41,4.9%,6.6%,50.8%,58.1%,53.3%,2/5,40.0%,18.2%,6.8%,22.2%,11.8%,0/0,105,3,4,61,31,30,3,1:10
12-Sep-2022,Cary CH,3,Hard,R16,446,126,1,Alt,4,Tennys Sandgren,Juan Pablo Ficovich,7-6(3) 6-3,1.26,16.9%,2.8%,60.6%,81.4%,57.1%,4/4,53.5%,35.6%,11.0%,25.5%,59.1%,1/6,144,12,2,71,43,28,8,1:40
12-Sep-2022,Cary CH,3,Hard,R32,446,358,1,Alt,,Tennys Sandgren,Aidan Mchugh,6-4 6-2,1.56,14.0%,7.0%,63.2%,80.6%,42.9%,1/3,59.6%,51.9%,7.7%,48.6%,58.8%,5/8,109,8,4,57,36,21,4,1:27
15-Aug-2022,M15 Memphis TN,3,Hard,R16,375,1030,0,1,,Tim Sandkaulen,Tennys Sandgren,7-6(2) 3-0 RET,,,,,,,,,,,,,,,,,,,,,
15-Aug-2022,M15 Memphis TN,3,Hard,R32,375,1634,1,1,WC,Tennys Sandgren,Kaylan Bigun,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
