Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
20-Aug-2018,Russia F7,3,Clay,R32,1784,619,0,,7,Shalva Dzhanashia,Thibault Cancel,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
9-Jul-2018,Austria F2,3,Clay,R32,1212,897,0,Q,,Filip Duda,Thibault Cancel,6-7(1) 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
18-Jun-2018,France F10,3,Clay,R32,1205,1311,0,Q,,Amaury Delmas,Thibault Cancel,3-6 7-6(2) 4-0 RET,,,,,,,,,,,,,,,,,,,,,
30-Oct-2017,USA F35,3,Clay,R16,1263,723,0,,,Gustav Hansson,Thibault Cancel,0-6 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
30-Oct-2017,USA F35,3,Clay,R32,1263,,1,,Q,Thibault Cancel,Sergey Belov,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
10-Jul-2017,Poland F5,3,Clay,R16,,251,0,Q,1,Laurynas Grigelis,Thibault Cancel,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
10-Jul-2017,Poland F5,3,Clay,R32,,1189,1,Q,,Thibault Cancel,Szymon Walkow,2-6 7-6(5) 6-1,,,,,,,,,,,,,,,,,,,,,
3-Jul-2017,Poland F4,3,Clay,QF,,1054,0,Q,WC,Alexei Popyrin,Thibault Cancel,6-3 7-6(3),,,,,,,,,,,,,,,,,,,,,
3-Jul-2017,Poland F4,3,Clay,R16,,710,1,Q,6,Thibault Cancel,Maciej Rajski,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
3-Jul-2017,Poland F4,3,Clay,R32,,1061,1,Q,,Thibault Cancel,Kamil Gajewski,7-5 4-6 6-3,,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,France F13,3,Clay,R16,,389,0,Q,5,Gregoire Jacq,Thibault Cancel,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,France F13,3,Clay,R32,,,1,Q,WC,Thibault Cancel,Arthur Reymond,2-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
27-Jun-2016,France F12,3,Clay,R32,,291,0,WC,4,Yasutaka Uchiyama,Thibault Cancel,2-6 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
9-May-2016,Spain F13,3,Clay,R32,2211,261,0,Q,1,Maxime Chazal,Thibault Cancel,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
7-Mar-2016,France F5,3,Hard,R32,1752,1020,0,WC,Q,Maxime Petel,Thibault Cancel,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
15-Feb-2016,Tunisia F6,3,Clay,R32,1760,585,0,Q,,Sasi Kumar Mukund,Thibault Cancel,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
14-Sep-2015,France F18,3,Hard,R32,1438,518,0,WC,,Sandro Ehrat,Thibault Cancel,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
