Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
6-May-2019,M25 Prijedor,3,Clay,R16,,,0,,,Vlad Andrei Dancu,Thomas Bosancic,5-0 RET,,,,,,,,,,,,,,,,,,,,,
6-May-2019,M25 Prijedor,3,Clay,R32,,,1,,Q,Thomas Bosancic,Besir Durguti,4-6 7-5 6-3,,,,,,,,,,,,,,,,,,,,,
25-Mar-2019,M15 Mornington,3,Clay,R16,,,0,WC,,Luca Castelnuovo,Thomas Bosancic,7-6(4) 1-6 6-4,,,,,,,,,,,,,,,,,,,,,
25-Mar-2019,M15 Mornington,3,Clay,R32,,,1,WC,,Thomas Bosancic,Rimpei Kawakami,6-4 7-6(6),,,,,,,,,,,,,,,,,,,,,
18-Mar-2019,M15 Mornington,3,Clay,R16,,413,0,,2,Harry Bourchier,Thomas Bosancic,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
18-Mar-2019,M15 Mornington,3,Clay,R32,,,1,,,Thomas Bosancic,Cameron Green,6-3 4-6 6-0,,,,,,,,,,,,,,,,,,,,,
25-Feb-2019,M25 Albury,3,Grass,R32,,,0,WC,,Lucas Vuradin,Thomas Bosancic,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
7-Jan-2019,Canberra CH,3,Hard,R64,,573,0,WC,P,Marco Bortolotti,Thomas Bosancic,6-2 6-2,0.57,2.4%,4.8%,50.0%,47.6%,38.1%,1/6,37.5%,32.6%,4.3%,17.2%,58.8%,1/2,88,1,2,42,21,21,2,1:03
29-Oct-2018,Canberra CH,3,Hard,Q2,1724,485,0,,3,Francesco Vilardo,Thomas Bosancic,6-2 6-1,0.50,7.0%,9.3%,46.5%,50.0%,30.4%,3/8,34.9%,30.2%,4.7%,20.0%,39.1%,1/1,86,3,4,43,20,23,2,0:56
29-Oct-2018,Canberra CH,3,Hard,Q1,1724,1544,1,,WC,Thomas Bosancic,Tom Evans,1-6 6-4 6-3,0.95,6.5%,12.0%,50.0%,71.7%,41.3%,7/11,48.9%,41.5%,5.3%,29.3%,50.9%,4/10,186,6,11,92,46,46,5,2:18
22-Oct-2018,Traralgon CH,3,Hard,Q2,1727,579,0,,8,Michael Look,Thomas Bosancic,6-2 6-3,0.61,4.3%,2.2%,60.9%,50.0%,55.6%,3/7,40.4%,29.2%,8.3%,24.2%,40.0%,1/1,94,2,1,46,28,18,4,1:00
22-Oct-2018,Traralgon CH,3,Hard,Q1,1727,,1,,WC,Thomas Bosancic,Radomir Jovanovic,4-6 6-3 6-4,1.33,4.9%,4.9%,49.4%,80.0%,58.5%,3/6,54.4%,41.1%,5.6%,29.2%,54.8%,4/10,171,4,4,81,40,41,5,1:59
3-Sep-2018,Serbia F5,3,Clay,R16,,892,0,,,Shahin Khaledan,Thomas Bosancic,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
3-Sep-2018,Serbia F5,3,Clay,R32,,,1,,WC,Thomas Bosancic,Dusan Obradovic,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
29-Jan-2018,Burnie CH,3,Hard,Q1,,499,0,WC,,Takuto Niki,Thomas Bosancic,6-3 6-2,0.48,9.3%,3.7%,44.4%,62.5%,46.7%,4/7,38.8%,22.4%,4.1%,17.2%,30.0%,0/2,103,5,2,54,24,30,2,1:09
21-Mar-2016,Australia F4,3,Clay,R32,,502,0,WC,6,Christopher Oconnell,Thomas Bosancic,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
