Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
17-Feb-1992,Philadelphia,3,Carpet,R64,110,65,0,WC,,Michiel Schapers,Tim Mayotte,6-3 6-4,0.99,12.8%,2.1%,57.4%,63.0%,70.0%,1/3,47.0%,33.8%,5.9%,20.0%,53.6%,0/6,115,6,1,47,27,20,4,1:15
4-Nov-1991,Moscow,3,Carpet,R32,72,97,0,,,Jim Grabb,Tim Mayotte,3-6 7-5 7-5,1.00,3.2%,9.6%,44.7%,76.2%,44.2%,6/11,48.6%,41.4%,0.8%,29.2%,57.1%,5/19,222,3,9,94,42,52,1,2:28
7-Oct-1991,Berlin,3,Carpet,R16,78,93,0,,,Patrik Kuhnen,Tim Mayotte,3-6 7-5 6-4,0.84,14.2%,4.7%,60.4%,73.4%,47.6%,8/12,49.5%,30.8%,5.1%,21.6%,48.1%,3/4,184,15,5,106,64,42,4,1:56
7-Oct-1991,Berlin,3,Carpet,R32,78,39,1,,8,Tim Mayotte,Cristiano Caratti,6-3 6-3,1.41,5.3%,5.3%,40.4%,87.0%,44.1%,6/8,58.0%,54.5%,0.0%,51.4%,60.0%,5/8,112,3,3,57,23,34,0,1:12
26-Aug-1991,US Open,5,Hard,R128,75,38,0,,,Jaime Yzaga,Tim Mayotte,7-5 7-5 7-5,0.85,10.6%,8.0%,46.9%,75.5%,38.3%,5/11,46.7%,37.7%,1.8%,33.8%,45.0%,3/8,227,12,9,113,53,60,2,2:10
12-Aug-1991,Indianapolis,3,Hard,R16,97,121,0,,,Richard Fromberg,Tim Mayotte,6-1 7-5,0.62,4.0%,8.0%,50.0%,64.0%,52.0%,1/4,40.7%,25.9%,5.2%,11.4%,47.8%,0/1,108,2,4,50,25,25,3,1:08
12-Aug-1991,Indianapolis,3,Hard,R32,97,7,1,,4,Tim Mayotte,Guy Forget,7-6(6) 6-1,1.36,11.8%,4.4%,55.9%,81.6%,56.7%,3/4,56.9%,40.0%,5.5%,27.3%,59.1%,3/3,123,8,3,68,38,30,3,1:18
12-Aug-1991,Indianapolis,3,Hard,R64,97,192,1,,,Tim Mayotte,Jimmy Brown,6-4 6-4,1.26,21.8%,9.1%,47.3%,96.2%,55.2%,0/0,54.3%,32.0%,2.0%,30.8%,33.3%,2/2,105,12,5,55,26,29,1,1:12
22-Jul-1991,Canada Masters,3,Hard,R64,81,21,0,,9,Richey Reneberg,Tim Mayotte,6-3 6-1,0.52,10.4%,0.0%,41.7%,65.0%,42.9%,3/7,38.5%,25.0%,6.3%,25.0%,25.0%,0/4,96,5,0,48,20,28,3,0:58
24-Jun-1991,Wimbledon,5,Grass,R16,92,8,0,,7,Guy Forget,Tim Mayotte,6-7(4) 7-5 6-2 6-4,0.63,9.9%,7.3%,47.7%,75.0%,48.1%,9/14,45.5%,24.8%,12.4%,14.9%,39.1%,1/2,264,15,11,151,72,79,14,2:44
