Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
13-Nov-2022,Champaign CH,3,Hard,Q1,796,312,0,,1,Evan Zhu,Toby Alex Kodat,6-3 7-6(5),0.89,2.6%,5.1%,56.4%,63.6%,58.8%,4/6,46.7%,34.1%,9.9%,24.2%,55.2%,1/6,169,2,4,78,44,34,9,1:40
1-Nov-2021,Charlottesville CH,3,Hard,Q1,620,89,0,WC,1,Denis Kudla,Toby Alex Kodat,6-2 6-2,0.52,6.0%,2.0%,68.0%,61.8%,31.3%,1/5,39.4%,25.0%,2.3%,10.0%,37.5%,0/1,94,3,1,50,34,16,1,
13-Sep-2021,Cary 2 CH,3,Hard,Q1,665,420,0,WC,4,Shintaro Mochizuki,Toby Alex Kodat,6-3 6-2,0.77,16.7%,3.3%,68.3%,65.9%,21.1%,3/8,44.5%,37.3%,5.1%,27.0%,54.5%,1/4,119,10,2,60,41,19,3,
23-Aug-2021,Prague 3 CH,3,Clay,Q1,684,359,0,WC,2,Nick Hardt,Toby Alex Kodat,6-1 6-2,0.65,0.0%,10.3%,52.9%,55.6%,28.1%,7/13,40.7%,37.5%,5.0%,35.0%,40.0%,1/2,108,0,7,68,36,32,2,1:11
9-Aug-2021,Prague 2 CH,3,Clay,R32,706,297,0,WC,,Goncalo Oliveira,Toby Alex Kodat,6-3 6-1,0.68,7.1%,8.9%,51.8%,44.8%,48.1%,5/10,41.7%,36.5%,1.9%,30.0%,45.5%,1/8,108,4,5,56,29,27,1,1:11
19-Apr-2021,Tallahassee CH,3,Clay,R32,770,272,0,WC,,Facundo Mena,Toby Alex Kodat,6-3 6-1,0.61,1.8%,1.8%,60.0%,54.5%,45.5%,2/6,41.0%,30.0%,4.0%,31.4%,26.7%,0/2,105,1,1,55,33,22,2,1:09
12-Apr-2021,Orlando 1 CH,3,Hard,Q1,768,312,0,WC,Alt,Tim Van Rijthoven,Toby Alex Kodat,7-5 6-2,0.84,8.5%,3.4%,59.3%,65.7%,54.2%,3/6,46.0%,32.8%,13.4%,19.6%,61.9%,0/3,126,5,2,59,35,24,9,1:23
22-Mar-2021,Miami Masters,3,Hard,Q1,764,125,0,WC,2,Thiago Seyboth Wild,Toby Alex Kodat,6-3 6-3,0.78,9.6%,1.9%,61.5%,68.8%,35.0%,3/7,45.2%,34.6%,7.7%,29.4%,44.4%,1/2,104,5,1,52,32,20,4,1:07
24-Aug-2020,Prague CH,3,Clay,Q1,1222,277,0,WC,1,Goncalo Oliveira,Toby Alex Kodat,6-4 6-4,0.80,8.3%,5.0%,60.0%,75.0%,20.8%,5/9,45.2%,37.5%,1.6%,34.9%,42.9%,2/7,124,5,3,60,36,24,1,1:25
29-Jul-2019,Lexington CH,3,Hard,R64,,591,0,WC,,Lloyd Glasspool,Toby Alex Kodat,6-1 6-4,0.71,1.6%,8.2%,55.7%,52.9%,40.7%,8/13,42.7%,37.5%,3.6%,36.1%,40.0%,2/5,117,1,5,61,34,27,2,1:06
13-May-2019,M15 Prague,3,Clay,R16,,502,0,,,Pavel Nejedly,Toby Alex Kodat,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
13-May-2019,M15 Prague,3,Clay,R32,,622,1,,,Toby Alex Kodat,James Frawley,2-6 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
6-May-2019,M15 Piestany,3,Clay,R32,,,0,JR   ,,Wojciech Marek,Toby Alex Kodat,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
