Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
21-Apr-1975,Houston,3,Clay,R32,135,98,0,,,Grover Raz Reid,Tom Edlefsen,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
14-Apr-1975,Tokyo Indoor,3,Carpet,R32,135,95,0,,,Haroon Rahim,Tom Edlefsen,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
31-Mar-1975,Tuscon,3,Hard,R64,120,11,0,,7,Marty Riessen,Tom Edlefsen,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
24-Mar-1975,Atlanta WCT,3,Carpet,R32,120,54,0,,8,Phil Dent,Tom Edlefsen,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
17-Mar-1975,Memphis,3,Carpet,R32,120,21,0,,1,John Alexander,Tom Edlefsen,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
10-Mar-1975,Washington Indoor WCT,3,Carpet,R32,120,44,0,,7,Robert Lutz,Tom Edlefsen,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
23-Feb-1975,San Antonio WCT,3,Hard,R16,119,16,0,,,Dick Stockton,Tom Edlefsen,3-6 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
23-Feb-1975,San Antonio WCT,3,Hard,R32,119,76,1,,,Tom Edlefsen,Barry Phillips Moore,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
17-Feb-1975,Fort Worth WCT,3,Hard,R16,119,40,0,,,Vijay Amritraj,Tom Edlefsen,6-4 3-6 6-2,,,,,,,,,,,,,,,,,,,,,
17-Feb-1975,Fort Worth WCT,3,Hard,R32,119,12,1,,1,Tom Edlefsen,Marty Riessen,7-5 4-6 6-1,,,,,,,,,,,,,,,,,,,,,
10-Feb-1975,Toronto Indoor WCT,3,Carpet,R32,119,32,0,,,Mark Cox,Tom Edlefsen,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
20-Jan-1975,Philadelphia WCT,3,Carpet,R128,119,7,0,,5,Arthur Ashe,Tom Edlefsen,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
23-Sep-1974,San Francisco,3,Carpet,R32,113,16,0,,4,Dick Stockton,Tom Edlefsen,6-4 7-6,,,,,,,,,,,,,,,,,,,,,
23-Sep-1974,San Francisco,3,Carpet,R64,113,,1,,,Tom Edlefsen,Steve Docherty,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
17-Sep-1974,Los Angeles,3,Hard,R64,113,10,0,,3,Arthur Ashe,Tom Edlefsen,6-4 7-6,,,,,,,,,,,,,,,,,,,,,
28-Aug-1974,US Open,5,Grass,R128,111,101,0,,,Robert Kreiss,Tom Edlefsen,6-7 6-3 6-0 6-0,,,,,,,,,,,,,,,,,,,,,
19-Aug-1974,Columbus,3,Hard,R32,111,206,0,,,Rick Fisher,Tom Edlefsen,6-7 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
31-Jul-1974,Cincinnati,3,Clay,R32,95,242,0,7,Q,James Chico Hagey,Tom Edlefsen,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
23-Jul-1974,Washington,3,Clay,R64,94,157,0,,,Premjit Lall,Tom Edlefsen,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
22-Jul-1974,Chicago,3,Carpet,R32,94,31,0,,,Brian Gottfried,Tom Edlefsen,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
22-Apr-1974,Denver WCT,3,Carpet,R16,116,49,0,,,Paul Gerken,Tom Edlefsen,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
22-Apr-1974,Denver WCT,3,Carpet,R32,116,55,1,,,Tom Edlefsen,Ove Nils Bengtson,6-3 1-6 7-6(6),,,,,,,,,,,,,,,,,,,,,
15-Apr-1974,Houston,3,Clay,R16,120,9,0,,3,Rod Laver,Tom Edlefsen,6-0 7-5,,,,,,,,,,,,,,,,,,,,,
15-Apr-1974,Houston,3,Clay,R32,120,,1,,,Tom Edlefsen,Jimmy Parker,6-4 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
8-Apr-1974,Tokyo WCT,3,,R32,120,26,0,,,Roscoe Tanner,Tom Edlefsen,4-6 6-1 7-6,,,,,,,,,,,,,,,,,,,,,
31-Mar-1974,Palm Desert WCT,3,Hard,R16,120,25,0,,,Eddie Dibbs,Tom Edlefsen,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
31-Mar-1974,Palm Desert WCT,3,Hard,R32,120,121,1,,,Tom Edlefsen,Roy Barth,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
30-Mar-1974,Tuscon,3,Hard,R64,120,9,0,,6,Rod Laver,Tom Edlefsen,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
17-Mar-1974,Sao Paulo WCT,3,Carpet,R32,120,44,0,,,Onny Parun,Tom Edlefsen,DEF,,,,,,,,,,,,,,,,,,,,,
3-Mar-1974,Barcelona WCT,3,Carpet,R16,120,87,0,,,Vladimir Zednik,Tom Edlefsen,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
3-Mar-1974,Barcelona WCT,3,Carpet,R32,120,19,1,,3,Tom Edlefsen,Mark Cox,6-1 7-6(3),,,,,,,,,,,,,,,,,,,,,
18-Feb-1974,London WCT,3,Hard,R32,111,28,0,,,Eddie Dibbs,Tom Edlefsen,2-6 6-0 6-4,,,,,,,,,,,,,,,,,,,,,
17-Feb-1974,Bologna WCT,3,Carpet,R32,111,16,0,,5,Roger Taylor,Tom Edlefsen,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
21-Jan-1974,Philadelphia WCT,3,Carpet,R64,111,33,0,,,Buster C Mottram,Tom Edlefsen,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
21-Jan-1974,Philadelphia WCT,3,Carpet,R128,111,117,1,,,Tom Edlefsen,Tom Leonard,6-4 7-6(4),,,,,,,,,,,,,,,,,,,,,
7-Oct-1973,Fort Worth,3,Hard,R32,97,93,0,,,Jim Mcmanus,Tom Edlefsen,3-6 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
24-Sep-1973,San Francisco,3,Carpet,R32,105,19,0,,4,Roy Emerson,Tom Edlefsen,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
17-Sep-1973,Los Angeles,3,Hard,R64,105,137,0,,,Richard Gonzalez,Tom Edlefsen,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
16-Sep-1973,Aptos,3,Hard,QF,105,88,0,,,Haroon Rahim,Tom Edlefsen,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
16-Sep-1973,Aptos,3,Hard,R16,105,,1,,,Tom Edlefsen,Alejandro Olmedo,6-0 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
16-Sep-1973,Aptos,3,Hard,R32,105,32,1,,,Tom Edlefsen,Patrick Proisy,4-6 7-6 6-4,,,,,,,,,,,,,,,,,,,,,
29-Aug-1973,US Open,5,Grass,R128,105,,0,,,Toma Ovici,Tom Edlefsen,6-7 6-3 6-3 2-6 7-6,,,,,,,,,,,,,,,,,,,,,
20-Aug-1973,South Orange,3,Grass,R32,,,0,,,Vitas Gerulaitis,Tom Edlefsen,3-6 6-1 6-0,,,,,,,,,,,,,,,,,,,,,
13-Aug-1973,Indianapolis,3,Clay,R32,,,0,,,Cliff Richey,Tom Edlefsen,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
12-Aug-1973,Tanglewood,3,,R16,,,0,,,Ross Case,Tom Edlefsen,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
12-Aug-1973,Tanglewood,3,,R32,,,1,,,Tom Edlefsen,Ismail El Shafei,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
5-Aug-1973,Louisville,3,Clay,R64,,,0,,,Ismail El Shafei,Tom Edlefsen,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
23-Jul-1973,Bretton Woods,3,Clay,QF,,,0,,,John Alexander,Tom Edlefsen,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
23-Jul-1973,Bretton Woods,3,Clay,R16,,,1,,,Tom Edlefsen,Terry Moor,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
23-Jul-1973,Bretton Woods,3,Clay,R32,,,1,,,Tom Edlefsen,Oscar Rene Cruz,6-4 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
21-May-1973,Roland Garros,5,Clay,R128,,,0,,,Wanaro Ngodrella,Tom Edlefsen,W/O,,,,,,,,,,,,,,,,,,,,,
14-May-1973,Las Vegas,3,Hard,R32,,,0,,3,Ken Rosewall,Tom Edlefsen,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
4-May-1973,Kansas City,3,Hard,R16,,,0,,,Charlie Pasarell,Tom Edlefsen,7-6 6-3,,,,,,,,,,,,,,,,,,,,,
23-Apr-1973,Gothenberg WCT,3,Carpet,R32,,,0,,,Frank Froehling,Tom Edlefsen,6-3 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
14-Apr-1973,Johannesburg WCT,3,Hard,R16,,,0,,11,Jaime Fillol,Tom Edlefsen,7-5 7-5,,,,,,,,,,,,,,,,,,,,,
14-Apr-1973,Johannesburg WCT,3,Hard,R32,,,1,,2,Tom Edlefsen,Rod Laver,W/O,,,,,,,,,,,,,,,,,,,,,
9-Apr-1973,Brussels WCT,3,Carpet,R16,,,0,,3,Roy Emerson,Tom Edlefsen,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
9-Apr-1973,Brussels WCT,3,Carpet,R32,,,1,,,Tom Edlefsen,Allan Stone,2-6 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
2-Apr-1973,Munich WCT,3,Carpet,R32,,,0,,10,Phil Dent,Tom Edlefsen,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
26-Mar-1973,St. Louis WCT,3,Carpet,R32,,,0,,,Frank Froehling,Tom Edlefsen,6-1 7-6(3),,,,,,,,,,,,,,,,,,,,,
19-Mar-1973,Atlanta WCT,3,Clay,R32,,,0,,1,Rod Laver,Tom Edlefsen,7-5 7-5,,,,,,,,,,,,,,,,,,,,,
19-Feb-1973,Salisbury,3,Hard,R64,,,0,,,Phil Dent,Tom Edlefsen,6-7 6-3 7-6,,,,,,,,,,,,,,,,,,,,,
11-Feb-1973,Toronto WCT,3,Carpet,R32,,,0,,8,Cliff Richey,Tom Edlefsen,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
6-Feb-1973,Philadelphia WCT,3,Carpet,R32,,,0,12,,Jaime Fillol,Tom Edlefsen,7-6(1) 5-7 7-6(8),,,,,,,,,,,,,,,,,,,,,
29-Jan-1973,Richmond WCT,3,Carpet,R32,,,0,,,Phil Dent,Tom Edlefsen,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
22-Jan-1973,Lacosta WCT,3,Hard,QF,,,0,,,Colin Dibley,Tom Edlefsen,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
22-Jan-1973,Lacosta WCT,3,Hard,R16,,,1,,,Tom Edlefsen,Andrew Pattison,7-5 2-6 6-2,,,,,,,,,,,,,,,,,,,,,
22-Jan-1973,Lacosta WCT,3,Hard,R32,,,1,,8,Tom Edlefsen,Charlie Pasarell,6-4 6-7(5) 6-1,,,,,,,,,,,,,,,,,,,,,
15-Jan-1973,Miami WCT,3,Hard,R32,,,0,,,Milan Holecek,Tom Edlefsen,1-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
25-Sep-1972,Albany,3,Carpet,R64,,,0,,,Bob Hewitt,Tom Edlefsen,6-2 7-6,,,,,,,,,,,,,,,,,,,,,
18-Sep-1972,Los Angeles WCT,3,Hard,R32,,,0,,1,Ilie Nastase,Tom Edlefsen,7-6 6-3,,,,,,,,,,,,,,,,,,,,,
18-Sep-1972,Los Angeles WCT,3,Hard,R64,,,1,,,Tom Edlefsen,Pierre Barthes,7-6 6-1,,,,,,,,,,,,,,,,,,,,,
17-Sep-1972,Sacramento,3,,QF,,,0,,,Colin Dibley,Tom Edlefsen,6-7 6-0 7-6,,,,,,,,,,,,,,,,,,,,,
