Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
23-Apr-2023,Seoul CH,3,Hard,Q1,,277,0,WC,3,Yasutaka Uchiyama,Young Seok Kim,6-1 6-0,0.28,7.3%,4.9%,53.7%,54.5%,21.1%,2/7,28.9%,17.1%,8.6%,8.7%,33.3%,0/1,76,3,2,41,22,19,3,0:46
10-Apr-2023,M15 Antalya,3,Clay,R32,,482,0,WC,4,Maxime Chazal,Young Seok Kim,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
25-Nov-2019,M15 Nonthaburi,3,Hard,R16,1470,1174,0,,Q,Benjamin Pietri,Young Seok Kim,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
25-Nov-2019,M15 Nonthaburi,3,Hard,R32,1470,1206,1,,WC,Young Seok Kim,Congsup Congcar,7-6(6) 6-3,,,,,,,,,,,,,,,,,,,,,
14-Oct-2019,M15 Changwon,3,Hard,R32,1491,1790,0,,Q,Minjong Park,Young Seok Kim,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
10-Jun-2019,M15 Gimcheon,3,Hard,R32,,,0,,,Uisung Park,Young Seok Kim,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
3-Jun-2019,M15 Daegu,3,Hard,QF,,,0,,,Seong Gook Oh,Young Seok Kim,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
3-Jun-2019,M15 Daegu,3,Hard,R16,,,1,,JR   ,Young Seok Kim,Taisei Ichikawa,6-3 3-6 7-5,,,,,,,,,,,,,,,,,,,,,
3-Jun-2019,M15 Daegu,3,Hard,R32,,651,1,,4,Young Seok Kim,Takuto Niki,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
6-May-2019,Busan CH,3,Hard,R64,,313,0,WC,,Luke Saville,Young Seok Kim,6-1 6-0,0.45,2.2%,13.3%,33.3%,53.3%,30.0%,2/8,33.0%,27.9%,7.0%,23.1%,35.3%,0/4,88,1,6,45,15,30,3,1:00
29-Oct-2018,Thailand F7,3,Hard,R32,1429,463,0,,2,Hiroyasu Ehara,Young Seok Kim,7-6(3) 6-1,,,,,,,,,,,,,,,,,,,,,
27-Aug-2018,Korea F6,3,Clay,QF,1937,748,0,,4,Seong Gook Oh,Young Seok Kim,7-5 2-6 6-4,,,,,,,,,,,,,,,,,,,,,
27-Aug-2018,Korea F6,3,Clay,R16,1937,855,1,,,Young Seok Kim,Jae Hwan Kim,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
27-Aug-2018,Korea F6,3,Clay,R32,1937,1551,1,,,Young Seok Kim,Hong Chung,6-4 5-7 7-5,,,,,,,,,,,,,,,,,,,,,
18-Jun-2018,Korea F3,3,Hard,R16,790,662,0,,5,Jumpei Yamasaki,Young Seok Kim,7-6(5) 6-4,,,,,,,,,,,,,,,,,,,,,
18-Jun-2018,Korea F3,3,Hard,R32,790,781,1,,,Young Seok Kim,Tae Woo Lee,6-1 6-7(2) 6-4,,,,,,,,,,,,,,,,,,,,,
11-Jun-2018,Korea F2,3,Hard,R32,788,702,0,,6,Ji Sung Nam,Young Seok Kim,7-6(6) 6-0,,,,,,,,,,,,,,,,,,,,,
4-Jun-2018,Korea F1,3,Hard,R32,779,1038,0,,,Jae Hwan Kim,Young Seok Kim,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
14-May-2018,Busan CH,3,Hard,R32,753,351,0,WC,,Marcos Giron,Young Seok Kim,6-3 6-3,0.73,8.2%,12.2%,44.9%,68.2%,40.7%,3/7,42.5%,34.4%,12.5%,31.1%,42.1%,1/7,113,4,6,49,22,27,8,1:07
7-May-2018,Gimcheon CH,3,Hard,Q2,678,354,0,,2,Renta Tokuda,Young Seok Kim,6-3 6-2,0.64,2.3%,2.3%,38.6%,70.6%,40.7%,2/6,40.9%,30.6%,4.1%,12.0%,50.0%,1/2,93,1,1,44,17,27,2,0:57
7-May-2018,Gimcheon CH,3,Hard,Q1,678,,1,,WC,Young Seok Kim,Dong Ju Kim,6-1 6-3,1.61,12.5%,4.2%,54.2%,76.9%,54.5%,0/1,59.8%,53.7%,0.0%,32.1%,76.9%,5/6,102,6,2,48,26,22,0,1:01
30-Apr-2018,Seoul CH,3,Hard,R32,676,94,0,WC,3,Jordan Thompson,Young Seok Kim,6-1 6-2,0.64,0.0%,9.5%,59.5%,48.0%,35.3%,4/9,39.4%,36.8%,1.8%,34.1%,43.8%,1/2,99,0,4,42,25,17,1,1:03
4-Dec-2017,Thailand F11,3,Hard,R32,663,186,0,Q,,Alexey Vatutin,Young Seok Kim,6-1 3-6 7-6(5),,,,,,,,,,,,,,,,,,,,,
27-Nov-2017,Thailand F10,3,Hard,R32,663,455,0,,3,Yan Bai,Young Seok Kim,6-3 6-7(5) 6-3,,,,,,,,,,,,,,,,,,,,,
18-Sep-2017,Gwangju CH,3,Hard,Q2,646,760,0,,6,Marinko Matosevic,Young Seok Kim,7-5 6-1,0.67,4.4%,4.4%,54.4%,62.2%,41.9%,7/11,42.7%,31.7%,3.2%,21.9%,41.9%,1/6,131,3,3,68,37,31,2,1:23
26-Jun-2017,Korea F5,3,Clay,F,750,945,1,,WC,Young Seok Kim,Tae Woo Lee,5-7 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,Korea F5,3,Clay,SF,750,1154,1,,,Young Seok Kim,Jae Hwan Kim,4-6 7-5 4-0 RET,,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,Korea F5,3,Clay,QF,750,472,1,,3,Young Seok Kim,Seong Chan Hong,7-6(4) 6-4,,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,Korea F5,3,Clay,R16,750,613,1,,7,Young Seok Kim,Min Kyu Song,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,Korea F5,3,Clay,R32,750,665,1,,,Young Seok Kim,Shane Vinsant,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
19-Jun-2017,Korea F4,3,Hard,SF,752,427,0,,2,Cheong Eui Kim,Young Seok Kim,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
19-Jun-2017,Korea F4,3,Hard,QF,752,669,1,,,Young Seok Kim,Jea Moon Lee,3-6 7-6(0) 6-3,,,,,,,,,,,,,,,,,,,,,
19-Jun-2017,Korea F4,3,Hard,R16,752,,1,,Q,Young Seok Kim,Woo Ram Kim,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
19-Jun-2017,Korea F4,3,Hard,R32,752,470,1,,3,Young Seok Kim,Yong Kyu Lim,6-3 1-0 RET,,,,,,,,,,,,,,,,,,,,,
12-Jun-2017,Korea F3,3,Hard,R16,755,1498,0,,Q,Tae Woo Lee,Young Seok Kim,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
12-Jun-2017,Korea F3,3,Hard,R32,755,471,1,,3,Young Seok Kim,Seong Chan Hong,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
5-Jun-2017,Korea F2,3,Hard,R32,768,471,0,,3,Cheong Eui Kim,Young Seok Kim,6-1 7-6(6),,,,,,,,,,,,,,,,,,,,,
29-May-2017,Korea F1,3,Hard,R32,768,639,0,,6,Hong Chung,Young Seok Kim,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
