Date,Rank,Country,Image,Player,Points
2000-01-10,1,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,Andre Agassi,4135
2000-01-10,2,RUS,https://www.atptour.com/en/~/media/images/flags/rus.svg,Yevgeny Kafelnikov,2915
2000-01-10,3,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,Pete Sampras,2419
2000-01-10,4,GER,https://www.atptour.com/en/~/media/images/flags/ger.svg,Nicolas Kiefer,2184
2000-01-10,5,BRA,https://www.atptour.com/en/~/media/images/flags/bra.svg,Gustavo Kuerten,2169
2000-01-10,6,SWE,https://www.atptour.com/en/~/media/images/flags/swe.svg,Thomas Enqvist,2107
2000-01-10,7,ECU,https://www.atptour.com/en/~/media/images/flags/ecu.svg,Nicolas Lapentti,1966
2000-01-10,8,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,Todd Martin,1929
2000-01-10,9,CHI,https://www.atptour.com/en/~/media/images/flags/chi.svg,Marcelo Rios,1846
2000-01-10,10,NED,https://www.atptour.com/en/~/media/images/flags/ned.svg,Richard Krajicek,1739
2000-01-10,11,GER,https://www.atptour.com/en/~/media/images/flags/ger.svg,Tommy Haas,1612
2000-01-10,12,GBR,https://www.atptour.com/en/~/media/images/flags/gbr.svg,Tim Henman,1507
2000-01-10,13,GBR,https://www.atptour.com/en/~/media/images/flags/gbr.svg,Greg Rusedski,1498
2000-01-10,14,SWE,https://www.atptour.com/en/~/media/images/flags/swe.svg,Magnus Norman,1498
2000-01-10,15,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Cedric Pioline,1457
2000-01-10,16,AUS,https://www.atptour.com/en/~/media/images/flags/aus.svg,Patrick Rafter,1372
2000-01-10,17,SVK,https://www.atptour.com/en/~/media/images/flags/svk.svg,Karol Kucera,1346
2000-01-10,18,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Albert Costa,1293
2000-01-10,19,AUS,https://www.atptour.com/en/~/media/images/flags/aus.svg,Mark Philippoussis,1258
2000-01-10,20,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,Vincent Spadea,1241
2000-01-10,21,AUS,https://www.atptour.com/en/~/media/images/flags/aus.svg,Lleyton Hewitt,1232
2000-01-10,22,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Carlos Moya,1215
2000-01-10,23,SVK,https://www.atptour.com/en/~/media/images/flags/svk.svg,Dominik Hrbaty,1214
2000-01-10,24,RUS,https://www.atptour.com/en/~/media/images/flags/rus.svg,Marat Safin,1199
2000-01-10,25,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Felix Mantilla,1174
2000-01-10,26,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Fabrice Santoro,1157
2000-01-10,27,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Sebastien Grosjean,1113
2000-01-10,28,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Alex Corretja,1058
2000-01-10,29,BRA,https://www.atptour.com/en/~/media/images/flags/bra.svg,Fernando Meligeni,1020
2000-01-10,30,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Jerome Golmard,993
2000-01-10,31,MAR,https://www.atptour.com/en/~/media/images/flags/mar.svg,Younes El Aynaoui,987
2000-01-10,32,ARG,https://www.atptour.com/en/~/media/images/flags/arg.svg,Mariano Zabaleta,972
2000-01-10,33,UKR,https://www.atptour.com/en/~/media/images/flags/ukr.svg,Andrei Medvedev,950
2000-01-10,34,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Nicolas Escude,873
2000-01-10,35,MAR,https://www.atptour.com/en/~/media/images/flags/mar.svg,Karim Alami,870
2000-01-10,36,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,Jim Courier,860
2000-01-10,37,NED,https://www.atptour.com/en/~/media/images/flags/ned.svg,Sjeng Schalken,843
2000-01-10,38,CZE,https://www.atptour.com/en/~/media/images/flags/cze.svg,Jiri Novak,831
2000-01-10,39,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Francisco Clavet,826
2000-01-10,40,AUT,https://www.atptour.com/en/~/media/images/flags/aut.svg,Stefan Koubek,788
2000-01-10,41,CZE,https://www.atptour.com/en/~/media/images/flags/cze.svg,Daniel Vacek,787
2000-01-10,42,MAR,https://www.atptour.com/en/~/media/images/flags/mar.svg,Hicham Arazi,786
2000-01-10,43,SWE,https://www.atptour.com/en/~/media/images/flags/swe.svg,Thomas Johansson,785
2000-01-10,44,ROU,https://www.atptour.com/en/~/media/images/flags/rou.svg,Andrei Pavel,784
2000-01-10,45,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Juan Carlos Ferrero,768
2000-01-10,46,SUI,https://www.atptour.com/en/~/media/images/flags/sui.svg,Marc Rosset,761
2000-01-10,47,AUS,https://www.atptour.com/en/~/media/images/flags/aus.svg,Andrew Ilie,729
2000-01-10,48,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Alberto Martin,726
2000-01-10,49,ARG,https://www.atptour.com/en/~/media/images/flags/arg.svg,Franco Squillari,723
2000-01-10,50,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,Michael Chang,722
2000-01-10,51,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Arnaud Di Pasquale,720
2000-01-10,52,ARM,https://www.atptour.com/en/~/media/images/flags/arm.svg,Sargis Sargsian,715
2000-01-10,53,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Fernando Vicente,707
2000-01-10,54,RSA,https://www.atptour.com/en/~/media/images/flags/rsa.svg,Wayne Ferreira,705
2000-01-10,55,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Arnaud Clement,690
2000-01-10,56,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,Chris Woodruff,685
2000-01-10,57,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,Jan-Michael Gambill,683
2000-01-10,58,GER,https://www.atptour.com/en/~/media/images/flags/ger.svg,Rainer Schuettler,652
2000-01-10,59,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Alberto Berasategui,649
2000-01-10,60,SWE,https://www.atptour.com/en/~/media/images/flags/swe.svg,Magnus Gustafsson,626
2000-01-10,61,SUI,https://www.atptour.com/en/~/media/images/flags/sui.svg,Roger Federer,616
2000-01-10,62,ARG,https://www.atptour.com/en/~/media/images/flags/arg.svg,Hernan Gumy,606
2000-01-10,63,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,Jeff Tarango,595
2000-01-10,64,BLR,https://www.atptour.com/en/~/media/images/flags/blr.svg,Max Mirnyi,588
2000-01-10,65,NOR,https://www.atptour.com/en/~/media/images/flags/nor.svg,Christian Ruud,587
2000-01-10,66,NED,https://www.atptour.com/en/~/media/images/flags/ned.svg,John van Lottum,585
2000-01-10,67,GER,https://www.atptour.com/en/~/media/images/flags/ger.svg,David Prinosil,582
2000-01-10,68,CRO,https://www.atptour.com/en/~/media/images/flags/cro.svg,Goran Ivanisevic,571
2000-01-10,69,CZE,https://www.atptour.com/en/~/media/images/flags/cze.svg,Slava Dosedel,564
2000-01-10,70,ZIM,https://www.atptour.com/en/~/media/images/flags/zim.svg,Byron Black,563
2000-01-10,71,CRC,https://www.atptour.com/en/~/media/images/flags/crc.svg,Juan Antonio Marin,561
2000-01-10,72,ARG,https://www.atptour.com/en/~/media/images/flags/arg.svg,Gaston Gaudio,553
2000-01-10,73,ARG,https://www.atptour.com/en/~/media/images/flags/arg.svg,Guillermo Canas,552
2000-01-10,74,AUT,https://www.atptour.com/en/~/media/images/flags/aut.svg,Markus Hipfl,539
2000-01-10,75,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Galo Blanco,518
2000-01-10,76,SWE,https://www.atptour.com/en/~/media/images/flags/swe.svg,Jonas Bjorkman,514
2000-01-10,77,SUI,https://www.atptour.com/en/~/media/images/flags/sui.svg,George Bastl,511
2000-01-10,78,SWE,https://www.atptour.com/en/~/media/images/flags/swe.svg,Mikael Tillstrom,506
2000-01-10,79,CRO,https://www.atptour.com/en/~/media/images/flags/cro.svg,Ivan Ljubicic,489
2000-01-10,80,AUS,https://www.atptour.com/en/~/media/images/flags/aus.svg,Richard Fromberg,475
2000-01-10,81,ITA,https://www.atptour.com/en/~/media/images/flags/ita.svg,Gianluca Pozzi,465
2000-01-10,82,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,Justin Gimelstob,462
2000-01-10,83,GER,https://www.atptour.com/en/~/media/images/flags/ger.svg,Jens Knippschild,452
2000-01-10,84,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Jacobo Diaz,449
2000-01-10,85,ITA,https://www.atptour.com/en/~/media/images/flags/ita.svg,Laurence Tieleman,448
2000-01-10,86,DEN,https://www.atptour.com/en/~/media/images/flags/den.svg,Kenneth Carlsen,448
