Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Oct-2023,W25 Mendoza (Coaching Trial),3,Clay,R16,1281,812,0,16,2,Fernanda Labrana,Agostina Andreazzini,6-2 6-1,,,,,,,,,,,,,,
2-Oct-2023,W25 Mendoza (Coaching Trial),3,Clay,R32,1281,,1,16,,Agostina Andreazzini,Bianca Bernardes,6-3 6-4,,,,,,,,,,,,,,
2-Oct-2023,W25 Mendoza (Coaching Trial),3,Clay,R64,1281,,1,16,,Agostina Andreazzini,Nicole Poj,6-4 6-4,,,,,,,,,,,,,,
25-Sep-2023,W25 Lujan (Coaching Trial),3,Clay,Q1,1285,842,0,,5,Julieta Lara Estable,Agostina Andreazzini,6-3 6-0,,,,,,,,,,,,,,
31-Jul-2023,W25 Junin,3,Clay,R32,,,0,Q,Q,Maria Florencia Urrutia,Agostina Andreazzini,6-2 6-1,,,,,,,,,,,,,,
24-Jul-2023,W25 Bragado,3,Clay,R32,,816,0,Q,,Julia Konishi Camargo Silva,Agostina Andreazzini,6-2 6-1,,,,,,,,,,,,,,
26-Jun-2023,W15 Rosario-Santa Fe,3,Clay,R32,,,0,7,,Katya Ramirez,Agostina Andreazzini,6-2 6-4,,,,,,,,,,,,,,
19-Jun-2023,W15 Buenos Aires,3,Clay,R16,,,0,8,13,Candela Vazquez,Agostina Andreazzini,6-0 6-2,,,,,,,,,,,,,,
19-Jun-2023,W15 Buenos Aires,3,Clay,R32,,,1,8,,Agostina Andreazzini,Katya Ramirez,3-6 6-2 11-9,,,,,,,,,,,,,,
27-Feb-2023,W25 Tucuman,3,Clay,Q2,,,0,,,Paloma Goldsmith Weinreich,Agostina Andreazzini,7-5 6-4,,,,,,,,,,,,,,
27-Feb-2023,W25 Tucuman,3,Clay,Q1,,1176,1,,1,Agostina Andreazzini,Sofia Da Cruz Mendonca,6-3 2-6 10-8,,,,,,,,,,,,,,
20-Feb-2023,W25 Tucuman,3,Clay,Q1,,1198,0,,3,Rocio Daniela Merlo,Agostina Andreazzini,6-2 6-1,,,,,,,,,,,,,,
9-Jan-2023,W25 Buenos Aires,3,Clay,Q1,,1213,0,,6,Sol Ailin Larraya Guidi,Agostina Andreazzini,6-0 6-3,,,,,,,,,,,,,,
28-Nov-2022,W15 Buenos Aires,3,Clay,R32,,,0,,,Serena Pereyra Giubbani,Agostina Andreazzini,6-0 6-1,,,,,,,,,,,,,,
21-Nov-2022,W15 Mar del Plata,3,Clay,Q2,,,0,1,,Zoe Lazar,Agostina Andreazzini,6-1 1-6 10-7,,,,,,,,,,,,,,
10-Oct-2022,W25 Tucuman,3,Clay,R32,,855,0,Q,11,Ani Vangelova,Agostina Andreazzini,6-0 6-1,,,,,,,,,,,,,,
10-Oct-2022,W25 Tucuman,3,Clay,R64,,,1,Q,,Agostina Andreazzini,Teja Tirunelveli,6-2 6-2,,,,,,,,,,,,,,
10-Oct-2022,W25 Tucuman,3,Clay,Q2,,,1,,,Agostina Andreazzini,Sofia Constanza Karlau,6-4 6-0,,,,,,,,,,,,,,
10-Oct-2022,W25 Tucuman,3,Clay,Q1,,,1,,,Agostina Andreazzini,Natalia Maria Barcelo Fernandez,6-0 6-2,,,,,,,,,,,,,,
3-Oct-2022,W15 Eldorado Misiones,3,Clay,Q1,,,0,,,Florencia Belen Moron,Agostina Andreazzini,6-1 6-2,,,,,,,,,,,,,,
26-Sep-2022,W15 Eldorado Misiones,3,Clay,Q3,,,0,,12,Eugenia Jazmin Ceinos,Agostina Andreazzini,6-3 6-3,,,,,,,,,,,,,,
26-Sep-2022,W15 Eldorado Misiones,3,Clay,Q2,,,1,,4,Agostina Andreazzini,Beatriz Verdial,6-4 6-1,,,,,,,,,,,,,,
26-Sep-2022,W15 Eldorado Misiones,3,Clay,Q1,,,1,,,Agostina Andreazzini,Claudina Aiassa,3-6 7-6(3) 10-5,,,,,,,,,,,,,,
