Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
16-Apr-1994,Fed Cup G1 R1: BOL vs GUA,3,Clay,RR,,574,0,,,Cecilia Ampuero,Alejandra Gomez,6-1 6-0,,,,,,,,,,,,,,
13-Apr-1994,Fed Cup G1 RRD: GUA vs DOM,3,Clay,RR,,,1,,,Alejandra Gomez,Monika Pimentel,6-4 6-3,,,,,,,,,,,,,,
12-Apr-1994,Fed Cup G1 RRD: CUB vs GUA,3,Clay,RR,,,0,,,Belkis Rodriguez,Alejandra Gomez,6-2 6-1,,,,,,,,,,,,,,
11-Apr-1994,Fed Cup G1 RRD: BOL vs GUA,3,Clay,RR,,574,0,,,Cecilia Ampuero,Alejandra Gomez,6-1 6-1,,,,,,,,,,,,,,
7-Feb-1994,ITF Bogota,3,Clay,R32,,490,0,,,Cecilia Hincapie,Alejandra Gomez,6-1 6-1,,,,,,,,,,,,,,
1-Nov-1993,ITF Asuncion,3,Clay,R32,,,0,,,Paula Racedo,Alejandra Gomez,6-3 6-3,,,,,,,,,,,,,,
18-Oct-1993,ITF Buenos Aires 2,3,Clay,R32,,,0,,,Juliana Larzabal,Alejandra Gomez,2-6 6-1 6-2,,,,,,,,,,,,,,
4-Oct-1993,ITF La Paz,3,Clay,R32,,,0,,,Ana Valeria Rolon,Alejandra Gomez,6-2 6-0,,,,,,,,,,,,,,
30-Aug-1993,ITF San Salvador 1,3,Clay,R32,,,0,,,Renate Wachtler,Alejandra Gomez,6-4 6-3,,,,,,,,,,,,,,
22-Apr-1993,Fed Cup G1 RRA: COL vs GUA,3,Hard,RR,,,0,,,Carmina Giraldo,Alejandra Gomez,6-4 6-3,,,,,,,,,,,,,,
19-Apr-1993,Fed Cup G1 RRA: GUA vs BAH,3,Hard,RR,,,0,,,Chris Anne Aston,Alejandra Gomez,6-3 6-4,,,,,,,,,,,,,,
16-Nov-1992,ITF San Salvador,3,Hard,R16,,,0,,,Claudia Robayo,Alejandra Gomez,6-4 6-0,,,,,,,,,,,,,,
