Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
16-May-2005,Mazatlan 10K,3,Hard,R16,,437,0,WC,3,Jorgelina Cravero,Alejandra Obregon,6-0 6-0,,,,,,,,,,,,,,
16-May-2005,Mazatlan 10K,3,Hard,R32,,,1,WC,WC,Alejandra Obregon,Lorena Rebolledo,6-3 6-4,,,,,,,,,,,,,,
6-Sep-2004,Victoria 10K,3,Hard,R32,,1073,0,WC,,Ana Cecilia Trevino,Alejandra Obregon,6-2 6-0,,,,,,,,,,,,,,
27-Oct-2003,Obregon 10K,3,Clay,R32,1070,730,0,,,Krizia Borgarello,Alejandra Obregon,W/O,,,,,,,,,,,,,,
29-Sep-2003,Guadalajara 10K,3,Clay,R32,1067,,0,Q,WC,Ana Paula De La Pena,Alejandra Obregon,6-3 6-1,,,,,,,,,,,,,,
22-Sep-2003,Aguascalientes 10K,3,Clay,R16,1072,690,0,,8,Erika Clarke Magana,Alejandra Obregon,6-3 6-2,,,,,,,,,,,,,,
22-Sep-2003,Aguascalientes 10K,3,Clay,R32,1072,,1,,,Alejandra Obregon,Carolina Escamilla,W/O,,,,,,,,,,,,,,
30-Jun-2003,Monterrey 10K,3,Hard,R16,1139,428,0,Q,2,Carla Tiene,Alejandra Obregon,6-0 6-0,,,,,,,,,,,,,,
30-Jun-2003,Monterrey 10K,3,Hard,R32,1139,1046,1,Q,Q,Alejandra Obregon,Miriam Cruz,6-4 4-6 6-1,,,,,,,,,,,,,,
16-Jun-2003,Poza Rica 10K,3,Hard,R32,1142,,0,WC,Q,Angela Piedrahita,Alejandra Obregon,6-1 6-4,,,,,,,,,,,,,,
3-Mar-2003,Mexico Circuit 1 40K,3,Hard,R32,1186,593,0,WC,,Daniela Munoz Gallegos,Alejandra Obregon,6-2 6-3,,,,,,,,,,,,,,
3-Mar-2003,Mexico Circuit 4 40K,3,Hard,R32,1186,287,0,WC,1,Maria Fernanda Alves,Alejandra Obregon,6-0 6-0,,,,,,,,,,,,,,
7-Oct-2002,Los Mochis 10K,3,Clay,R32,,803,0,WC,,Naoko Horikawa,Alejandra Obregon,6-4 7-6(2),,,,,,,,,,,,,,
19-Aug-2002,San Luis Potosi 10K,3,Hard,R32,,583,0,Q,2,Natalia Dziamidzenka,Alejandra Obregon,6-2 6-2,,,,,,,,,,,,,,
12-Aug-2002,Poza Rica 10K,3,Hard,R32,,,0,WC,,Alena Dvornikova,Alejandra Obregon,3-6 6-3 6-4,,,,,,,,,,,,,,
