Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
18-Sep-2006,Guadalajara 10K,3,Clay,R16,,807,0,WC,8,Valeria Pulido Velasco,Alejandra Rivero,6-0 6-3,,,,,,,,,,,,,,
18-Sep-2006,Guadalajara 10K,3,Clay,R32,,1227,1,WC,,Alejandra Rivero,Maria Jose Andres Gomez,6-2 6-0,,,,,,,,,,,,,,
14-Oct-2002,Pachuca 10K,3,Hard,R32,650,722,0,,,Yanet Nunez Mojarena,Alejandra Rivero,7-6(5) 6-2,,,,,,,,,,,,,,
7-Oct-2002,Los Mochis 10K,3,Clay,R16,638,593,0,,5,Maria Vanina Garcia Sokol,Alejandra Rivero,3-6 6-2 6-2,,,,,,,,,,,,,,
7-Oct-2002,Los Mochis 10K,3,Clay,R32,638,986,1,,Q,Alejandra Rivero,Sabrina Diniz,6-0 6-2,,,,,,,,,,,,,,
30-Sep-2002,Mexicali 10K,3,Hard,R16,637,833,0,6,,Naoko Horikawa,Alejandra Rivero,6-4 6-3,,,,,,,,,,,,,,
30-Sep-2002,Mexicali 10K,3,Hard,R32,637,961,1,6,,Alejandra Rivero,Andrea Koch Benvenuto,W/O,,,,,,,,,,,,,,
19-Aug-2002,San Luis Potosi 10K,3,Hard,QF,678,628,0,6,4,Karin Palme,Alejandra Rivero,6-3 6-1,,,,,,,,,,,,,,
19-Aug-2002,San Luis Potosi 10K,3,Hard,R16,678,,1,6,,Alejandra Rivero,Claudia Strauss,6-2 6-1,,,,,,,,,,,,,,
19-Aug-2002,San Luis Potosi 10K,3,Hard,R32,678,,1,6,WC,Alejandra Rivero,Ana Cecilia Trevino,6-1 7-5,,,,,,,,,,,,,,
12-Aug-2002,Poza Rica 10K,3,Hard,SF,643,,0,6,WC,Daniela Munoz Gallegos,Alejandra Rivero,6-1 6-2,,,,,,,,,,,,,,
12-Aug-2002,Poza Rica 10K,3,Hard,QF,643,,1,6,,Alejandra Rivero,Mariela Salinas,6-4 6-3,,,,,,,,,,,,,,
12-Aug-2002,Poza Rica 10K,3,Hard,R16,643,,1,6,,Alejandra Rivero,Arpi Kojian,6-7(3) 6-4 6-4,,,,,,,,,,,,,,
12-Aug-2002,Poza Rica 10K,3,Hard,R32,643,,1,6,WC,Alejandra Rivero,Marcela Arroyo Vergara,6-2 2-6 6-1,,,,,,,,,,,,,,
22-Jul-2002,Caracas 10K,3,Hard,R32,676,492,0,,1,Leticia Sobral,Alejandra Rivero,6-4 6-2,,,,,,,,,,,,,,
15-Jul-2002,Valencia 10K,3,Hard,QF,671,563,0,7,1,Maria Vanina Garcia Sokol,Alejandra Rivero,7-6(3) 6-0,,,,,,,,,,,,,,
15-Jul-2002,Valencia 10K,3,Hard,R16,671,,1,7,Q,Alejandra Rivero,Avel Romaly Coronado,5-7 7-6(3) 6-2,,,,,,,,,,,,,,
15-Jul-2002,Valencia 10K,3,Hard,R32,671,,1,7,,Alejandra Rivero,Utako Suzuki,7-6(5) 6-4,,,,,,,,,,,,,,
1-Apr-2002,Coatzacoalcos 25K,3,Hard,R32,575,166,0,WC,2,Anastasia Rodionova,Alejandra Rivero,6-2 6-4,,,,,,,,,,,,,,
25-Feb-2002,Acapulco Q,3,Clay,Q1,541,,0,WC,,Anouska Van Exel,Alejandra Rivero,6-1 6-0,,,,,,,,,,,,,,
28-Jan-2002,Mexico Circuit 4 40K,3,Hard,R16,551,323,0,WC,6,Maria Fernanda Alves,Alejandra Rivero,6-2 6-3,,,,,,,,,,,,,,
28-Jan-2002,Mexico Circuit 1 40K,3,Hard,R32,551,475,0,,Q,Silvia Hegedis,Alejandra Rivero,7-6(6) 6-3,,,,,,,,,,,,,,
28-Jan-2002,Mexico Circuit 3 40K,3,Hard,R32,551,323,0,WC,6,Maria Fernanda Alves,Alejandra Rivero,6-2 7-5,,,,,,,,,,,,,,
28-Jan-2002,Mexico Circuit 4 40K,3,Hard,R32,551,476,1,WC,,Alejandra Rivero,Maria Rosa Sitja Gibert,6-0 6-4,,,,,,,,,,,,,,
12-Nov-2001,Mexico City 25K,3,Hard,R32,530,240,0,,6,Renata Voracova,Alejandra Rivero,6-2 6-4,,,,,,,,,,,,,,
5-Nov-2001,San Salvador 10K,3,Clay,R16,,,0,4,Q,Astrid Waernes Garcia,Alejandra Rivero,5-7 7-5 6-0,,,,,,,,,,,,,,
5-Nov-2001,San Salvador 10K,3,Clay,R32,,,1,4,,Alejandra Rivero,Salome Llaguno,W/O,,,,,,,,,,,,,,
8-Oct-2001,Pachuca 10K,3,Hard,R16,486,,0,3,,Marina Bernshtein,Alejandra Rivero,6-2 7-5,,,,,,,,,,,,,,
8-Oct-2001,Pachuca 10K,3,Hard,R32,486,,1,3,WC,Alejandra Rivero,Tania Hernandez,6-1 6-1,,,,,,,,,,,,,,
1-Oct-2001,Mexico City 10K,3,Clay,QF,488,,0,2,5,Melissa Torres Sandoval,Alejandra Rivero,6-3 6-3,,,,,,,,,,,,,,
1-Oct-2001,Mexico City 10K,3,Clay,R16,488,,1,2,,Alejandra Rivero,Salome Llaguno,6-2 6-3,,,,,,,,,,,,,,
1-Oct-2001,Mexico City 10K,3,Clay,R32,488,,1,2,WC,Alejandra Rivero,Alejandra Ripoll,6-1 6-1,,,,,,,,,,,,,,
13-Aug-2001,San Luis Potosi 10K,3,Hard,SF,488,474,0,3,2,Erika Valdes,Alejandra Rivero,6-3 6-2,,,,,,,,,,,,,,
