Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
26-Jul-2010,Palic 10K,3,Clay,R32,760,,0,,Q,Lucia Vrskova,Aleksandra Filipovski,6-4 4-6 6-1,,,,,,,,,,,,,,
12-Jul-2010,Prokuplje 10K,3,Clay,R16,759,,0,8,Q,Nadezda Gorbachkova,Aleksandra Filipovski,6-2 6-2,,,,,,,,,,,,,,
12-Jul-2010,Prokuplje 10K,3,Clay,R32,759,,1,8,WC,Aleksandra Filipovski,Tamara Mihajlovic,6-0 6-0,,,,,,,,,,,,,,
5-Jul-2010,Prokuplje 10K,3,Clay,R32,701,384,0,,1,Marija Mirkovic,Aleksandra Filipovski,6-3 6-1,,,,,,,,,,,,,,
3-Aug-2009,Arad 10K,3,Clay,SF,560,,0,2,SE,Ani Mijacika,Aleksandra Filipovski,6-3 6-3,,,,,,,,,,,,,,
3-Aug-2009,Arad 10K,3,Clay,QF,560,824,1,2,8,Aleksandra Filipovski,Alice Andrada Radu,6-2 6-0,,,,,,,,,,,,,,
3-Aug-2009,Arad 10K,3,Clay,R16,560,,1,2,Q,Aleksandra Filipovski,Raluca Elena Platon,6-2 6-3,,,,,,,,,,,,,,
3-Aug-2009,Arad 10K,3,Clay,R32,560,1014,1,2,,Aleksandra Filipovski,Bianca Hincu,4-6 6-4 6-3,,,,,,,,,,,,,,
27-Jul-2009,Palic 10K,3,Clay,F,565,,1,3,Q,Aleksandra Filipovski,Ani Mijacika,6-3 7-5,,,,,,,,,,,,,,
27-Jul-2009,Palic 10K,3,Clay,SF,565,478,1,3,2,Aleksandra Filipovski,Natasa Zoric,6-1 6-3,,,,,,,,,,,,,,
27-Jul-2009,Palic 10K,3,Clay,QF,565,608,1,3,5,Aleksandra Filipovski,Aleksandra Josifoska,6-0 7-6(3),,,,,,,,,,,,,,
27-Jul-2009,Palic 10K,3,Clay,R16,565,1030,1,3,,Aleksandra Filipovski,Timna Ticic,7-6(0) 7-6(7),,,,,,,,,,,,,,
27-Jul-2009,Palic 10K,3,Clay,R32,565,999,1,3,,Aleksandra Filipovski,Lisa Summerer,6-2 6-3,,,,,,,,,,,,,,
6-Jul-2009,Prokuplje 10K,3,Clay,R16,598,,0,3,WC,Tamara Curovic,Aleksandra Filipovski,7-5 6-0,,,,,,,,,,,,,,
6-Jul-2009,Prokuplje 10K,3,Clay,R32,598,826,1,3,,Aleksandra Filipovski,Karolina Jovanovic,6-4 5-7 7-6(6),,,,,,,,,,,,,,
29-Jun-2009,Prokuplje 10K,3,Clay,SF,563,776,0,4,,Karolina Jovanovic,Aleksandra Filipovski,6-2 3-6 6-4,,,,,,,,,,,,,,
29-Jun-2009,Prokuplje 10K,3,Clay,QF,563,751,1,4,,Aleksandra Filipovski,Karolina Wlodarczak,6-1 6-3,,,,,,,,,,,,,,
29-Jun-2009,Prokuplje 10K,3,Clay,R16,563,800,1,4,,Aleksandra Filipovski,Alice Andrada Radu,7-6(1) 3-6 6-3,,,,,,,,,,,,,,
29-Jun-2009,Prokuplje 10K,3,Clay,R32,563,888,1,4,,Aleksandra Filipovski,Ineke Mergaert,6-3 6-2,,,,,,,,,,,,,,
8-Jun-2009,Budapest 10K,3,Clay,QF,578,938,0,6,WC,Virag Nemeth,Aleksandra Filipovski,4-6 6-4 6-4,,,,,,,,,,,,,,
8-Jun-2009,Budapest 10K,3,Clay,R16,578,,1,6,Q,Aleksandra Filipovski,Valeria Osadchenko,6-1 6-2,,,,,,,,,,,,,,
8-Jun-2009,Budapest 10K,3,Clay,R32,578,842,1,6,,Aleksandra Filipovski,Dalila Jakupovic,6-1 6-3,,,,,,,,,,,,,,
18-May-2009,Incheon 25K,3,Hard,R32,585,328,0,Q,,Pemra Ozgen,Aleksandra Filipovski,6-1 6-0,,,,,,,,,,,,,,
13-Apr-2009,Hvar 10K,3,Clay,R16,619,673,0,Q,Q,Chloe Babet,Aleksandra Filipovski,6-2 6-0 RET,,,,,,,,,,,,,,
13-Apr-2009,Hvar 10K,3,Clay,R32,619,,1,Q,WC,Aleksandra Filipovski,Antonela Susak,6-4 6-2,,,,,,,,,,,,,,
